# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 901691205
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     130.00     190.00  1.877115793404568E-10  7.370566075987265E-11 60162
   4     190.00     250.00  7.417710901725413E-08  1.110903015822585E-09 4418228
   5     250.00     310.00  1.146617987627243E-06  5.167897638204013E-09 25607069
   6     310.00     370.00  3.557679791880925E-06  1.126467811382104E-08 49015402
   7     370.00     430.00  6.394533721268604E-06  1.785637706855162E-08 63140251
   8     430.00     490.00  8.862011154970560E-06  2.335246051240102E-08 67466574
   9     490.00     550.00  9.825192962753555E-06  2.593177435415431E-08 64916752
  10     550.00     610.00  9.525548419081082E-06  2.686842049882958E-08 59963564
  11     610.00     670.00  8.592221263647043E-06  2.555204709091162E-08 54495156
  12     670.00     730.00  7.592241195820478E-06  2.473523442577734E-08 49151763
  13     730.00     790.00  6.581781082189520E-06  2.373887943481438E-08 44190372
  14     790.00     850.00  5.639409330122546E-06  2.196042189764138E-08 39760400
  15     850.00     910.00  4.762681658356997E-06  2.135720382582027E-08 35844282
  16     910.00     970.00  4.077217288151235E-06  1.793594679274187E-08 32383207
  17     970.00    1030.00  3.425442788667249E-06  1.730386829009783E-08 29352208
  18    1030.00    1090.00  2.883792535167604E-06  1.476186794179813E-08 26674970
  19    1090.00    1150.00  2.430343739698493E-06  1.324928722116678E-08 24322272
  20    1150.00    1210.00  2.028052676327183E-06  1.217639726715032E-08 22218366
  21    1210.00    1270.00  1.705668182067920E-06  1.059676317073202E-08 20361417
