# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 901691205
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  2.639119025330508E-04  7.058728679097173E-06 57563728
   2       0.08       0.16  3.385510561764681E-04  7.765112824057826E-06 61143443
   3       0.16       0.24  5.118105057344765E-04  8.338773299745251E-06 58424491
   4       0.24       0.31  8.256379303226780E-04  9.813322380401151E-06 53564761
   5       0.31       0.39  1.242932284679115E-03  1.106125031400608E-05 48582873
   6       0.39       0.47  1.736234762727142E-03  1.252954051731125E-05 44070092
   7       0.47       0.55  2.202757962577943E-03  1.386869787635923E-05 40114664
   8       0.55       0.63  2.592153295125330E-03  1.452874531648790E-05 36641064
   9       0.63       0.71  2.941844033923033E-03  1.538613497123903E-05 33648846
  10       0.71       0.79  3.236652010741904E-03  1.652749152780770E-05 31031194
  11       0.79       0.86  3.417435638447841E-03  1.625864560244295E-05 28731013
  12       0.86       0.94  3.577032696298639E-03  1.676540701485980E-05 26720763
  13       0.94       1.02  3.644628098845747E-03  1.657858136341015E-05 24954286
  14       1.02       1.10  3.633049307883642E-03  1.614714471211170E-05 23392084
  15       1.10       1.18  3.661114621968979E-03  1.616652034200530E-05 22003976
  16       1.18       1.26  3.641889470539215E-03  1.656332462297968E-05 20782727
  17       1.26       1.33  3.585450139601049E-03  1.743733967529257E-05 19709769
  18       1.33       1.41  3.481833627588111E-03  1.602717085506305E-05 18766665
  19       1.41       1.49  3.463209512134866E-03  1.593650588143718E-05 17930417
  20       1.49       1.57  3.312463930715010E-03  1.545778014770885E-05 17189055
  21       1.57       1.65  3.221618943366908E-03  1.518955540745845E-05 16553748
  22       1.65       1.73  3.171946162395770E-03  1.526594669462760E-05 16013198
  23       1.73       1.81  3.062007174771574E-03  1.607276469567981E-05 15538065
  24       1.81       1.89  2.965912625148567E-03  1.439479472359923E-05 15153360
  25       1.89       1.96  2.861508882107538E-03  1.374703282844995E-05 14823943
  26       1.96       2.04  2.772248627440986E-03  1.391837368730456E-05 14592383
  27       2.04       2.12  2.720313215290926E-03  1.575408205114201E-05 14424768
  28       2.12       2.20  2.627332738703061E-03  1.316002789448742E-05 14314624
  29       2.20       2.28  2.534663176067208E-03  1.274949550750443E-05 14279767
  30       2.28       2.36  2.468531570112203E-03  1.267276435468288E-05 14322313
  31       2.36       2.44  2.440263383051884E-03  1.302946743020932E-05 14427817
  32       2.44       2.51  2.356621837098008E-03  1.296976926137779E-05 14623787
  33       2.51       2.59  2.349904288011658E-03  1.250929666281566E-05 14905063
  34       2.59       2.67  2.291197891816891E-03  1.255671128708830E-05 15263754
  35       2.67       2.75  2.259078938167426E-03  1.184141557656338E-05 15743163
  36       2.75       2.83  2.230902994825197E-03  1.197191283661023E-05 16332801
  37       2.83       2.91  2.201274710140905E-03  1.142665490859305E-05 17055408
  38       2.91       2.98  2.186499502909387E-03  1.172997976193663E-05 17941809
  39       2.98       3.06  2.185826637097463E-03  1.157845562228304E-05 19036496
  40       3.06       3.14  2.161240538022326E-03  1.146525244075450E-05 20431859
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.0762283653812828E-03  1.8148754910508657E-06 54479000
#=====================================================================================
