# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 78738
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  2.069013554879494E-20  1.713728498449475E-20 81
   2       0.08       0.16  6.432618361151265E-21  5.928010656639510E-21 96
   3       0.16       0.24 -6.625471357391847E-21  9.510116539983191E-21 83
   4       0.24       0.31 -8.463151382099550E-22  3.784720143513270E-21 95
   5       0.31       0.39  3.759231163978747E-21  4.268132149045284E-21 66
   6       0.39       0.47  5.986129331351544E-21  6.614446648420921E-21 47
   7       0.47       0.55 -1.803166490126153E-21  1.088490703142667E-20 40
   8       0.55       0.63 -2.878750902474721E-21  5.324144143075352E-21 45
   9       0.63       0.71  1.866277512769103E-20  1.112906365589838E-20 37
  10       0.71       0.79 -1.135552644937926E-20  8.391847701528179E-21 28
  11       0.79       0.86 -2.965026201539056E-22  1.120842174919372E-21 26
  12       0.86       0.94  6.425807297787240E-22  2.002219050497515E-21 14
  13       0.94       1.02 -3.525814165969027E-20  3.444108402097499E-20 27
  14       1.02       1.10  8.092809438023757E-21  2.785084343778794E-20 20
  15       1.10       1.18 -3.393413781274280E-23  2.172068590521271E-21 24
  16       1.18       1.26 -5.607486894784230E-21  1.098762675132163E-20 24
  17       1.26       1.33 -1.567571697059043E-20  1.833530615848755E-20 16
  18       1.33       1.41 -1.766023602873484E-20  1.287129024734833E-20 30
  19       1.41       1.49 -1.487911219288160E-21  1.208230790880933E-21 10
  20       1.49       1.57  5.397641759372567E-20  3.372830351852512E-20 15
  21       1.57       1.65 -5.829234866334630E-20  3.330238100812637E-20 15
  22       1.65       1.73 -1.380511384556047E-19  1.097791924719881E-19 15
  23       1.73       1.81 -5.850741036980218E-21  6.461381389679288E-21 10
  24       1.81       1.89  2.068341290729795E-20  1.474239325993949E-20 14
  25       1.89       1.96 -2.130179689517047E-20  2.085594388590339E-20 5
  26       1.96       2.04 -6.288955556178120E-21  6.361359683714360E-21 7
  27       2.04       2.12  2.525675928864266E-20  1.732556350689221E-20 8
  28       2.12       2.20  4.254557520818139E-21  1.198479370539033E-20 7
  29       2.20       2.28  1.395147299729360E-21  1.247576027337225E-21 11
  30       2.28       2.36 -2.913675774898677E-19  2.919341255562028E-19 8
  31       2.36       2.44  4.846970175592734E-22  9.583629077509431E-22 6
  32       2.44       2.51 -2.207401782408942E-22  1.944910076759239E-22 6
  33       2.51       2.59  1.751183817423543E-20  1.756841840775696E-20 10
  34       2.59       2.67 -1.096295460909863E-20  1.387395879171638E-20 6
  35       2.67       2.75  2.974347803996613E-21  2.162810727429619E-21 8
  36       2.75       2.83 -3.361184089342060E-22  3.349821514423873E-22 4
  37       2.83       2.91  1.038156689573836E-21  6.772594931542957E-22 7
  38       2.91       2.98  9.614303877988116E-21  6.782387525042333E-21 9
  39       2.98       3.06  2.081823825967338E-21  2.157366408420243E-21 11
  40       3.06       3.14  3.457119472600353E-22  6.949121068677718E-21 10
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -3.3640023142980900E-20  2.5418569300290355E-20 1001
#=====================================================================================
