# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 78738
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25 -2.127198060861615E-21  1.868789114523928E-21 11
   2      -2.25      -2.00  1.133812307354839E-21  2.316460233543464E-21 26
   3      -2.00      -1.75  3.355103310901629E-21  3.446486420768818E-21 26
   4      -1.75      -1.50 -1.554145277637227E-21  1.599960828380148E-21 45
   5      -1.50      -1.25  4.411144794071768E-21  6.619892852579273E-21 39
   6      -1.25      -1.00 -2.924109431104707E-21  3.065274206634075E-21 51
   7      -1.00      -0.75 -7.004414940958748E-21  5.585567019114202E-21 53
   8      -0.75      -0.50  2.947461253891812E-21  3.491024851469887E-21 66
   9      -0.50      -0.25  2.526536215886670E-22  2.178373684193399E-21 73
  10      -0.25       0.00 -3.411762341772637E-20  3.420269960150248E-20 76
  11       0.00       0.25 -1.552904148188253E-20  1.335209398186370E-20 59
  12       0.25       0.50 -8.716457784149958E-21  8.336776345186657E-21 74
  13       0.50       0.75  8.270422419981796E-21  6.537292483693157E-21 69
  14       0.75       1.00 -8.148336183925084E-20  9.205866713820347E-20 66
  15       1.00       1.25 -7.927950526853646E-21  8.604505847593012E-21 69
  16       1.25       1.50 -2.637256323724866E-21  8.944046503556161E-21 61
  17       1.50       1.75  1.249417764623026E-21  7.142927095108843E-21 41
  18       1.75       2.00  7.107265765164898E-21  8.171690980818905E-21 45
  19       2.00       2.25 -1.818394745911716E-22  9.299136263414743E-22 26
  20       2.25       2.50  9.160247492396945E-22  2.283498078861485E-21 25
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -3.3640023142980888E-20  2.5418615657547015E-20 1001
#=====================================================================================
