# title = Transverse Momentum anti--Muon-Muon
# xlabel = $p_{\text{T},\mu^+\mu^-}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 901691205
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.558619532304877E-05  5.613409591097707E-08 50728476
   2      20.00      40.00  4.046999004861147E-05  9.757351441374798E-08 78983072
   3      40.00      60.00  5.192917869594375E-05  1.144982043976471E-07 80752301
   4      60.00      80.00  5.182384278512487E-05  1.186631381501489E-07 74521165
   5      80.00     100.00  4.479601510417337E-05  1.089523986539917E-07 64648097
   6     100.00     120.00  3.815024770134800E-05  1.048145047926834E-07 56949307
   7     120.00     140.00  3.198786690298613E-05  1.026803402820410E-07 50894879
   8     140.00     160.00  2.651219616825693E-05  8.738069497767893E-08 45544367
   9     160.00     180.00  2.168279395678783E-05  7.910146201712256E-08 40720043
  10     180.00     200.00  1.749581485725231E-05  7.391638292716083E-08 36436175
  11     200.00     220.00  1.392199231615789E-05  6.593992295687569E-08 32640345
  12     220.00     240.00  1.105455559430910E-05  6.384927443446991E-08 29297790
  13     240.00     260.00  8.632875864185691E-06  5.396233948427776E-08 26375045
  14     260.00     280.00  6.731700086374607E-06  4.914871844348008E-08 23805038
  15     280.00     300.00  5.220969014356089E-06  4.368721899259140E-08 21529058
  16     300.00     320.00  4.070394155652725E-06  4.058945366968961E-08 19558745
  17     320.00     340.00  3.213567972440449E-06  3.813388548595322E-08 17787483
  18     340.00     360.00  2.404596440824619E-06  3.301378926961121E-08 16231212
  19     360.00     380.00  1.832446153590727E-06  3.050348991141899E-08 14846371
  20     380.00     400.00  1.462594818581666E-06  2.961689906734680E-08 13607017
  21     400.00     420.00  1.148043692334755E-06  2.632949709612933E-08 12508418
  22     420.00     440.00  7.488353010635051E-07  2.275431928028161E-08 11515506
  23     440.00     460.00  6.152539776973930E-07  2.138977970360955E-08 10633732
  24     460.00     480.00  4.603648961979602E-07  1.942631979890261E-08 9830753
