# title = Distance muon Pair
# xlabel = $\Delta R_{\mu^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\mu^+\mu^-}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1250200555
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.10       0.30  2.780793273178545E-03  4.316377076552068E-06 151980560	   1       0.10       0.30  2.475985611215985E-03  3.860857203898432E-06 151980560	   1       0.10       0.30  3.153579900581176E-03  4.873475527515634E-06 151980560
   2       0.30       0.50  1.905119113671417E-02  1.728163454243166E-05 206539443	   2       0.30       0.50  1.724390856888187E-02  1.562035187962655E-05 206539443	   2       0.30       0.50  2.122026618120782E-02  1.929800096580923E-05 206539443
   3       0.50       0.70  4.019721126269523E-02  3.030978797990046E-05 206209342	   3       0.50       0.70  3.675546585494284E-02  2.755561917693525E-05 206209342	   3       0.50       0.70  4.427212803301680E-02  3.363847752146868E-05 206209342
   4       0.70       0.90  5.536373942371777E-02  3.941300367482200E-05 193597802	   4       0.70       0.90  5.095375436220442E-02  3.596686328067667E-05 193597802	   4       0.70       0.90  6.053316571920846E-02  4.356503306051329E-05 193597802
   5       0.90       1.10  6.339716489294070E-02  4.509217658286731E-05 177169944	   5       0.90       1.10  5.861685596409830E-02  4.122968787221416E-05 177169944	   5       0.90       1.10  6.895699813479619E-02  4.973768884107981E-05 177169944
   6       1.10       1.30  6.563632714421933E-02  4.702677318238164E-05 159530252	   6       1.10       1.30  6.089991099892269E-02  4.312013229953786E-05 159530252	   6       1.10       1.30  7.110987557199759E-02  5.171417776942816E-05 159530252
   7       1.30       1.50  6.420994014360105E-02  4.820059541099543E-05 142236303	   7       1.30       1.50  5.973908077389592E-02  4.419007924264980E-05 142236303	   7       1.30       1.50  6.934907704439446E-02  5.302528450455144E-05 142236303
   8       1.50       1.70  6.056610517202395E-02  4.775152684337452E-05 126302731	   8       1.50       1.70  5.646916964376397E-02  4.387115206819964E-05 126302731	   8       1.50       1.70  6.525461836258989E-02  5.239984489754658E-05 126302731
   9       1.70       1.90  5.613852725726724E-02  4.766542998179863E-05 112525588	   9       1.70       1.90  5.243062640033127E-02  4.373989728425221E-05 112525588	   9       1.70       1.90  6.036581899568477E-02  5.237554735506480E-05 112525588
  10       1.90       2.10  5.167834561801885E-02  4.526786754488036E-05 101360921	  10       1.90       2.10  4.832909841156332E-02  4.164942962301785E-05 101360921	  10       1.90       2.10  5.548544939380910E-02  4.959165592148571E-05 101360921
