# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1250200555
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  9.349588935611742E-03  1.760693464920903E-05 37366213	   1      -2.50      -2.25  8.625730668517444E-03  1.601677484761698E-05 37366213	   1      -2.50      -2.25  1.019475100330171E-02  1.953745935601424E-05 37366213
   2      -2.25      -2.00  1.307472635365763E-02  2.071273271038772E-05 51224908	   2      -2.25      -2.00  1.208493208950548E-02  1.886970575207885E-05 51224908	   2      -2.25      -2.00  1.422676275710263E-02  2.295018438710764E-05 51224908
   3      -2.00      -1.75  1.756936815577058E-02  2.471447797143640E-05 66889206	   3      -2.00      -1.75  1.626396125448272E-02  2.252838968116901E-05 66889206	   3      -2.00      -1.75  1.908471144435835E-02  2.736235401180379E-05 66889206
   4      -1.75      -1.50  2.259253345465900E-02  2.928618713346348E-05 82551343	   4      -1.75      -1.50  2.095019904443515E-02  2.675102669991471E-05 82551343	   4      -1.75      -1.50  2.449285724296186E-02  3.234544823664359E-05 82551343
   5      -1.50      -1.25  2.778209429950687E-02  3.100697643065626E-05 97464161	   5      -1.50      -1.25  2.580362736775489E-02  2.838135948756867E-05 97464161	   5      -1.50      -1.25  3.006454350606288E-02  3.416923508137881E-05 97464161
   6      -1.25      -1.00  3.271488322108507E-02  3.226247031115553E-05 111114446	   6      -1.25      -1.00  3.043222376366207E-02  2.960005876449476E-05 111114446	   6      -1.25      -1.00  3.534040291732957E-02  3.545845820678093E-05 111114446
   7      -1.00      -0.75  3.697544212309356E-02  3.335891186171223E-05 123179904	   7      -1.00      -0.75  3.444151529247599E-02  3.064638935477989E-05 123179904	   7      -1.00      -0.75  3.988200073995864E-02  3.660829671024258E-05 123179904
   8      -0.75      -0.50  4.038968772581476E-02  3.440249163346495E-05 133365540	   8      -0.75      -0.50  3.766157568600492E-02  3.165177393491289E-05 133365540	   8      -0.75      -0.50  4.351228995009058E-02  3.768969974307330E-05 133365540
   9      -0.50      -0.25  4.282726457273685E-02  3.348456668778500E-05 141471326	   9      -0.50      -0.25  3.996048894402532E-02  3.086817712594589E-05 141471326	   9      -0.50      -0.25  4.610437296033679E-02  3.660186290097183E-05 141471326
  10      -0.25       0.00  4.405745673489843E-02  3.328902253170799E-05 147152661	  10      -0.25       0.00  4.111963613384599E-02  3.069792437660162E-05 147152661	  10      -0.25       0.00  4.741405506674627E-02  3.637274436670518E-05 147152661
  11       0.00       0.25  4.402492269415455E-02  3.211347394492264E-05 150196198	  11       0.00       0.25  4.109252763640114E-02  2.966260105038111E-05 150196198	  11       0.00       0.25  4.737462533546214E-02  3.502126446490766E-05 150196198
  12       0.25       0.50  4.290399010900957E-02  3.164301426022337E-05 150277108	  12       0.25       0.50  4.002997016720469E-02  2.920813606628226E-05 150277108	  12       0.25       0.50  4.618986262083214E-02  3.453510667216021E-05 150277108
  13       0.50       0.75  4.066244536026638E-02  3.116486779022315E-05 147176426	  13       0.50       0.75  3.790821871610476E-02  2.872762273829127E-05 147176426	  13       0.50       0.75  4.381651761143206E-02  3.406627752993676E-05 147176426
  14       0.75       1.00  3.721810704220493E-02  3.024287345536551E-05 140710517	  14       0.75       1.00  3.465856106969122E-02  2.784982508212510E-05 140710517	  14       0.75       1.00  4.015609744461888E-02  3.309771027867667E-05 140710517
  15       1.00       1.25  3.301696639906346E-02  2.950285560627412E-05 130817461	  15       1.00       1.25  3.070247108362530E-02  2.707298724083448E-05 130817461	  15       1.00       1.25  3.568130069830159E-02  3.241704206157749E-05 130817461
  16       1.25       1.50  2.806728140780748E-02  2.809012194621063E-05 117520653	  16       1.25       1.50  2.605828170116296E-02  2.577553505597887E-05 117520653	  16       1.25       1.50  3.038718193570473E-02  3.086301664698282E-05 117520653
  17       1.50       1.75  2.282753514165396E-02  2.429550187385694E-05 101384026	  17       1.50       1.75  2.115866451889969E-02  2.223818885458012E-05 101384026	  17       1.50       1.75  2.476067836080161E-02  2.677219774137793E-05 101384026
  18       1.75       2.00  1.773566869294657E-02  2.134756995023184E-05 83191856	  18       1.75       2.00  1.641243219551955E-02  1.949006699624445E-05 83191856	  18       1.75       2.00  1.927286866538917E-02  2.359152769309789E-05 83191856
  19       2.00       2.25  1.322328386341548E-02  1.821954871966749E-05 64589202	  19       2.00       2.25  1.221563119453547E-02  1.662388729571112E-05 64589202	  19       2.00       2.25  1.439748430941256E-02  2.015015231056638E-05 64589202
  20       2.25       2.50  9.405240178287687E-03  1.641740993677318E-05 47925845	  20       2.25       2.50  8.673309452187391E-03  1.486116316466190E-05 47925845	  20       2.25       2.50  1.026064052133119E-02  1.833073592215519E-05 47925845
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       2.6136883563594899E-06  4.3543156151713156E-09 13479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
