# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 317333280
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  1.051486679642051E-05  1.106160302366067E-07 191503	   1      -4.50      -4.25  9.615035364854076E-06  1.020860655093469E-07 191503	   1      -4.50      -4.25  1.152543341390369E-05  1.199927952101679E-07 191503
   2      -4.25      -4.00  2.394304880653617E-05  2.208360293755096E-07 249498	   2      -4.25      -4.00  2.205114657399473E-05  2.047151245987838E-07 249498	   2      -4.25      -4.00  2.604043133507018E-05  2.384274835618500E-07 249498
   3      -4.00      -3.75  4.569976681805398E-05  3.589922344124024E-07 307224	   3      -4.00      -3.75  4.231893779863531E-05  3.335663701850921E-07 307224	   3      -4.00      -3.75  4.941231083033110E-05  3.867201562272829E-07 307224
   4      -3.75      -3.50  8.018340721243832E-05  5.830961115099111E-07 368176	   4      -3.75      -3.50  7.463968160008334E-05  5.434241488828667E-07 368176	   4      -3.75      -3.50  8.621203835783146E-05  6.264223998022982E-07 368176
   5      -3.50      -3.25  1.228669820986910E-04  8.668116145350004E-07 429513	   5      -3.50      -3.25  1.150044280560397E-04  8.128751518002038E-07 429513	   5      -3.50      -3.25  1.313135199242697E-04  9.244795699817330E-07 429513
   6      -3.25      -3.00  1.721391387021787E-04  1.015758671354678E-06 490334	   6      -3.25      -3.00  1.618072851440477E-04  9.570282571815406E-07 490334	   6      -3.25      -3.00  1.831450847961065E-04  1.078222671378426E-06 490334
   7      -3.00      -2.75  2.155051299201952E-04  1.200278085584669E-06 549480	   7      -3.00      -2.75  2.032937932851504E-04  1.132769072395893E-06 549480	   7      -3.00      -2.75  2.284165782699755E-04  1.272324662349700E-06 549480
   8      -2.75      -2.50  2.460787286560761E-04  1.296530780804916E-06 600232	   8      -2.75      -2.50  2.330119455946282E-04  1.231281945671472E-06 600232	   8      -2.75      -2.50  2.597628219595787E-04  1.364760175400409E-06 600232
   9      -2.50      -2.25  2.540660150838663E-04  1.271314666626823E-06 643523	   9      -2.50      -2.25  2.411701458316647E-04  1.208987427102281E-06 643523	   9      -2.50      -2.25  2.675011717166021E-04  1.336576645372289E-06 643523
  10      -2.25      -2.00  2.465581291589884E-04  1.306594607544508E-06 673819	  10      -2.25      -2.00  2.346070306644090E-04  1.246512002819718E-06 673819	  10      -2.25      -2.00  2.589343664961310E-04  1.368752688084682E-06 673819
  11      -2.00      -1.75  2.195835945632235E-04  1.174655093935479E-06 692202	  11      -2.00      -1.75  2.092652948413918E-04  1.122216762665973E-06 692202	  11      -2.00      -1.75  2.302324918114960E-04  1.228791070742774E-06 692202
  12      -1.75      -1.50  1.800247160486669E-04  9.597000750721003E-07 699965	  12      -1.75      -1.50  1.716865507533304E-04  9.204650668898045E-07 699965	  12      -1.75      -1.50  1.886328444708779E-04  9.995706336746804E-07 699965
  13      -1.50      -1.25  1.358011913830350E-04  7.347489842735128E-07 695849	  13      -1.50      -1.25  1.294851195814725E-04  7.055158519998864E-07 695849	  13      -1.50      -1.25  1.423441009276095E-04  7.642355016632147E-07 695849
  14      -1.25      -1.00  9.881885193573080E-05  5.633668885571081E-07 680682	  14      -1.25      -1.00  9.414505171205575E-05  5.409090983803424E-07 680682	  14      -1.25      -1.00  1.036859078019514E-04  5.860790701296522E-07 680682
  15      -1.00      -0.75  6.786722896823194E-05  3.786613731380107E-07 659381	  15      -1.00      -0.75  6.448007370503222E-05  3.626690514420393E-07 659381	  15      -1.00      -0.75  7.143870486220000E-05  3.950654866547962E-07 659381
  16      -0.75      -0.50  5.224080604306920E-05  3.031868455136700E-07 637420	  16      -0.75      -0.50  4.946917220753978E-05  2.898021052687530E-07 637420	  16      -0.75      -0.50  5.519193986218335E-05  3.169537042278007E-07 637420
