# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 317333280
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  4.576717170988018E-05  3.330823168483074E-07 474835	   1      -4.50      -4.25  4.232090228507726E-05  3.082607617738059E-07 474835	   1      -4.50      -4.25  4.959362004589735E-05  3.607029139545984E-07 474835
   2      -4.25      -4.00  7.511407417522827E-05  5.158144011894914E-07 529703	   2      -4.25      -4.00  6.990341954336523E-05  4.802301542231784E-07 529703	   2      -4.25      -4.00  8.081947913815621E-05  5.548743069506729E-07 529703
   3      -4.00      -3.75  1.106828984093032E-04  7.191033389544030E-07 572851	   3      -4.00      -3.75  1.035169288157886E-04  6.712109028997264E-07 572851	   3      -4.00      -3.75  1.184433164320969E-04  7.714736489008252E-07 572851
   4      -3.75      -3.50  1.468053207118329E-04  9.276943010840643E-07 602966	   4      -3.75      -3.50  1.379507558151995E-04  8.712949089059954E-07 602966	   4      -3.75      -3.50  1.562875282431456E-04  9.884988515490738E-07 602966
   5      -3.50      -3.25  1.842989025126123E-04  1.101396705522417E-06 623207	   5      -3.50      -3.25  1.739030531574007E-04  1.037016015933432E-06 623207	   5      -3.50      -3.25  1.953112336440365E-04  1.170735705220852E-06 623207
   6      -3.25      -3.00  2.111577384908731E-04  1.228402292848137E-06 628999	   6      -3.25      -3.00  1.999417951739316E-04  1.162041093472873E-06 628999	   6      -3.25      -3.00  2.229223654621768E-04  1.299025170012090E-06 628999
   7      -3.00      -2.75  2.217889376703741E-04  1.303046381081077E-06 624705	   7      -3.00      -2.75  2.106628148002363E-04  1.239110123825955E-06 624705	   7      -3.00      -2.75  2.333541193985284E-04  1.369649143069579E-06 624705
   8      -2.75      -2.50  2.144319645066847E-04  1.209253911835001E-06 608963	   8      -2.75      -2.50  2.040913472120912E-04  1.150621219073125E-06 608963	   8      -2.75      -2.50  2.251177046382309E-04  1.270393258289570E-06 608963
   9      -2.50      -2.25  1.930764184759827E-04  1.111770354014956E-06 578003	   9      -2.50      -2.25  1.841390058814275E-04  1.062995488659454E-06 578003	   9      -2.50      -2.25  2.022527221998767E-04  1.161695145567951E-06 578003
  10      -2.25      -2.00  1.606636860305428E-04  9.740220807046329E-07 538906	  10      -2.25      -2.00  1.533574106763079E-04  9.323673088814542E-07 538906	  10      -2.25      -2.00  1.681549766773544E-04  1.016489259434317E-06 538906
  11      -2.00      -1.75  1.261305708797869E-04  8.022044370638613E-07 490806	  11      -2.00      -1.75  1.204255021840318E-04  7.696090705117562E-07 490806	  11      -2.00      -1.75  1.319885830274753E-04  8.351382166262252E-07 490806
  12      -1.75      -1.50  9.055334179554799E-05  6.440035267028151E-07 434577	  12      -1.75      -1.50  8.638978523792106E-05  6.189321081103782E-07 434577	  12      -1.75      -1.50  9.484987601310277E-05  6.690374836048765E-07 434577
  13      -1.50      -1.25  6.265182522319511E-05  4.762245874915779E-07 376429	  13      -1.50      -1.25  5.966042225658874E-05  4.561647048224500E-07 376429	  13      -1.50      -1.25  6.576952692824046E-05  4.967123552300840E-07 376429
  14      -1.25      -1.00  3.820884438061809E-05  3.260104791305148E-07 318255	  14      -1.25      -1.00  3.627872715162608E-05  3.143539941418370E-07 318255	  14      -1.25      -1.00  4.024887944788093E-05  3.374349743506116E-07 318255
  15      -1.00      -0.75  2.341091981145892E-05  2.059515690691738E-07 264071	  15      -1.00      -0.75  2.211902570254432E-05  1.968690266564340E-07 264071	  15      -1.00      -0.75  2.480148240748950E-05  2.152987881327395E-07 264071
  16      -0.75      -0.50  1.503395658318408E-05  1.476423556023776E-07 221686	  16      -0.75      -0.50  1.412169267628853E-05  1.404835157812092E-07 221686	  16      -0.75      -0.50  1.603258970309100E-05  1.551270438727275E-07 221686
  17      -0.50      -0.25  1.435242636195778E-05  1.535495911895621E-07 194901	  17      -0.50      -0.25  1.344569866739510E-05  1.450188692660090E-07 194901	  17      -0.50      -0.25  1.534594912703131E-05  1.626422150502798E-07 194901
  18      -0.25       0.00  2.159036931461908E-05  2.304812594879220E-07 186212	  18      -0.25       0.00  2.033355239271478E-05  2.190039003807213E-07 186212	  18      -0.25       0.00  2.293871404833241E-05  2.424178353962817E-07 186212
  19       0.00       0.25  3.845023624500563E-05  3.775021769661400E-07 196571	  19       0.00       0.25  3.641392614984045E-05  3.601039112471438E-07 196571	  19       0.00       0.25  4.058730519537511E-05  3.952826309388766E-07 196571
  20       0.25       0.50  6.314730746040735E-05  5.329648911553422E-07 225023	  20       0.25       0.50  6.003259822092716E-05  5.101445832809994E-07 225023	  20       0.25       0.50  6.636416093832944E-05  5.559430739353489E-07 225023
  21       0.50       0.75  9.487514095063857E-05  6.954643907811594E-07 273001	  21       0.50       0.75  9.040799710581320E-05  6.656044399388272E-07 273001	  21       0.50       0.75  9.944011901697635E-05  7.256090707481184E-07 273001
