# title = Rapidity Muon
# xlabel = $y_{\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 317333280
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.666906059488040E-04  1.349877227491646E-06 323157	   1      -2.50      -2.25  1.572429050212943E-04  1.276751952437705E-06 323157	   1      -2.50      -2.25  1.766853931110619E-04  1.426876138877421E-06 323157
   2      -2.25      -2.00  2.215076780765133E-04  1.515314205162751E-06 445679	   2      -2.25      -2.00  2.092356536868427E-04  1.435943994254391E-06 445679	   2      -2.25      -2.00  2.344578158921166E-04  1.598981916579627E-06 445679
   3      -2.00      -1.75  2.759815209973104E-04  1.614628475337233E-06 581176	   3      -2.00      -1.75  2.609226007654915E-04  1.531710478883179E-06 581176	   3      -2.00      -1.75  2.918426843451221E-04  1.701689690715940E-06 581176
   4      -1.75      -1.50  3.258272798545961E-04  1.675215438826664E-06 709551	   4      -1.75      -1.50  3.084136079279486E-04  1.589950586376280E-06 709551	   4      -1.75      -1.50  3.441204617604916E-04  1.765002409388350E-06 709551
   5      -1.50      -1.25  3.621588290603579E-04  1.670476550419838E-06 829962	   5      -1.50      -1.25  3.431818885730186E-04  1.586792404511875E-06 829962	   5      -1.50      -1.25  3.820378290233917E-04  1.758414637473635E-06 829962
   6      -1.25      -1.00  3.783746927372996E-04  1.620804152248829E-06 942451	   6      -1.25      -1.00  3.588281999133056E-04  1.541799856564618E-06 942451	   6      -1.25      -1.00  3.988137210584592E-04  1.703536862739062E-06 942451
   7      -1.00      -0.75  3.746131651670696E-04  1.511819245597121E-06 1040124	   7      -1.00      -0.75  3.553475122165275E-04  1.435278148540178E-06 1040124	   7      -1.00      -0.75  3.947599629632519E-04  1.592577501419232E-06 1040124
   8      -0.75      -0.50  3.583004469594438E-04  1.322433008057093E-06 1127526	   8      -0.75      -0.50  3.400863067694262E-04  1.259035629786667E-06 1127526	   8      -0.75      -0.50  3.773212508093164E-04  1.388695468827790E-06 1127526
   9      -0.50      -0.25  3.257639112632988E-04  1.128493335293293E-06 1200762	   9      -0.50      -0.25  3.092134699843140E-04  1.075106503105334E-06 1200762	   9      -0.50      -0.25  3.430592373479546E-04  1.184162743586467E-06 1200762
  10      -0.25       0.00  2.871881684860126E-04  9.919207860636156E-07 1256185	  10      -0.25       0.00  2.724511700307315E-04  9.441826935115391E-07 1256185	  10      -0.25       0.00  3.026373381638710E-04  1.042003736350733E-06 1256185
  11       0.00       0.25  2.457485724037587E-04  8.205507999072985E-07 1289673	  11       0.00       0.25  2.330124747704346E-04  7.803461705879463E-07 1289673	  11       0.00       0.25  2.591303135683769E-04  8.627941986186278E-07 1289673
  12       0.25       0.50  2.020769310796360E-04  6.515687883586657E-07 1302521	  12       0.25       0.50  1.913481343000596E-04  6.185068847448369E-07 1302521	  12       0.25       0.50  2.134123048634741E-04  6.866605220168334E-07 1302521
  13       0.50       0.75  1.652366330924226E-04  5.773045224063066E-07 1287618	  13       0.50       0.75  1.563006718271780E-04  5.489811227041534E-07 1287618	  13       0.50       0.75  1.747155661301718E-04  6.070988962940467E-07 1287618
  14       0.75       1.00  1.305862105196330E-04  4.720505403006689E-07 1239139	  14       0.75       1.00  1.233355929218001E-04  4.478491559336560E-07 1239139	  14       0.75       1.00  1.383164682707873E-04  4.975926906296681E-07 1239139
  15       1.00       1.25  1.010174138993137E-04  4.170075829132421E-07 1159896	  15       1.00       1.25  9.523755048625483E-05  3.945404222423562E-07 1159896	  15       1.00       1.25  1.072165988356641E-04  4.409352616187906E-07 1159896
  16       1.25       1.50  7.622015563074984E-05  3.532167661332188E-07 1048978	  16       1.25       1.50  7.171837404572001E-05  3.344015372740697E-07 1048978	  16       1.25       1.50  8.107789629344811E-05  3.731122611604822E-07 1048978
  17       1.50       1.75  5.644420052558814E-05  3.063695600464869E-07 912217	  17       1.50       1.75  5.299718351966264E-05  2.894153108128927E-07 912217	  17       1.50       1.75  6.018699858493610E-05  3.244180500954365E-07 912217
  18       1.75       2.00  4.160810326162359E-05  3.274381168861457E-07 754434	  18       1.75       2.00  3.901337252673987E-05  3.049024308352774E-07 754434	  18       1.75       2.00  4.443466243829360E-05  3.526917244136589E-07 754434
  19       2.00       2.25  2.936297710970213E-05  2.331052079294561E-07 588748	  19       2.00       2.25  2.746290041969215E-05  2.196691490810037E-07 588748	  19       2.00       2.25  3.144720431199756E-05  2.474999469339836E-07 588748
  20       2.25       2.50  2.066762239857760E-05  2.039492927373004E-07 439203	  20       2.25       2.50  1.928266422737849E-05  1.921941083188737E-07 439203	  20       2.25       2.50  2.219629212999745E-05  2.165712215491547E-07 439203
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       1.0363437796179278E-03  1.2116794288792082E-06 18479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
