# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^-\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^-\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 317333280
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.747812105915889E-07  4.694017025634486E-08 2670	   1      -5.00      -4.75  2.533708526754093E-07  4.333503622709047E-08 2670	   1      -5.00      -4.75  2.986966474576906E-07  5.091953077517600E-08 2670
   2      -4.75      -4.50  8.564448315089576E-07  7.120722298611876E-08 10173	   2      -4.75      -4.50  7.944216665332547E-07  6.654696132561504E-08 10173	   2      -4.75      -4.50  9.248182440677888E-07  7.622010611529371E-08 10173
   3      -4.50      -4.25  1.825043883402699E-06  1.031161691463363E-07 21699	   3      -4.50      -4.25  1.694258324113548E-06  9.656727922428277E-08 21699	   3      -4.50      -4.25  1.968868720258702E-06  1.101094673320681E-07 21699
   4      -4.25      -4.00  3.192658475310078E-06  1.165346675196081E-07 38843	   4      -4.25      -4.00  2.976977738216682E-06  1.095195292742453E-07 38843	   4      -4.25      -4.00  3.427741067585521E-06  1.240262617044556E-07 38843
   5      -4.00      -3.75  4.920231832601460E-06  1.518638761127628E-07 61377	   5      -4.00      -3.75  4.601287703519721E-06  1.428285486942311E-07 61377	   5      -4.00      -3.75  5.265344707220821E-06  1.614769225246048E-07 61377
   6      -3.75      -3.50  7.396486902845420E-06  1.765008701442840E-07 91522	   6      -3.75      -3.50  6.931905055079481E-06  1.661299920566610E-07 91522	   6      -3.75      -3.50  7.896128046437460E-06  1.875028438963655E-07 91522
   7      -3.50      -3.25  1.089070470971759E-05  2.094627336829139E-07 129406	   7      -3.50      -3.25  1.023597920782993E-05  1.976810733301553E-07 129406	   7      -3.50      -3.25  1.158883871403898E-05  2.218765064907917E-07 129406
   8      -3.25      -3.00  1.454895280597883E-05  2.898009081238759E-07 176911	   8      -3.25      -3.00  1.369896111176936E-05  2.692589706659314E-07 176911	   8      -3.25      -3.00  1.545238503508996E-05  3.129709871024489E-07 176911
   9      -3.00      -2.75  1.802273164651500E-05  2.281713910498521E-07 233241	   9      -3.00      -2.75  1.700919016236919E-05  2.165542581893083E-07 233241	   9      -3.00      -2.75  1.909161520984348E-05  2.401901347368089E-07 233241
  10      -2.75      -2.50  2.284664620447717E-05  2.424691413565289E-07 297909	  10      -2.75      -2.50  2.159362388053547E-05  2.300896499869366E-07 297909	  10      -2.75      -2.50  2.416304852128730E-05  2.553508205062339E-07 297909
