# title = Transverse Momentum Electron
# xlabel = $p_{\text{T},\text{e}^-}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^-}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1250200555
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  1.623568243288165E-03  7.077966109249731E-07 478679325	   2      20.00      40.00  1.517143624363992E-03  6.501751688535431E-07 478679325	   2      20.00      40.00  1.744654528560986E-03  7.768476045622597E-07 478679325
   3      40.00      60.00  1.440766650442254E-03  7.022472223216285E-07 382868627	   3      40.00      60.00  1.346421327518225E-03  6.459166495592484E-07 382868627	   3      40.00      60.00  1.548172429193272E-03  7.697184734069153E-07 382868627
   4      60.00      80.00  1.066056777470197E-03  6.280056339693475E-07 259474707	   4      60.00      80.00  9.948502364114250E-04  5.773866883848938E-07 259474707	   4      60.00      80.00  1.147410665886418E-03  6.886717982136910E-07 259474707
   5      80.00     100.00  7.662025396938028E-04  5.502787361116712E-07 185309657	   5      80.00     100.00  7.136532695971386E-04  5.051563920136946E-07 185309657	   5      80.00     100.00  8.265029579541428E-04  6.045091337060631E-07 185309657
   6     100.00     120.00  5.530820700855051E-04  4.606939730075462E-07 137320160	   6     100.00     120.00  5.140897767126034E-04  4.234142998491378E-07 137320160	   6     100.00     120.00  5.980194823763858E-04  5.052943275901377E-07 137320160
   7     120.00     140.00  4.053755141868390E-04  3.977458375514044E-07 104837145	   7     120.00     140.00  3.760159563902385E-04  3.651842777574498E-07 104837145	   7     120.00     140.00  4.393494362875321E-04  4.367230656700805E-07 104837145
   8     140.00     160.00  3.007005795834705E-04  3.353512724294354E-07 82050500	   8     140.00     160.00  2.783384878678978E-04  3.075922928182548E-07 82050500	   8     140.00     160.00  3.266791932779677E-04  3.686102700978037E-07 82050500
   9     160.00     180.00  2.263978087650567E-04  2.863476092265565E-07 65559427	   9     160.00     180.00  2.091542055456363E-04  2.625176236057959E-07 65559427	   9     160.00     180.00  2.464985257389595E-04  3.148865991527312E-07 65559427
  10     180.00     200.00  1.725433511809037E-04  2.435592554792839E-07 53308378	  10     180.00     200.00  1.590775884432956E-04  2.229062584111875E-07 53308378	  10     180.00     200.00  1.882949708921796E-04  2.683687331958793E-07 53308378
  11     200.00     220.00  1.322331867406638E-04  2.082757634152345E-07 44042294	  11     200.00     220.00  1.216903009949059E-04  1.905364277883927E-07 44042294	  11     200.00     220.00  1.446024324864784E-04  2.295764632981257E-07 44042294
  12     220.00     240.00  1.028974380237427E-04  1.794849338689642E-07 36855085	  12     220.00     240.00  9.451774008784939E-05  1.639577473222767E-07 36855085	  12     220.00     240.00  1.127572769129521E-04  1.981544315273253E-07 36855085
  13     240.00     260.00  8.061388847032729E-05  1.531093500019796E-07 31181998	  13     240.00     260.00  7.391671528360480E-05  1.397158807100000E-07 31181998	  13     240.00     260.00  8.851591367279869E-05  1.692353797738024E-07 31181998
  14     260.00     280.00  6.339331526625002E-05  1.337552982314647E-07 26652736	  14     260.00     280.00  5.802526085617235E-05  1.219927920857283E-07 26652736	  14     260.00     280.00  6.974348114609336E-05  1.479105891490672E-07 26652736
  15     280.00     300.00  5.025537014540016E-05  1.171961712697473E-07 22978414	  15     280.00     300.00  4.592297443336728E-05  1.067946062778638E-07 22978414	  15     280.00     300.00  5.539220978904545E-05  1.297201541185296E-07 22978414
  16     300.00     320.00  4.016902487983203E-05  1.026753045593435E-07 19964599	  16     300.00     320.00  3.664622508918352E-05  9.340851714733054E-08 19964599	  16     300.00     320.00  4.435586311272029E-05  1.138548156262447E-07 19964599
  17     320.00     340.00  3.209166483837659E-05  8.959278525286381E-08 17471277	  17     320.00     340.00  2.923190939693648E-05  8.145863149466229E-08 17471277	  17     320.00     340.00  3.549734307504426E-05  9.940591424093477E-08 17471277
