# title = Transverse Momentum anti--Muon-Muon
# xlabel = $p_{\text{T},\mu^+\mu^-}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1250200555
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.749684117170569E-04  3.129915828105697E-07 98126262	   1       0.00      20.00  2.582551917479434E-04  2.885787781545378E-07 98126262	   1       0.00      20.00  2.937631081529224E-04  3.420852481307257E-07 98126262
   2      20.00      40.00  6.959300024167807E-04  4.999188584773697E-07 161844638	   2      20.00      40.00  6.531647776874467E-04  4.607565338153443E-07 161844638	   2      20.00      40.00  7.441116762616705E-04  5.467409621526243E-07 161844638
   3      40.00      60.00  8.719301596736434E-04  5.666755708148147E-07 172879985	   3      40.00      60.00  8.173566770743840E-04  5.224459442198135E-07 172879985	   3      40.00      60.00  9.336060979751247E-04  6.194803173475671E-07 172879985
   4      60.00      80.00  8.520991928361793E-04  5.770995477945385E-07 164155338	   4      60.00      80.00  7.975318702835934E-04  5.313804284507142E-07 164155338	   4      60.00      80.00  9.140050395418641E-04  6.317344504176195E-07 164155338
   5      80.00     100.00  7.236100985452638E-04  5.421739419869359E-07 144513777	   5      80.00     100.00  6.761539144642439E-04  4.983720681792367E-07 144513777	   5      80.00     100.00  7.776538950234630E-04  5.946082543053979E-07 144513777
   6     100.00     120.00  6.107560008346729E-04  4.789638225802646E-07 127944760	   6     100.00     120.00  5.696667026915653E-04  4.401782746874453E-07 127944760	   6     100.00     120.00  6.577363046133648E-04  5.253830121284672E-07 127944760
   7     120.00     140.00  5.183812308829500E-04  4.313052626549434E-07 114107215	   7     120.00     140.00  4.826178753493479E-04  3.959830287392206E-07 114107215	   7     120.00     140.00  5.594309351106114E-04  4.736575722143254E-07 114107215
   8     140.00     160.00  4.361868168307072E-04  3.959217989712992E-07 101463499	   8     140.00     160.00  4.053573635495817E-04  3.624731137512974E-07 101463499	   8     140.00     160.00  4.717012897269222E-04  4.362664953108895E-07 101463499
   9     160.00     180.00  3.659314240888217E-04  3.533587909451240E-07 89975609	   9     160.00     180.00  3.394311227295664E-04  3.235849239176758E-07 89975609	   9     160.00     180.00  3.965699963803591E-04  3.891384964133955E-07 89975609
  10     180.00     200.00  3.052187924324232E-04  3.165738485106925E-07 79775003	  10     180.00     200.00  2.826091608399078E-04  2.897697742977456E-07 79775003	  10     180.00     200.00  3.314463287269680E-04  3.487699233023186E-07 79775003
