# title = Azimuthal Angle between two jets
# xlabel = $\phi_{\text{j}_1\text{j}_2}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 317333280
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  8.185969133881437E-05  5.144712251569810E-07 346310
   2       0.08       0.16  8.003258180410754E-05  4.895605671816151E-07 346187
   3       0.16       0.24  8.241717434288531E-05  5.163831607847525E-07 346631
   4       0.24       0.31  8.424666693707902E-05  5.367384322959190E-07 346485
   5       0.31       0.39  8.751702166655243E-05  5.475119366986181E-07 349606
   6       0.39       0.47  8.920036831408974E-05  5.502866242323997E-07 351683
   7       0.47       0.55  9.266494816334262E-05  5.869593408005974E-07 352309
   8       0.55       0.63  9.555560116055169E-05  6.138960764936491E-07 353808
   9       0.63       0.71  1.002059811475612E-04  6.123740479597118E-07 354889
  10       0.71       0.79  1.067653337217811E-04  6.601335190391687E-07 358949
  11       0.79       0.86  1.125835251172925E-04  7.153306135764037E-07 361795
  12       0.86       0.94  1.206864177213275E-04  7.830537316863712E-07 365643
  13       0.94       1.02  1.261379280372544E-04  7.785478679989377E-07 368722
  14       1.02       1.10  1.375522563976048E-04  8.661764612307409E-07 373933
  15       1.10       1.18  1.461484323410974E-04  9.308330311979953E-07 376709
  16       1.18       1.26  1.562352485373091E-04  9.839767594601956E-07 382301
  17       1.26       1.33  1.708314990008127E-04  1.090276795312310E-06 389141
  18       1.33       1.41  1.837364144028965E-04  1.143621884061157E-06 393094
  19       1.41       1.49  2.030566459915382E-04  1.304611194669674E-06 399227
  20       1.49       1.57  2.164537681373326E-04  1.395840345715726E-06 406461
  21       1.57       1.65  2.338465512363677E-04  1.487032592876059E-06 413856
  22       1.65       1.73  2.561605640386230E-04  1.642898683670694E-06 422342
  23       1.73       1.81  2.757613050189936E-04  1.715573315581011E-06 430965
  24       1.81       1.89  2.987726933410276E-04  1.820252875517664E-06 440061
  25       1.89       1.96  3.268047633258698E-04  2.070400077051077E-06 449684
  26       1.96       2.04  3.589336108152719E-04  2.176338100833578E-06 461204
  27       2.04       2.12  3.840644614093474E-04  2.325045978315205E-06 471835
  28       2.12       2.20  4.198721448567121E-04  2.600997341166908E-06 486795
  29       2.20       2.28  4.564372183364333E-04  2.742936043742955E-06 499729
  30       2.28       2.36  4.915181267502786E-04  3.042119269243651E-06 515940
  31       2.36       2.44  5.322805968979674E-04  3.146086823423074E-06 534048
  32       2.44       2.51  5.728529211629196E-04  3.316889956295628E-06 552787
  33       2.51       2.59  6.182668445401495E-04  3.641032771243777E-06 574789
  34       2.59       2.67  6.645294075345665E-04  3.852563405033069E-06 596931
  35       2.67       2.75  7.206844656494731E-04  4.331810179711641E-06 625474
  36       2.75       2.83  7.559214478165605E-04  4.387305511230934E-06 654386
  37       2.83       2.91  7.918087184326048E-04  4.436905920687936E-06 688925
  38       2.91       2.98  8.312696639900862E-04  4.761718843626639E-06 727879
  39       2.98       3.06  8.583597679622610E-04  4.740589298554915E-06 776264
  40       3.06       3.14  8.731060441017093E-04  4.835714545526931E-06 831223
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0363437796179257E-03  1.2117176138744133E-06 18479000
#=====================================================================================
