# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  3.748784994716438E-02  4.420052567829532E-05 118796253
   2       0.08       0.16  3.847071189892552E-02  4.423623983002045E-05 125995718
   3       0.16       0.24  4.091107804535792E-02  4.588954583701219E-05 120544767
   4       0.24       0.31  4.420845121160423E-02  4.977498117168847E-05 110998439
   5       0.31       0.39  4.744105146900986E-02  5.106773146662946E-05 101284874
   6       0.39       0.47  5.035004278332008E-02  5.334602735342692E-05 92499707
   7       0.47       0.55  5.260917305705816E-02  5.700748769090055E-05 84738430
   8       0.55       0.63  5.432702379237179E-02  6.049336153418297E-05 78012599
   9       0.63       0.71  5.527789049839950E-02  6.217293414301212E-05 72142999
  10       0.71       0.79  5.583823785135714E-02  6.503458711106467E-05 67006619
  11       0.79       0.86  5.621800792837427E-02  6.905586515633448E-05 62475674
  12       0.86       0.94  5.592324592810678E-02  6.792093299108565E-05 58458660
  13       0.94       1.02  5.551029486192156E-02  6.886483836885941E-05 54860296
  14       1.02       1.10  5.504400985955873E-02  6.944464876079625E-05 51650548
  15       1.10       1.18  5.432268868792866E-02  7.292881759557688E-05 48778900
  16       1.18       1.26  5.363203794445574E-02  7.110177100226629E-05 46198157
  17       1.26       1.33  5.265631700500143E-02  7.076470375940137E-05 43869996
  18       1.33       1.41  5.170478203269088E-02  7.003991783549740E-05 41808515
  19       1.41       1.49  5.073238286192285E-02  7.467855131725305E-05 39952197
  20       1.49       1.57  4.970868756065955E-02  6.967053575970129E-05 38298298
  21       1.57       1.65  4.867215025276991E-02  7.129731517956965E-05 36820072
  22       1.65       1.73  4.767311947133145E-02  7.203589041719908E-05 35512601
  23       1.73       1.81  4.670831738510631E-02  7.265346205216917E-05 34377399
  24       1.81       1.89  4.555265195258626E-02  6.630970812223804E-05 33399251
  25       1.89       1.96  4.460699250495032E-02  6.781016961738081E-05 32561508
  26       1.96       2.04  4.356207789164336E-02  6.978574629930763E-05 31875334
  27       2.04       2.12  4.279884352890075E-02  6.527067933377203E-05 31325699
  28       2.12       2.20  4.188900564017636E-02  6.359948674924615E-05 30930792
  29       2.20       2.28  4.106053258456871E-02  6.366135102543285E-05 30661346
  30       2.28       2.36  4.047843240079917E-02  6.422989750607057E-05 30553902
  31       2.36       2.44  3.984779375064350E-02  6.284448495540039E-05 30577708
  32       2.44       2.51  3.914748166556708E-02  6.138937761615302E-05 30778163
  33       2.51       2.59  3.866920509338558E-02  6.059319122857792E-05 31140267
  34       2.59       2.67  3.826399639145149E-02  6.191819872899940E-05 31675295
  35       2.67       2.75  3.794438330527043E-02  6.193404141649616E-05 32421608
  36       2.75       2.83  3.760562236694377E-02  6.180705408503003E-05 33384916
  37       2.83       2.91  3.718846309725304E-02  5.937335846953186E-05 34599756
  38       2.91       2.98  3.707699775895350E-02  5.967867885419070E-05 36114811
  39       2.98       3.06  3.687540288411873E-02  5.956941215390233E-05 38013195
  40       3.06       3.14  3.680157448105045E-02  6.087950804830808E-05 40473716
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.6136883563595131E-06  4.3543384737865347E-09 13479000
#=====================================================================================
