# title = Distance Electron--anti-Muon
# xlabel = $\Delta R_{\text{e}^-\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^-\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  5.534614978052651E-03  7.648323033585889E-06 44960106
   2       0.30       0.50  1.110469382982772E-02  1.133214621587892E-05 64515059
   3       0.50       0.70  1.657559069564240E-02  1.473851562275705E-05 76755265
   4       0.70       0.90  2.174336584208835E-02  1.813402246737880E-05 86289181
   5       0.90       1.10  2.662897328482429E-02  2.129367247938708E-05 94528397
   6       1.10       1.30  3.120031720875492E-02  2.519621264298399E-05 102018717
   7       1.30       1.50  3.534199996568648E-02  2.846021536749511E-05 109154748
   8       1.50       1.70  3.921351778025381E-02  3.127656651466590E-05 116121344
   9       1.70       1.90  4.282597687648809E-02  3.365952235114122E-05 123037633
  10       1.90       2.10  4.627830796035824E-02  3.674798480254469E-05 130037133
  11       2.10       2.30  4.970784146986199E-02  3.927098496256912E-05 137132784
  12       2.30       2.50  5.304393732122497E-02  4.268442590217221E-05 144437777
  13       2.50       2.70  5.637563121698027E-02  4.476893784192299E-05 151947042
  14       2.70       2.90  5.947411477484676E-02  4.655754666044900E-05 159580625
  15       2.90       3.10  6.212817662156270E-02  4.797958155854983E-05 166940096
  16       3.10       3.30  5.119470396831545E-02  4.679960979737229E-05 130679655
  17       3.30       3.50  3.403760458640747E-02  4.265081828231137E-05 81008560
  18       3.50       3.70  2.458093899424532E-02  3.942017253897790E-05 58401376
  19       3.70       3.90  1.771500266603407E-02  3.332652759375068E-05 43213777
  20       3.90       4.10  1.249525268789804E-02  2.793686109526258E-05 31957527
  21       4.10       4.30  8.691974682952186E-03  2.368641724316464E-05 23260450
  22       4.30       4.50  5.784764335145039E-03  1.877514693227882E-05 16427539
  23       4.50       4.70  3.730758692418925E-03  1.824033147268236E-05 11094805
  24       4.70       4.90  2.234595352275230E-03  1.129052255698433E-05 7016670
  25       4.90       5.10  1.232071636724492E-03  8.138586636831950E-06 3992812
  26       5.10       5.30  6.143416540150638E-04  5.583889569021479E-06 2032619
  27       5.30       5.50  2.589567618451171E-04  8.413002604704574E-06 885941
  28       5.50       5.70  7.899922588983703E-05  2.272013292887589E-06 278630
  29       5.70       5.90  9.945046742303930E-06  6.391765894429558E-07 35868
  30       5.90       6.10  5.414523713045431E-14  5.414523704627945E-14 1
  31       6.10       6.30  0.000000000000000E+00  0.000000000000000E+00 0
