# title = Invariant Mass Electron--anti-Muon System
# xlabel = $M_{\text{e}^-\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^-\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 317333280
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  1.750878959010936E-06  6.551807708026637E-09 1173319
   2      40.00      80.00  5.179812688996573E-06  1.278342565212944E-08 3174445
   3      80.00     120.00  5.894756081517139E-06  1.457416621697092E-08 3052578
   4     120.00     160.00  4.350099989735274E-06  1.329338900599840E-08 2102554
   5     160.00     200.00  2.887063255115328E-06  1.102732696341640E-08 1515567
   6     200.00     240.00  1.868589706616162E-06  8.693417158510470E-09 1148972
   7     240.00     280.00  1.212871253150489E-06  6.645316058728095E-09 899788
   8     280.00     320.00  8.058014929422941E-07  5.296164266051734E-09 722034
   9     320.00     360.00  5.458638926908617E-07  4.117000301946599E-09 591103
  10     360.00     400.00  3.808633936811178E-07  3.300712899985383E-09 493531
  11     400.00     440.00  2.688264739561141E-07  2.743648234813234E-09 415010
  12     440.00     480.00  1.903113752771670E-07  2.297506203239046E-09 353358
  13     480.00     520.00  1.417921742021972E-07  2.130440800465475E-09 303301
  14     520.00     560.00  1.000418039674000E-07  1.374220445154811E-09 261660
  15     560.00     600.00  7.557203669640391E-08  1.211108228968733E-09 227825
  16     600.00     640.00  5.693988902122326E-08  1.026310852831739E-09 199708
  17     640.00     680.00  4.266473427606505E-08  8.698674730616841E-10 174318
  18     680.00     720.00  3.222541199248218E-08  7.047671438342343E-10 154545
  19     720.00     760.00  2.538870607737674E-08  6.286216996285675E-10 136934
  20     760.00     800.00  2.001115412988259E-08  6.226366905398426E-10 122134
  21     800.00     840.00  1.540212928200389E-08  5.057075881174200E-10 108021
  22     840.00     880.00  1.176905420117731E-08  3.709086039689713E-10 96209
  23     880.00     920.00  9.750451817986298E-09  3.632981659639709E-10 87255
  24     920.00     960.00  7.095324119862950E-09  2.331155332075389E-10 78927
  25     960.00    1000.00  6.367362525601824E-09  2.395254662372578E-10 71002
  26    1000.00    1040.00  4.773321779759009E-09  2.485046203909857E-10 64682
  27    1040.00    1080.00  3.609938039108549E-09  1.391906408442077E-10 58267
  28    1080.00    1120.00  3.152700695508015E-09  1.392693853075194E-10 52136
  29    1120.00    1160.00  2.608079048713707E-09  1.299744113930906E-10 48225
  30    1160.00    1200.00  2.322393379219042E-09  1.425307601074368E-10 44105
  31    1200.00    1240.00  1.817105221827208E-09  1.656695457383937E-10 39834
  32    1240.00    1280.00  1.508010341285812E-09  9.001468922617302E-11 36691
  33    1280.00    1320.00  1.168231746862333E-09  6.642492110869407E-11 33513
  34    1320.00    1360.00  1.284111981919795E-09  3.153615220356110E-10 30941
  35    1360.00    1400.00  7.940196905843076E-10  6.180876912783935E-11 28311
  36    1400.00    1440.00  8.025669006016457E-10  1.349112957086963E-10 26374
  37    1440.00    1480.00  6.472558445650791E-10  6.347438286798764E-11 23978
  38    1480.00    1520.00  4.608456575081668E-10  5.192342095127946E-11 22050
  39    1520.00    1560.00  4.570139927025022E-10  4.789999469320555E-11 20747
  40    1560.00    1600.00  3.631936218110823E-10  3.832008627297126E-11 19078
  41    1600.00    1640.00  2.879233452025233E-10  2.980806165498159E-11 17422
  42    1640.00    1680.00  2.449430850709605E-10  2.752031667585388E-11 16407
  43    1680.00    1720.00  1.546435056612260E-10  1.176239482244455E-11 14893
