# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  9.349588935611742E-03  1.760693464920903E-05 37366213
   2      -2.25      -2.00  1.307472635365763E-02  2.071273271038772E-05 51224908
   3      -2.00      -1.75  1.756936815577058E-02  2.471447797143640E-05 66889206
   4      -1.75      -1.50  2.259253345465900E-02  2.928618713346348E-05 82551343
   5      -1.50      -1.25  2.778209429950687E-02  3.100697643065626E-05 97464161
   6      -1.25      -1.00  3.271488322108507E-02  3.226247031115553E-05 111114446
   7      -1.00      -0.75  3.697544212309356E-02  3.335891186171223E-05 123179904
   8      -0.75      -0.50  4.038968772581476E-02  3.440249163346495E-05 133365540
   9      -0.50      -0.25  4.282726457273685E-02  3.348456668778500E-05 141471326
  10      -0.25       0.00  4.405745673489843E-02  3.328902253170799E-05 147152661
  11       0.00       0.25  4.402492269415455E-02  3.211347394492264E-05 150196198
  12       0.25       0.50  4.290399010900957E-02  3.164301426022337E-05 150277108
  13       0.50       0.75  4.066244536026638E-02  3.116486779022315E-05 147176426
  14       0.75       1.00  3.721810704220493E-02  3.024287345536551E-05 140710517
  15       1.00       1.25  3.301696639906346E-02  2.950285560627412E-05 130817461
  16       1.25       1.50  2.806728140780748E-02  2.809012194621063E-05 117520653
  17       1.50       1.75  2.282753514165396E-02  2.429550187385694E-05 101384026
  18       1.75       2.00  1.773566869294657E-02  2.134756995023184E-05 83191856
  19       2.00       2.25  1.322328386341548E-02  1.821954871966749E-05 64589202
  20       2.25       2.50  9.405240178287687E-03  1.641740993677318E-05 47925845
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.6136883563594899E-06  4.3543156151713156E-09 13479000
#=====================================================================================
