# title = Rapidity Electron
# xlabel = $y_{\text{e}^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 317333280
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  4.012147812802288E-05  2.625687766544689E-07 477253
   2      -2.25      -2.00  6.232096609011332E-05  3.426985994159508E-07 584450
   3      -2.00      -1.75  9.080687767451203E-05  4.689537695978219E-07 693124
   4      -1.75      -1.50  1.281583761551406E-04  5.581477402417972E-07 801214
   5      -1.50      -1.25  1.690613422255787E-04  7.252172797380656E-07 899136
   6      -1.25      -1.00  2.158168127053110E-04  8.554754888601935E-07 987328
   7      -1.00      -0.75  2.631496343572480E-04  1.057921718672968E-06 1060138
   8      -0.75      -0.50  3.056393233304847E-04  1.246882293140536E-06 1112548
   9      -0.50      -0.25  3.372975688319470E-04  1.344788919799470E-06 1149133
  10      -0.25       0.00  3.604390307889558E-04  1.554848546120612E-06 1169897
  11       0.00       0.25  3.588200581069966E-04  1.524573660557329E-06 1169927
  12       0.25       0.50  3.538610486877247E-04  1.650928858861988E-06 1157971
  13       0.50       0.75  3.276482652255667E-04  1.553807819263994E-06 1128712
  14       0.75       1.00  2.897867317714302E-04  1.465174996670189E-06 1087112
  15       1.00       1.25  2.448057584711541E-04  1.304964350716192E-06 1032048
  16       1.25       1.50  2.007913271185542E-04  1.174708342794167E-06 964887
  17       1.50       1.75  1.537866368728806E-04  9.368072031827473E-07 886036
  18       1.75       2.00  1.126835408485812E-04  7.405102136130332E-07 797108
  19       2.00       2.25  7.880587305126520E-05  5.615461235571955E-07 706058
  20       2.25       2.50  5.157446803021294E-05  4.244981907085781E-07 614920
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0363437796179200E-03  1.2116839954519264E-06 18479000
#=====================================================================================
