# title = Rapidity Muon
# xlabel = $y_{\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  9.593468980944967E-03  1.797845438301960E-05 37379596
   2      -2.25      -2.00  1.332779557332945E-02  2.196557024034709E-05 51221273
   3      -2.00      -1.75  1.777295815058873E-02  2.537231334323951E-05 66868727
   4      -1.75      -1.50  2.274105816934391E-02  2.915118339384644E-05 82566749
   5      -1.50      -1.25  2.783777759116383E-02  3.178798757358876E-05 97455268
   6      -1.25      -1.00  3.270165007576721E-02  3.246735903859990E-05 111113088
   7      -1.00      -0.75  3.689269376384898E-02  3.363060991483058E-05 123175280
   8      -0.75      -0.50  4.024561333754768E-02  3.312257043152522E-05 133380712
   9      -0.50      -0.25  4.254620543563607E-02  3.309381812244528E-05 141423162
  10      -0.25       0.00  4.376510379181983E-02  3.248249638790709E-05 147175182
  11       0.00       0.25  4.382280440909742E-02  3.205807634104893E-05 150208785
  12       0.25       0.50  4.266064605385190E-02  3.122139411787533E-05 150287673
  13       0.50       0.75  4.040612665847183E-02  3.116501415196085E-05 147173272
  14       0.75       1.00  3.713761739904305E-02  3.047108891455648E-05 140709913
  15       1.00       1.25  3.291776395646302E-02  2.889721677275334E-05 130796677
  16       1.25       1.50  2.817116846532842E-02  2.805614233740758E-05 117526150
  17       1.50       1.75  2.290975222198316E-02  2.502116028805839E-05 101371951
  18       1.75       2.00  1.787224106532910E-02  2.149379453229958E-05 83208381
  19       2.00       2.25  1.342448097077168E-02  1.873681187632468E-05 64596698
  20       2.25       2.50  9.671560395317335E-03  1.597119330201810E-05 47930463
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.6136883563594992E-06  4.3543155281900921E-09 13479000
#=====================================================================================
