# title = Transverse Mass of W
# xlabel = $M_{\text{T},\text{W}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  5.076480238718278E-04  3.238267097205016E-07 230773226
   2      20.00      40.00  6.767069314678514E-04  3.919703384159975E-07 277784703
   3      40.00      60.00  1.213939684794233E-03  5.860845477786994E-07 411985813
   4      60.00      80.00  3.836251129000753E-03  1.208825048278776E-06 980292586
   5      80.00     100.00  8.980850321354928E-04  6.291806920881689E-07 205649061
   6     100.00     120.00  3.590555270929350E-05  1.300732270022667E-07 7964226
   7     120.00     140.00  1.390667540583660E-05  7.637957345466982E-08 3111719
   8     140.00     160.00  7.326170244959337E-06  6.041191047510559E-08 1679600
   9     160.00     180.00  4.350817634361928E-06  4.300583141031614E-08 1061172
  10     180.00     200.00  2.842740689317603E-06  3.817421956181456E-08 734838
  11     200.00     220.00  1.986927590846397E-06  3.010886522258818E-08 541623
  12     220.00     240.00  1.406348120702930E-06  2.285925548802888E-08 418066
  13     240.00     260.00  9.762205260347163E-07  1.636695681005339E-08 335725
  14     260.00     280.00  7.376752764829703E-07  1.544343102353788E-08 275650
  15     280.00     300.00  5.986752832969536E-07  1.359878571203223E-08 231049
  16     300.00     320.00  4.427314159615641E-07  1.024218362022355E-08 197065
  17     320.00     340.00  3.474130999564674E-07  8.590009407198835E-09 171616
  18     340.00     360.00  2.926434182417035E-07  8.522134288795311E-09 150553
  19     360.00     380.00  2.426220101551855E-07  8.118627298171782E-09 133884
  20     380.00     400.00  1.896648645211958E-07  7.241678328722822E-09 119271
  21     400.00     420.00  1.587799057561472E-07  6.215069883073526E-09 107263
  22     420.00     440.00  1.285525198235392E-07  5.412120174617613E-09 98089
  23     440.00     460.00  1.044305568158567E-07  4.007827814382375E-09 89020
  24     460.00     480.00  8.696701467564189E-08  3.548994353608089E-09 81645
  25     480.00     500.00  8.035558142602573E-08  5.149709853915305E-09 75064
  26     500.00     520.00  6.359948735827285E-08  4.397992756743750E-09 69215
  27     520.00     540.00  5.780107355579541E-08  3.026538624602557E-09 64618
  28     540.00     560.00  4.767082007639436E-08  2.856210712258906E-09 59905
  29     560.00     580.00  3.995539415896086E-08  2.131421947157003E-09 55893
  30     580.00     600.00  3.125218264149391E-08  1.473943009683609E-09 52556
  31     600.00     620.00  2.941882502605952E-08  1.632763958719087E-09 48914
  32     620.00     640.00  2.495916330932642E-08  1.431472555629758E-09 46241
  33     640.00     660.00  2.099355031616067E-08  1.397330798713240E-09 43223
  34     660.00     680.00  1.724350285775472E-08  9.437291262387720E-10 40680
  35     680.00     700.00  1.634608519273300E-08  1.156692567256984E-09 38736
  36     700.00     720.00  1.459153649346289E-08  9.916828218703277E-10 36085
  37     720.00     740.00  1.187229779761632E-08  7.054797116085714E-10 34704
  38     740.00     760.00  1.125310791628715E-08  7.683362210973846E-10 32923
  39     760.00     780.00  9.246920110129608E-09  8.433025149947593E-10 31238
