# title = Transverse Momentum anti--Muon-Muon
# xlabel = $p_{\text{T},\mu^+\mu^-}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 317333280
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.125147111384808E-06  1.245047870844976E-08 720252
   2      20.00      40.00  5.392497584089546E-06  2.136800878710165E-08 1261581
   3      40.00      60.00  6.742734433813105E-06  2.413839001822744E-08 1416648
   4      60.00      80.00  6.500355064859124E-06  2.434095018125892E-08 1389264
   5      80.00     100.00  5.444709377513489E-06  2.099258933207187E-08 1244536
   6     100.00     120.00  4.535899940003831E-06  1.880376790968036E-08 1111705
   7     120.00     140.00  3.776429027803668E-06  1.613584777424569E-08 994917
   8     140.00     160.00  3.125298854044796E-06  1.410614024307336E-08 886989
   9     160.00     180.00  2.589243146012194E-06  1.253423263401146E-08 788354
  10     180.00     200.00  2.118830926230143E-06  1.070859023932250E-08 696535
  11     200.00     220.00  1.742702027915120E-06  9.415873555294556E-09 618590
  12     220.00     240.00  1.430802711411240E-06  8.332831576807217E-09 551641
  13     240.00     260.00  1.146749746020046E-06  7.142391957893678E-09 492398
  14     260.00     280.00  9.483014154023717E-07  6.214866583024290E-09 442994
  15     280.00     300.00  7.629807191355933E-07  5.189798182421528E-09 398620
  16     300.00     320.00  6.167696029994094E-07  4.688560685877317E-09 359447
  17     320.00     340.00  5.101350813061099E-07  4.022061517458329E-09 327096
  18     340.00     360.00  4.098197061539407E-07  3.358645475998326E-09 297895
  19     360.00     380.00  3.280527977299117E-07  2.803528944744028E-09 272100
  20     380.00     400.00  2.740750458840599E-07  2.504408664086553E-09 249920
  21     400.00     420.00  2.248672801742160E-07  2.214140641434257E-09 230180
  22     420.00     440.00  1.815816657945109E-07  1.836871088132555E-09 212566
  23     440.00     460.00  1.479530149351738E-07  1.660406416137447E-09 195516
  24     460.00     480.00  1.241178025826934E-07  1.511970684049113E-09 181545
  25     480.00     500.00  1.017504648812841E-07  1.244742099385552E-09 168491
  26     500.00     520.00  8.443985562397078E-08  1.061808297878234E-09 155986
