# title = Cosine of Angle between Muon and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  1.968642378066563E-02  3.113193911141265E-05 28144647
   2      -0.90      -0.80  2.109742512922355E-02  3.342433605111421E-05 26994364
   3      -0.80      -0.70  2.268082007030572E-02  3.447057462566305E-05 27525834
   4      -0.70      -0.60  2.461113561303774E-02  3.849957169126366E-05 28769132
   5      -0.60      -0.50  2.677987304715925E-02  3.854545422978081E-05 30631958
   6      -0.50      -0.40  2.920195998606478E-02  4.053963603109906E-05 32954473
   7      -0.40      -0.30  3.195183030193804E-02  4.216982763420905E-05 35715695
   8      -0.30      -0.20  3.522860909204158E-02  4.466134189131151E-05 38976104
   9      -0.20      -0.10  3.909922717623034E-02  5.083370899794935E-05 42833282
  10      -0.10       0.00  4.337045835093811E-02  5.248042135825487E-05 47388202
  11       0.00       0.10  4.858750293047098E-02  5.667523993002243E-05 52881172
  12       0.10       0.20  5.457697446960889E-02  5.850992189351688E-05 59560240
  13       0.20       0.30  6.198942247687662E-02  6.214980952500181E-05 67890482
  14       0.30       0.40  7.101587092675406E-02  6.798989877943189E-05 78541622
  15       0.40       0.50  8.233457775525774E-02  7.316447231478797E-05 92649678
  16       0.50       0.60  9.701096556812204E-02  8.032498938099014E-05 112343501
  17       0.60       0.70  1.169281830888149E-01  9.062270556572847E-05 141793033
  18       0.70       0.80  1.452114669233888E-01  9.984686039816826E-05 191205029
  19       0.80       0.90  1.874158022913723E-01  1.109387225569574E-04 293072589
  20       0.90       1.00  1.818563659718019E-01  9.840764532708990E-05 695697963
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.4694900055763050E-06  4.1334706433518129E-09 13479000
#=====================================================================================
