# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.100E+01
# ymin=  1.000E-05
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.30       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.50       0.70  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.70       0.90  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.90       1.10  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.10       1.30  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.30       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.50       1.70  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.70       1.90  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.90       2.10  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.10       2.30  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.30       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.50       2.70  1.121396496658498E-03  2.417812105188744E-06 13353361
  14       2.70       2.90  2.914611641003132E-03  4.144452296958378E-06 28404905
  15       2.90       3.10  5.383015090374228E-03  5.911208324033888E-06 42921539
  16       3.10       3.30  9.064041148962100E-03  8.329823636723717E-06 59025473
  17       3.30       3.50  1.447335607840719E-02  1.168890463448158E-05 77482941
  18       3.50       3.70  2.227900213063118E-02  1.610627544916451E-05 99076882
  19       3.70       3.90  3.305522879013757E-02  2.256334077544326E-05 125045287
  20       3.90       4.10  4.541116607755470E-02  2.855473246077598E-05 154049068
  21       4.10       4.30  4.986628482527957E-02  3.114769189528760E-05 157161374
  22       4.30       4.50  5.121954014821963E-02  3.400598632487380E-05 152261713
  23       4.50       4.70  5.123553348790277E-02  3.547540626988145E-05 145659593
  24       4.70       4.90  5.003908696226329E-02  3.772762962643743E-05 137425654
  25       4.90       5.10  4.763852306206233E-02  3.850028910301772E-05 127758324
  26       5.10       5.30  4.440995860638908E-02  3.857924980161034E-05 117084656
  27       5.30       5.50  4.043601865968808E-02  3.849947763254611E-05 105776077
  28       5.50       5.70  3.617082402487841E-02  3.843686073212576E-05 94260562
  29       5.70       5.90  3.172834246289798E-02  3.655188363523743E-05 82945705
  30       5.90       6.10  2.738279365697741E-02  3.696463626154123E-05 72119464
  31       6.10       6.30  2.310077054124642E-02  3.413772485708743E-05 62036485
  32       6.30       6.50  1.920883122552840E-02  3.197319982324518E-05 52824809
  33       6.50       6.70  1.574050179038738E-02  2.957294338972241E-05 44536723
  34       6.70       6.90  1.257697613955092E-02  2.559678843264951E-05 37215356
  35       6.90       7.10  9.891916845524377E-03  2.393860988738791E-05 30767835
  36       7.10       7.30  7.632879676078633E-03  2.101570439213362E-05 25166266
  37       7.30       7.50  5.705770377012955E-03  1.739016723492135E-05 20320483
  38       7.50       7.70  4.197316197410129E-03  1.552686957851096E-05 16186949
  39       7.70       7.90  2.978385584196218E-03  1.265956390890803E-05 12694230
  40       7.90       8.10  2.067264387339252E-03  1.061552214829388E-05 9770187
  41       8.10       8.30  1.368168943511443E-03  8.303612523673924E-06 7364123
  42       8.30       8.50  8.883810327259552E-04  6.816776862630263E-06 5396132
  43       8.50       8.70  5.408440070877124E-04  6.703687304537428E-06 3816048
  44       8.70       8.90  3.088518445948320E-04  3.885613702756231E-06 2578521
  45       8.90       9.10  1.640472208724611E-04  2.745863391426305E-06 1621573
  46       9.10       9.30  8.012111076276272E-05  1.971131958148112E-06 908379
  47       9.30       9.50  2.877937758877278E-05  1.191956198973275E-06 405394
  48       9.50       9.70  8.133918747248828E-06  6.343595955235033E-07 128947
  49       9.70       9.90  7.838951873808339E-07  8.866116227930587E-08 17976
  50       9.90      10.10  9.413676412782589E-12  5.937672191858997E-12 6
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.4694900055762940E-06  4.1334630100592202E-09 13479000
#=====================================================================================
