# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 317333280
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      20.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     140.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     180.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     220.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     260.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     300.00     340.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     340.00     380.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     380.00     420.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     420.00     460.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     460.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     500.00     540.00  1.157112856031795E-06  4.727471605488622E-09 596147
  14     540.00     580.00  1.152935146391188E-06  4.915837995024249E-09 581697
  15     580.00     620.00  1.144005333545241E-06  5.029796282487747E-09 563857
  16     620.00     660.00  1.143904954689477E-06  5.591569429762346E-09 547369
  17     660.00     700.00  1.104847902920634E-06  5.392421901826281E-09 528513
  18     700.00     740.00  1.072015915308396E-06  5.400144077645819E-09 509989
  19     740.00     780.00  1.034322751105147E-06  5.561565613694457E-09 490951
  20     780.00     820.00  1.004027169608188E-06  5.867073109105970E-09 474529
  21     820.00     860.00  9.471100006932495E-07  5.759215632450918E-09 454789
  22     860.00     900.00  9.060227067640758E-07  5.641647828155265E-09 437617
  23     900.00     940.00  8.471511142868204E-07  5.407482358675483E-09 420897
  24     940.00     980.00  8.128744012218078E-07  5.473393545981850E-09 404410
  25     980.00    1020.00  7.634680053930404E-07  5.290419692857562E-09 389781
  26    1020.00    1060.00  7.208673871520827E-07  5.153979577941697E-09 373771
  27    1060.00    1100.00  6.941500566893691E-07  5.150687539501668E-09 361068
  28    1100.00    1140.00  6.459118631579242E-07  5.121057496111878E-09 347275
