# title = Azimuthal Angle between two jets
# xlabel = $\phi_{\text{j}_1\text{j}_2}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 317333280
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  8.723717870211904E-05  5.473833734589916E-07 346310
   2       0.08       0.16  8.529705797159936E-05  5.200531315579094E-07 346187
   3       0.16       0.24  8.783638846042396E-05  5.487503229976647E-07 346631
   4       0.24       0.31  8.976736970159578E-05  5.699863720683228E-07 346485
   5       0.31       0.39  9.319655077744430E-05  5.811974798328946E-07 349606
   6       0.39       0.47  9.497069154772479E-05  5.843780204803613E-07 351683
   7       0.47       0.55  9.865232535215122E-05  6.234250802632917E-07 352309
   8       0.55       0.63  1.017024780049621E-04  6.535960795878841E-07 353808
   9       0.63       0.71  1.065928192561993E-04  6.484786156504685E-07 354889
  10       0.71       0.79  1.135604223013481E-04  7.012057900350529E-07 358949
  11       0.79       0.86  1.196491591457873E-04  7.566048999950523E-07 361795
  12       0.86       0.94  1.282053305664514E-04  8.292418108745425E-07 365643
  13       0.94       1.02  1.339398831616571E-04  8.238209136842927E-07 368722
  14       1.02       1.10  1.460172354270626E-04  9.160473442804215E-07 373933
  15       1.10       1.18  1.549866851531170E-04  9.831222772181313E-07 376709
  16       1.18       1.26  1.656492717633465E-04  1.040230624015643E-06 382301
  17       1.26       1.33  1.811051467633853E-04  1.152613280597329E-06 389141
  18       1.33       1.41  1.946330353632314E-04  1.206351339871661E-06 393094
  19       1.41       1.49  2.150031762423581E-04  1.375682636187027E-06 399227
  20       1.49       1.57  2.290987698625743E-04  1.470795174653751E-06 406461
  21       1.57       1.65  2.473400138407602E-04  1.569700927606319E-06 413856
  22       1.65       1.73  2.708993624696489E-04  1.731092191062900E-06 422342
  23       1.73       1.81  2.914311760526730E-04  1.807988601804524E-06 430965
  24       1.81       1.89  3.156657937415270E-04  1.916481576247596E-06 440061
  25       1.89       1.96  3.450584371414360E-04  2.177175410186197E-06 449684
  26       1.96       2.04  3.788674189570595E-04  2.287592585935980E-06 461204
  27       2.04       2.12  4.054078328637446E-04  2.446207607629081E-06 471835
  28       2.12       2.20  4.428768911268854E-04  2.726223623090235E-06 486795
  29       2.20       2.28  4.815861053209073E-04  2.894375589679423E-06 499729
  30       2.28       2.36  5.184021119501415E-04  3.192848962627308E-06 515940
  31       2.36       2.44  5.612467705615494E-04  3.307354722241507E-06 534048
  32       2.44       2.51  6.038015772949186E-04  3.488479554094836E-06 552787
  33       2.51       2.59  6.518808754580179E-04  3.828805703100172E-06 574789
  34       2.59       2.67  7.003731808065825E-04  4.051613190997055E-06 596931
  35       2.67       2.75  7.597112511928474E-04  4.565799791667294E-06 625474
  36       2.75       2.83  7.966860614950915E-04  4.628288476282357E-06 654386
  37       2.83       2.91  8.346690823087731E-04  4.669700141899114E-06 688925
  38       2.91       2.98  8.764794204717050E-04  5.018425498207481E-06 727879
  39       2.98       3.06  9.052975358356675E-04  5.000477389505546E-06 776264
  40       3.06       3.14  9.204111395484542E-04  5.091188641110759E-06 831223
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0944674999755436E-03  1.2761200761423260E-06 18479000
#=====================================================================================
