# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.100E+01
# ymin=  1.000E-05
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.30       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.50       0.70  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.70       0.90  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.90       1.10  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.10       1.30  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.30       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.50       1.70  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.70       1.90  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.90       2.10  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.10       2.30  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.30       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.50       2.70  1.285164398743209E-03  2.782782749383541E-06 13353361
  14       2.70       2.90  3.324721989880372E-03  4.750137074769144E-06 28404905
  15       2.90       3.10  6.114182170274218E-03  6.753932422997571E-06 42921539
  16       3.10       3.30  1.025382862961847E-02  9.487628695730942E-06 59025473
  17       3.30       3.50  1.631792191182890E-02  1.328051465483168E-05 77482941
  18       3.50       3.70  2.505126491085670E-02  1.827432573622489E-05 99076882
  19       3.70       3.90  3.711624373749564E-02  2.559854266049596E-05 125045287
  20       3.90       4.10  5.099916309924101E-02  3.244495330728037E-05 154049068
  21       4.10       4.30  5.614698132658567E-02  3.556178849698584E-05 157161374
  22       4.30       4.50  5.787549821384792E-02  3.900422164578161E-05 152261713
  23       4.50       4.70  5.814225450824922E-02  4.090972114997085E-05 145659593
  24       4.70       4.90  5.706971919503177E-02  4.377178192801666E-05 137425654
  25       4.90       5.10  5.465085603652396E-02  4.497031765045854E-05 127758324
  26       5.10       5.30  5.128725749902935E-02  4.538819502228800E-05 117084656
  27       5.30       5.50  4.704524103007091E-02  4.572894042672576E-05 105776077
  28       5.50       5.70  4.243178810073067E-02  4.588557154515433E-05 94260562
  29       5.70       5.90  3.755042156239203E-02  4.399732286671022E-05 82945705
  30       5.90       6.10  3.271627411044548E-02  4.484090842439525E-05 72119464
  31       6.10       6.30  2.787549919767534E-02  4.181828285308606E-05 62036485
  32       6.30       6.50  2.342420420756188E-02  3.945073526546026E-05 52824809
  33       6.50       6.70  1.940702862260411E-02  3.704550238923282E-05 44536723
  34       6.70       6.90  1.567697139779551E-02  3.214029581129349E-05 37215356
  35       6.90       7.10  1.247250300280438E-02  3.036443116292251E-05 30767835
  36       7.10       7.30  9.735288700326224E-03  2.674645056287184E-05 25166266
  37       7.30       7.50  7.371341645271676E-03  2.243399810897791E-05 20320483
  38       7.50       7.70  5.490236715548043E-03  2.017159600174013E-05 16186949
  39       7.70       7.90  3.948380583367581E-03  1.666877700657851E-05 12694230
  40       7.90       8.10  2.777571912257549E-03  1.413384059206436E-05 9770187
  41       8.10       8.30  1.865147340437502E-03  1.117808462786847E-05 7364123
  42       8.30       8.50  1.229597354759881E-03  9.287581252324827E-06 5396132
  43       8.50       8.70  7.596650727687335E-04  9.057305088386249E-06 3816048
  44       8.70       8.90  4.417794168732477E-04  5.532610555898559E-06 2578521
  45       8.90       9.10  2.383385320400101E-04  3.884665985987994E-06 1621573
  46       9.10       9.30  1.183226797170354E-04  2.836496073463955E-06 908379
  47       9.30       9.50  4.325960532330499E-05  1.746302440944652E-06 405394
  48       9.50       9.70  1.235917905682278E-05  9.291455839303588E-07 128947
  49       9.70       9.90  1.228748621196667E-06  1.388973875735376E-07 17976
  50       9.90      10.10  1.876826558426310E-11  1.247351687768216E-11 6
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.7733466252098383E-06  4.5973477365799456E-09 13479000
#=====================================================================================
