# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.100E+01
# ymin=  1.000E-05
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 317333280
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.30       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.50       0.70  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.70       0.90  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.90       1.10  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.10       1.30  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.30       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.50       1.70  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.70       1.90  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.90       2.10  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.10       2.30  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.30       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.50       2.70  7.027517112215285E-06  7.846166056244976E-08 119112
  14       2.70       2.90  1.938708285647401E-05  1.500088136557195E-07 254777
  15       2.90       3.10  3.960901117780507E-05  2.412353231568457E-07 387112
  16       3.10       3.30  7.036083588815079E-05  3.995701208785436E-07 531907
  17       3.30       3.50  1.191024817432891E-04  5.560149411413636E-07 690619
  18       3.50       3.70  1.931005354255719E-04  8.282689286691090E-07 867063
  19       3.70       3.90  2.967390545361650E-04  1.141337505100315E-06 1071710
  20       3.90       4.10  4.165179759811413E-04  1.528463808363588E-06 1292294
  21       4.10       4.30  4.641919673962060E-04  1.805651733597692E-06 1328116
  22       4.30       4.50  4.713696382060547E-04  1.880412149941358E-06 1300830
  23       4.50       4.70  4.627099483558478E-04  1.860720198775116E-06 1251272
  24       4.70       4.90  4.469586083184478E-04  1.903565859765095E-06 1190241
  25       4.90       5.10  4.141301584677331E-04  1.885327263373070E-06 1106427
  26       5.10       5.30  3.737037927238197E-04  1.778961609081880E-06 1017113
  27       5.30       5.50  3.276845827067572E-04  1.728005160735071E-06 919667
  28       5.50       5.70  2.841591985791817E-04  1.598434525823741E-06 819770
  29       5.70       5.90  2.384529539077453E-04  1.514154452587418E-06 720212
  30       5.90       6.10  1.952108055411467E-04  1.308099149264745E-06 628140
  31       6.10       6.30  1.603742473371052E-04  1.350823670424665E-06 540523
  32       6.30       6.50  1.257855568917096E-04  1.107073989779986E-06 463575
  33       6.50       6.70  9.703429012079805E-05  9.161795317624174E-07 391590
  34       6.70       6.90  7.417458541036816E-05  7.930378385497683E-07 328700
  35       6.90       7.10  5.407335257266546E-05  6.572180766310417E-07 273553
  36       7.10       7.30  3.998142556514946E-05  5.285033617598925E-07 226346
  37       7.30       7.50  2.853463899125166E-05  4.444896933590902E-07 184296
  38       7.50       7.70  1.925889503021944E-05  3.447715158816553E-07 148475
  39       7.70       7.90  1.260770048695270E-05  2.475979506718167E-07 118204
  40       7.90       8.10  8.489062000178381E-06  1.975650788169466E-07 91504
  41       8.10       8.30  5.159894600894140E-06  1.352529627000307E-07 70030
  42       8.30       8.50  2.931637095929650E-06  8.678804316742852E-08 52055
  43       8.50       8.70  1.767126917987211E-06  8.163167681743868E-08 37435
  44       8.70       8.90  1.004705461524603E-06  5.457078120321149E-08 25829
  45       8.90       9.10  4.232883241882600E-07  2.580599013900345E-08 15956
  46       9.10       9.30  2.111720034849957E-07  2.120069445135027E-08 9236
  47       9.30       9.50  8.198289655888178E-08  1.062262031156800E-08 3895
  48       9.50       9.70  2.609899484958356E-08  7.692753613856462E-09 1237
  49       9.70       9.90  1.690252167158139E-09  7.836681942833982E-10 179
  50       9.90      10.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0944674999755477E-03  1.2760889255819723E-06 18479000
#=====================================================================================
