# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 317333280
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  2.189818679522629E-09  2.054548756615588E-10 1392
   7      -3.00      -2.75  1.291173110244175E-07  3.113695570976887E-09 16228
   8      -2.75      -2.50  1.333632759213850E-06  1.837245345087523E-08 56385
   9      -2.50      -2.25  7.362062555562906E-06  6.801580871179250E-08 134259
  10      -2.25      -2.00  2.648920374780498E-05  1.744265404272854E-07 257194
  11      -2.00      -1.75  7.147439446468298E-05  3.753036990698131E-07 430855
  12      -1.75      -1.50  1.495923605399639E-04  6.602911214889107E-07 639637
  13      -1.50      -1.25  2.633684414648834E-04  1.043808582963400E-06 874372
  14      -1.25      -1.00  3.981657405799038E-04  1.462519084399142E-06 1115469
  15      -1.00      -0.75  5.211639463964812E-04  1.847715370656425E-06 1346314
  16      -0.75      -0.50  6.037581307995062E-04  2.152884446502656E-06 1554497
  17      -0.50      -0.25  6.176456800871674E-04  2.192812044144030E-06 1718563
  18      -0.25       0.00  5.548858679735407E-04  2.030065626991324E-06 1805314
  19       0.00       0.25  4.375077839257258E-04  1.659549276927143E-06 1764365
  20       0.25       0.50  3.074444461233374E-04  1.213322321920920E-06 1598143
  21       0.50       0.75  1.958692712623151E-04  8.108442260565000E-07 1378805
  22       0.75       1.00  1.120418620841176E-04  4.806559155524001E-07 1139855
  23       1.00       1.25  5.970078346790119E-05  2.986788268412905E-07 900636
  24       1.25       1.50  2.836219760138652E-05  1.455246738157608E-07 676407
  25       1.50       1.75  1.256318483799280E-05  7.547996797165067E-08 471696
  26       1.75       2.00  5.284591124210501E-06  3.793267432124561E-08 302037
  27       2.00       2.25  2.233957234947830E-06  1.858903581096691E-08 170590
  28       2.25       2.50  1.012015274368282E-06  1.107024822634743E-08 83417
  29       2.50       2.75  3.960532567588952E-07  5.869745265339512E-09 33128
  30       2.75       3.00  8.066195092454189E-08  2.677261936639500E-09 8746
  31       3.00       3.25  2.423259769772105E-09  3.383875084944631E-10 696
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0944674999755430E-03  1.2760308114441608E-06 18479000
#=====================================================================================
