# title = Transverse Mass of W-Z
# xlabel = $M_{\text{T},\text{W}\text{Z}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}\text{Z}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.106346366371469E-07  3.283223683377840E-09 260127
   2      20.00      40.00  1.597419828704919E-06  9.210022968299810E-09 1792967
   3      40.00      60.00  5.116446204039329E-06  1.721243204383706E-08 5066465
   4      60.00      80.00  1.328580319847928E-05  3.054068500674674E-08 11152203
   5      80.00     100.00  3.443084104453119E-05  5.406510178561052E-08 24316366
   6     100.00     120.00  1.011514351736954E-04  1.140638397112204E-07 57420212
   7     120.00     140.00  2.834279137433283E-04  2.332739746431548E-07 120673652
   8     140.00     160.00  6.745224626654940E-04  4.512328138868637E-07 206547131
   9     160.00     180.00  1.215660949359466E-03  6.865115434285078E-07 272894601
  10     180.00     200.00  1.073766165199448E-03  6.807959847097232E-07 199944856
  11     200.00     220.00  8.096306139213074E-04  5.993952229614855E-07 147916621
  12     220.00     240.00  6.234746438614311E-04  5.248806909985948E-07 117206938
  13     240.00     260.00  4.878272367729862E-04  4.542024218124825E-07 96240067
  14     260.00     280.00  3.893900068133432E-04  4.130041210864332E-07 80830679
  15     280.00     300.00  3.145599734200454E-04  3.821338551676762E-07 69006147
  16     300.00     320.00  2.560802604318975E-04  3.308615229075471E-07 59676322
  17     320.00     340.00  2.119081462932649E-04  2.947792110077704E-07 52136142
  18     340.00     360.00  1.763029407842015E-04  2.701890313386740E-07 45926420
  19     360.00     380.00  1.482181393798518E-04  2.536892701530672E-07 40752217
  20     380.00     400.00  1.246010222895914E-04  2.195933896732088E-07 36389347
  21     400.00     420.00  1.061016045891584E-04  1.993273789836196E-07 32644816
  22     420.00     440.00  9.091398951773750E-05  1.849777100787918E-07 29450325
  23     440.00     460.00  7.789730117758153E-05  1.697634215513455E-07 26673769
  24     460.00     480.00  6.664525035611045E-05  1.545036866910837E-07 24237380
  25     480.00     500.00  5.804686658899909E-05  1.407803074177155E-07 22103935
  26     500.00     520.00  5.000207350156262E-05  1.253480673287623E-07 20231393
  27     520.00     540.00  4.358888241389541E-05  1.153592470253717E-07 18559241
  28     540.00     560.00  3.819559397215597E-05  1.091212345803311E-07 17081926
  29     560.00     580.00  3.343623783044957E-05  9.997984203987174E-08 15750671
  30     580.00     600.00  2.927823429050016E-05  9.224064105777520E-08 14556901
  31     600.00     620.00  2.565367459899752E-05  8.371342401083738E-08 13488419
  32     620.00     640.00  2.269359362575971E-05  7.745061863765069E-08 12523326
  33     640.00     660.00  2.023297304318801E-05  7.341901493984056E-08 11646503
  34     660.00     680.00  1.769240591833384E-05  6.523565513292030E-08 10841061
  35     680.00     700.00  1.564598341313368E-05  5.915469121222021E-08 10123445
  36     700.00     720.00  1.386250044616465E-05  5.503889608879048E-08 9464881
  37     720.00     740.00  1.243213434988801E-05  5.347124298743444E-08 8855357
  38     740.00     760.00  1.113080333030546E-05  4.986607343639589E-08 8303404
  39     760.00     780.00  9.926794292541776E-06  4.696063955112076E-08 7793836
  40     780.00     800.00  8.820995230487992E-06  4.215027392013056E-08 7323865
  41     800.00     820.00  7.941990990289074E-06  3.961491960255453E-08 6891203
  42     820.00     840.00  7.069889902495694E-06  3.659227126135121E-08 6491597
  43     840.00     860.00  6.387589734585785E-06  3.432839966800431E-08 6119695
  44     860.00     880.00  5.689167281156763E-06  3.220131238474411E-08 5779981
  45     880.00     900.00  5.149309061728123E-06  3.173284829742949E-08 5465288
  46     900.00     920.00  4.627023526412541E-06  2.721828621435102E-08 5172150
  47     920.00     940.00  4.199481215807975E-06  2.626395780968011E-08 4889574
  48     940.00     960.00  3.767659196828882E-06  2.418383848633120E-08 4633457
  49     960.00     980.00  3.456100156486164E-06  2.332940605014163E-08 4394479
  50     980.00    1000.00  3.111674189666973E-06  2.168293098709649E-08 4174015
  51    1000.00    1020.00  2.839773435059511E-06  1.983955915411927E-08 3966046
  52    1020.00    1040.00  2.553919806814993E-06  1.885696201796372E-08 3765568
  53    1040.00    1060.00  2.354459452558179E-06  1.814520314296607E-08 3586931
  54    1060.00    1080.00  2.143619518708060E-06  1.685265874138056E-08 3416909
  55    1080.00    1100.00  1.915758368394248E-06  1.557537310122306E-08 3249148
  56    1100.00    1120.00  1.749752267746356E-06  1.479463416910192E-08 3101050
  57    1120.00    1140.00  1.613590437466435E-06  1.462114561373326E-08 2956585
  58    1140.00    1160.00  1.459563764338906E-06  1.388501895110051E-08 2819761
  59    1160.00    1180.00  1.349438084189520E-06  1.280834971528862E-08 2697203
  60    1180.00    1200.00  1.220538159304665E-06  1.167957565615459E-08 2574499
  61    1200.00    1220.00  1.112368626355714E-06  1.037979184274145E-08 2459485
  62    1220.00    1240.00  1.024132421762714E-06  1.033537703219028E-08 2357384
  63    1240.00    1260.00  9.331242852024002E-07  9.126550372040118E-09 2254375
  64    1260.00    1280.00  8.700068133731662E-07  9.741018526291572E-09 2158201
  65    1280.00    1300.00  7.939407425053571E-07  8.586419408567649E-09 2063779
  66    1300.00    1320.00  7.340654141258008E-07  8.052987034092064E-09 1978864
  67    1320.00    1340.00  6.737436491558540E-07  7.726815786551532E-09 1900792
  68    1340.00    1360.00  6.050817692491634E-07  6.935858586665368E-09 1820613
  69    1360.00    1380.00  5.618027638790462E-07  6.787554984445024E-09 1749186
  70    1380.00    1400.00  5.294431092035362E-07  6.915030387625330E-09 1678715
  71    1400.00    1420.00  4.796950787315356E-07  6.012076790598462E-09 1611787
  72    1420.00    1440.00  4.371599874011127E-07  5.731414567085550E-09 1550143
  73    1440.00    1460.00  4.257647755435995E-07  6.556143891800985E-09 1486820
  74    1460.00    1480.00  3.841013856479399E-07  5.059071321744620E-09 1430870
  75    1480.00    1500.00  3.486809724672606E-07  4.924499231638786E-09 1375103
  76    1500.00    1520.00  3.284422360640956E-07  5.101050227806042E-09 1324526
  77    1520.00    1540.00  3.039479071776490E-07  4.720224295076861E-09 1271258
  78    1540.00    1560.00  2.748729921004105E-07  4.622720605462105E-09 1225027
  79    1560.00    1580.00  2.623145844794226E-07  4.040558590408265E-09 1181009
  80    1580.00    1600.00  2.408978961543973E-07  3.690089456203221E-09 1136097
  81    1600.00    1620.00  2.230690577898766E-07  3.524277099682412E-09 1097925
  82    1620.00    1640.00  2.088007485403754E-07  3.554755287883108E-09 1055520
  83    1640.00    1660.00  1.962273046422635E-07  4.072437107391910E-09 1017287
  84    1660.00    1680.00  1.827698006314548E-07  3.369295827632032E-09 983752
  85    1680.00    1700.00  1.701855174383785E-07  3.038900071940041E-09 949130
  86    1700.00    1720.00  1.580321804661880E-07  3.005638295515397E-09 915059
  87    1720.00    1740.00  1.442265197338326E-07  2.559507078928296E-09 884099
  88    1740.00    1760.00  1.334787014214256E-07  2.370944927800604E-09 853727
  89    1760.00    1780.00  1.250215155371892E-07  2.575949114405068E-09 824756
  90    1780.00    1800.00  1.174613654060191E-07  2.420845483018808E-09 796144
