# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  7.118661529146882E-05  1.392516603880592E-07 16717928
   3      50.00      70.00  2.639725720061899E-04  2.815780620673677E-07 57129355
   4      70.00      90.00  4.642159204099195E-04  3.887078123714803E-07 91831823
   5      90.00     110.00  6.092477452744549E-04  4.728298033686794E-07 113852752
   6     110.00     130.00  6.861337047752582E-04  5.214666483560916E-07 123742759
   7     130.00     150.00  7.046559095870731E-04  5.400600743642425E-07 124614125
   8     150.00     170.00  6.742315186329827E-04  5.307138788521354E-07 119232931
   9     170.00     190.00  6.154859996573055E-04  5.176795410464000E-07 110523215
  10     190.00     210.00  5.438586722177918E-04  4.809826039208417E-07 100927853
  11     210.00     230.00  4.707601460942498E-04  4.402780144683025E-07 91583363
  12     230.00     250.00  4.041104685743462E-04  4.252923830014566E-07 82977557
  13     250.00     270.00  3.438473481432766E-04  3.757762405645711E-07 75201591
  14     270.00     290.00  2.911543604337228E-04  3.509865749269861E-07 68261945
  15     290.00     310.00  2.459798208082594E-04  3.163870125252755E-07 62083299
  16     310.00     330.00  2.075381667977948E-04  2.820232629229453E-07 56603613
  17     330.00     350.00  1.756722021843810E-04  2.630100365360505E-07 51741025
  18     350.00     370.00  1.481075696573361E-04  2.320834774993509E-07 47407509
  19     370.00     390.00  1.250935044313570E-04  2.119983636312597E-07 43551538
  20     390.00     410.00  1.059926236538677E-04  1.954090546831687E-07 40101066
  21     410.00     430.00  8.979506509883460E-05  1.710853722868371E-07 37003485
  22     430.00     450.00  7.636316843654878E-05  1.598195841444881E-07 34225354
  23     450.00     470.00  6.486635343313772E-05  1.421915625818585E-07 31715786
  24     470.00     490.00  5.500827916296526E-05  1.252286133024282E-07 29445781
  25     490.00     510.00  4.695378756062088E-05  1.140645674373346E-07 27376787
  26     510.00     530.00  4.024984114077397E-05  1.054559453257811E-07 25510689
  27     530.00     550.00  3.438961536227212E-05  9.345266585607633E-08 23796347
  28     550.00     570.00  2.967107344125141E-05  8.596272194106433E-08 22235881
  29     570.00     590.00  2.540102737994804E-05  7.593682346871895E-08 20815832
  30     590.00     610.00  2.177674893656471E-05  6.948429963093245E-08 19489516
  31     610.00     630.00  1.884074688737366E-05  6.355645491266699E-08 18287234
  32     630.00     650.00  1.627189832871361E-05  5.668724806836591E-08 17179450
  33     650.00     670.00  1.408738180240967E-05  5.153565537682208E-08 16154600
  34     670.00     690.00  1.218180908710803E-05  4.566332371404692E-08 15196732
  35     690.00     710.00  1.055551477389757E-05  4.316501648878429E-08 14317596
  36     710.00     730.00  9.197690348206001E-06  3.907652592263455E-08 13507719
  37     730.00     750.00  8.054616402060063E-06  3.628102818371562E-08 12749215
  38     750.00     770.00  7.007113670929255E-06  3.276638879476191E-08 12045672
  39     770.00     790.00  6.012913315424445E-06  2.854745877325188E-08 11391082
  40     790.00     810.00  5.269489304903535E-06  2.594869439221832E-08 10781632
  41     810.00     830.00  4.635458631919489E-06  2.429213937267204E-08 10211482
  42     830.00     850.00  4.061540807881092E-06  2.178188285981315E-08 9670345
  43     850.00     870.00  3.558249727611689E-06  1.988891611839661E-08 9177413
  44     870.00     890.00  3.121753485701391E-06  1.800723770471718E-08 8708302
  45     890.00     910.00  2.773162314301980E-06  1.704300257109306E-08 8267979
  46     910.00     930.00  2.416049906895753E-06  1.567623129099985E-08 7855876
  47     930.00     950.00  2.112799692454287E-06  1.319857168810112E-08 7472651
  48     950.00     970.00  1.896988733349891E-06  1.332721909065200E-08 7108528
  49     970.00     990.00  1.637262994098816E-06  1.170262195733573E-08 6769528
  50     990.00    1010.00  1.455538455066789E-06  1.008143726310191E-08 6446004
  51    1010.00    1030.00  1.290419038491532E-06  9.255361360497019E-09 6138498
  52    1030.00    1050.00  1.146170918677762E-06  9.468441679813308E-09 5851546
  53    1050.00    1070.00  1.015174164651378E-06  7.836462880177462E-09 5579039
