# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1250200555
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.505431996700672E-04  2.824086891601729E-07 41865518
   2      20.00      40.00  4.061184490052366E-04  4.691645585971882E-07 81404002
   3      40.00      60.00  5.805663897042380E-04  5.608460707504366E-07 98053198
   4      60.00      80.00  6.778760548962505E-04  5.817625818173297E-07 107276973
   5      80.00     100.00  7.045735291741261E-04  5.918055366749659E-07 111289072
   6     100.00     120.00  6.804196364456472E-04  5.483865053728010E-07 110468073
   7     120.00     140.00  6.263800138601078E-04  5.057533735367101E-07 106359730
   8     140.00     160.00  5.621763672092187E-04  4.831139611159059E-07 100352558
   9     160.00     180.00  4.936951542813401E-04  4.336023959446105E-07 93420133
  10     180.00     200.00  4.279003366186434E-04  3.806115967353571E-07 86316414
  11     200.00     220.00  3.678737093005107E-04  3.395339857312842E-07 79454815
  12     220.00     240.00  3.142789106519166E-04  3.025415036844313E-07 73018501
  13     240.00     260.00  2.678033418077879E-04  2.719655459998474E-07 67071236
  14     260.00     280.00  2.274664161851651E-04  2.455486451728264E-07 61634315
  15     280.00     300.00  1.929520792717271E-04  2.147638301983525E-07 56660512
  16     300.00     320.00  1.631467449525654E-04  1.969551368551018E-07 52104910
  17     320.00     340.00  1.381859382775005E-04  1.762398737287357E-07 47931612
  18     340.00     360.00  1.164070335388380E-04  1.555059360096033E-07 44143443
  19     360.00     380.00  9.868071527974797E-05  1.381827593692831E-07 40712309
  20     380.00     400.00  8.334956262339170E-05  1.234310465225969E-07 37615348
  21     400.00     420.00  7.077605683997606E-05  1.124034865823110E-07 34830315
  22     420.00     440.00  6.013074645398882E-05  1.013565245330750E-07 32296567
  23     440.00     460.00  5.115473981475558E-05  8.906486894384059E-08 30019682
  24     460.00     480.00  4.356894567856626E-05  8.026084632328863E-08 27931628
  25     480.00     500.00  3.713996655309829E-05  7.075998195019606E-08 26040344
  26     500.00     520.00  3.195602363127316E-05  6.549644230813958E-08 24319039
  27     520.00     540.00  2.730941026101199E-05  5.814147921471430E-08 22735400
  28     540.00     560.00  2.346531859704532E-05  5.242935634166628E-08 21289581
  29     560.00     580.00  2.018429164601255E-05  4.900932844670700E-08 19958782
  30     580.00     600.00  1.737785973777752E-05  4.306451975557186E-08 18730838
  31     600.00     620.00  1.501199265773591E-05  3.883698946996500E-08 17602795
  32     620.00     640.00  1.296134090029683E-05  3.473339506296763E-08 16563092
  33     640.00     660.00  1.128314452115170E-05  3.186018532673628E-08 15594027
  34     660.00     680.00  9.791810841417331E-06  2.952028196680872E-08 14699902
  35     680.00     700.00  8.494349647288160E-06  2.679917768278316E-08 13871833
  36     700.00     720.00  7.388538812684344E-06  2.441306947619352E-08 13097476
  37     720.00     740.00  6.433630407957276E-06  2.140848118727192E-08 12391066
  38     740.00     760.00  5.638311484366315E-06  2.001556703809709E-08 11719971
  39     760.00     780.00  4.903455982800924E-06  1.816291271835058E-08 11100326
  40     780.00     800.00  4.330510598873274E-06  1.665855237928291E-08 10514738
  41     800.00     820.00  3.780398508933814E-06  1.482228745302315E-08 9973233
  42     820.00     840.00  3.314486096417743E-06  1.345673615686221E-08 9459620
  43     840.00     860.00  2.908218957167062E-06  1.241275419753002E-08 8986024
  44     860.00     880.00  2.554189654369390E-06  1.108427395262155E-08 8532600
  45     880.00     900.00  2.253807405452507E-06  9.974222964649865E-09 8114961
  46     900.00     920.00  2.004704453849413E-06  9.598996086166639E-09 7721316
  47     920.00     940.00  1.770318015490820E-06  8.607692320781892E-09 7346099
  48     940.00     960.00  1.565516659621517E-06  8.138807720885297E-09 6996013
  49     960.00     980.00  1.388950844117228E-06  7.137036592477097E-09 6662069
  50     980.00    1000.00  1.228776843182999E-06  6.678861293730493E-09 6351857
  51    1000.00    1020.00  1.074833292612114E-06  5.881258252347210E-09 6060014
  52    1020.00    1040.00  9.595756133636002E-07  5.566379343408664E-09 5781146
  53    1040.00    1060.00  8.587021154309990E-07  5.575760323228852E-09 5516197
  54    1060.00    1080.00  7.675123906713288E-07  4.674869904788005E-09 5269277
  55    1080.00    1100.00  6.729128334347423E-07  4.262523756672926E-09 5032428
  56    1100.00    1120.00  6.088935841561665E-07  4.075545536053404E-09 4811936
  57    1120.00    1140.00  5.473271477786862E-07  3.779608429175438E-09 4600309
  58    1140.00    1160.00  4.813513696040782E-07  3.394541961062447E-09 4401262
  59    1160.00    1180.00  4.290378072906451E-07  3.030459968857157E-09 4210389
  60    1180.00    1200.00  3.893642308557115E-07  2.882981201449292E-09 4029812
  61    1200.00    1220.00  3.416528195229940E-07  2.601313900328286E-09 3859471
