# title = Distance Positron--anti-Muon
# xlabel = $\Delta R_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1694941002
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.10       0.30  9.800118430113450E-03  1.626576727061026E-05 42533567	   1       0.10       0.30  9.143334430839088E-03  1.511772189790277E-05 42533567	   1       0.10       0.30  1.055378013197643E-02  1.761503048789174E-05 42533567
   2       0.30       0.50  1.957140175541020E-02  2.507973280412227E-05 62050834	   2       0.30       0.50  1.826204709829620E-02  2.329780772757476E-05 62050834	   2       0.30       0.50  2.107355503547369E-02  2.717934107422918E-05 62050834
   3       0.50       0.70  2.918076410090130E-02  3.063668053269097E-05 74740068	   3       0.50       0.70  2.723825432735297E-02  2.849596500733626E-05 74740068	   3       0.50       0.70  3.140765449921150E-02  3.315161401148374E-05 74740068
   4       0.70       0.90  3.830619265438039E-02  3.660881923111505E-05 84833723	   4       0.70       0.90  3.576778855326402E-02  3.407272869611304E-05 84833723	   4       0.70       0.90  4.121432604858323E-02  3.959320431877016E-05 84833723
   5       0.90       1.10  4.687018187341632E-02  4.755131117794647E-05 93536891	   5       0.90       1.10  4.377642507978242E-02  4.441208217073097E-05 93536891	   5       0.90       1.10  5.041212041316884E-02  5.118483321661503E-05 93536891
   6       1.10       1.30  5.472685801951399E-02  4.741206940127584E-05 101479437	   6       1.10       1.30  5.112843083464987E-02  4.418829364044382E-05 101479437	   6       1.10       1.30  5.884437574846317E-02  5.119375164849829E-05 101479437
   7       1.30       1.50  6.218063952282568E-02  5.241083883847966E-05 109011421	   7       1.30       1.50  5.809773765888582E-02  4.889338895638283E-05 109011421	   7       1.30       1.50  6.685113837292085E-02  5.652706636330600E-05 109011421
   8       1.50       1.70  6.909879116569430E-02  6.007620411257006E-05 116371255	   8       1.50       1.70  6.455748805213843E-02  5.617705005160439E-05 116371255	   8       1.50       1.70  7.429428205167700E-02  6.463937130959313E-05 116371255
   9       1.70       1.90  7.542706893189999E-02  6.396751679999835E-05 123634209	   9       1.70       1.90  7.044924527389189E-02  5.939069781808811E-05 123634209	   9       1.70       1.90  8.112539206385770E-02  6.934542218128744E-05 123634209
  10       1.90       2.10  8.143973048079502E-02  6.439123114734307E-05 130975886	  10       1.90       2.10  7.604705438467896E-02  5.993676507858765E-05 130975886	  10       1.90       2.10  8.761581751353220E-02  6.961951773653432E-05 130975886
  11       2.10       2.30  8.734229634951859E-02  7.395932952037214E-05 138505423	  11       2.10       2.30  8.151543254531027E-02  6.863254273842614E-05 138505423	  11       2.10       2.30  9.402241070072580E-02  8.023428198897822E-05 138505423
  12       2.30       2.50  9.303429752212393E-02  7.436612320492775E-05 146190912	  12       2.30       2.50  8.678547045699476E-02  6.929690850913135E-05 146190912	  12       2.30       2.50  1.002049532092743E-01  8.032732815639329E-05 146190912
  13       2.50       2.70  9.860448570587257E-02  7.869029865614294E-05 154151721	  13       2.50       2.70  9.191159770573253E-02  7.303512263524345E-05 154151721	  13       2.50       2.70  1.062970026878493E-01  8.536489271027828E-05 154151721
  14       2.70       2.90  1.037216214042444E-01  8.247125739857865E-05 162300134	  14       2.70       2.90  9.661662864135752E-02  7.651243245772969E-05 162300134	  14       2.70       2.90  1.118992449412069E-01  8.950327719825151E-05 162300134
  15       2.90       3.10  1.080412411331578E-01  8.809539985590402E-05 170090087	  15       2.90       3.10  1.005531472333962E-01  8.152732258696614E-05 170090087	  15       2.90       3.10  1.166759056564917E-01  9.588230472875880E-05 170090087
  16       3.10       3.30  8.943998288476906E-02  8.429327863705717E-05 133461740	  16       3.10       3.30  8.309841956378643E-02  7.800391533482376E-05 133461740	  16       3.10       3.30  9.677803568520192E-02  9.176633024438573E-05 133461740
  17       3.30       3.50  6.044468559845609E-02  7.338254077464107E-05 83016182	  17       3.30       3.50  5.599498307743449E-02  6.771564375737187E-05 83016182	  17       3.30       3.50  6.562190912549530E-02  8.013060320116750E-05 83016182
