# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 517624991
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  4.795082034935346E-05  1.675494750365177E-07 2043122	   1      -2.50      -2.25  4.470726343085748E-05  1.577003195440944E-07 2043122	   1      -2.50      -2.25  5.147576143696953E-05  1.779201370119194E-07 2043122
   2      -2.25      -2.00  6.183758421907862E-05  2.229879655436082E-07 2344645	   2      -2.25      -2.00  5.786497267661013E-05  2.111357618276592E-07 2344645	   2      -2.25      -2.00  6.610811702667184E-05  2.351064261214867E-07 2344645
   3      -2.00      -1.75  7.540989671527619E-05  2.114762400565966E-07 2625115	   3      -2.00      -1.75  7.077196068642881E-05  2.003687666077938E-07 2625115	   3      -2.00      -1.75  8.035197028657166E-05  2.228587305434585E-07 2625115
   4      -1.75      -1.50  8.761818151013407E-05  2.263883453548793E-07 2860584	   4      -1.75      -1.50  8.245999621203777E-05  2.152313225573698E-07 2860584	   4      -1.75      -1.50  9.306789832429502E-05  2.377060468202060E-07 2860584
   5      -1.50      -1.25  9.719786724154383E-05  2.178779114901801E-07 3039804	   5      -1.50      -1.25  9.168269488562121E-05  2.076072809638443E-07 3039804	   5      -1.50      -1.25  1.029844549169087E-04  2.281820275182516E-07 3039804
   6      -1.25      -1.00  1.029519054017948E-04  2.212361328380814E-07 3150676	   6      -1.25      -1.00  9.730379711290601E-05  2.107633957280095E-07 3150676	   6      -1.25      -1.00  1.088420545903601E-04  2.318165814031156E-07 3150676
   7      -1.00      -0.75  1.047020057535768E-04  2.104501775501364E-07 3183303	   7      -1.00      -0.75  9.909704689212938E-05  2.011083555681320E-07 3183303	   7      -1.00      -0.75  1.105223856193651E-04  2.197250562712262E-07 3183303
   8      -0.75      -0.50  1.020204814039706E-04  1.953966983526312E-07 3142163	   8      -0.75      -0.50  9.666486507451286E-05  1.869123466328827E-07 3142163	   8      -0.75      -0.50  1.075646633382031E-04  2.037926154719018E-07 3142163
   9      -0.50      -0.25  9.509411271417971E-05  1.763176959273549E-07 3026423	   9      -0.50      -0.25  9.013720197173745E-05  1.683300914657108E-07 3026423	   9      -0.50      -0.25  1.002245440601933E-04  1.843366990945161E-07 3026423
  10      -0.25       0.00  8.520201302402241E-05  1.667952080857737E-07 2849597	  10      -0.25       0.00  8.077673939244544E-05  1.595923654635770E-07 2849597	  10      -0.25       0.00  8.978414605242704E-05  1.739276296523018E-07 2849597
  11       0.00       0.25  7.324231360855839E-05  1.447467552953858E-07 2621376	  11       0.00       0.25  6.940639333963504E-05  1.382147115426369E-07 2621376	  11       0.00       0.25  7.722670590319584E-05  1.513187724877742E-07 2621376
  12       0.25       0.50  6.060428847031933E-05  1.333378650774424E-07 2358987	  12       0.25       0.50  5.738552306704798E-05  1.271875829979062E-07 2358987	  12       0.25       0.50  6.396146739726205E-05  1.395482613818447E-07 2358987
  13       0.50       0.75  4.797394366558780E-05  1.131727375521216E-07 2074880	  13       0.50       0.75  4.536549650343754E-05  1.077922177031527E-07 2074880	  13       0.50       0.75  5.071181518440039E-05  1.186489973957703E-07 2074880
  14       0.75       1.00  3.631050548885959E-05  9.488415010699635E-08 1782493	  14       0.75       1.00  3.427860754952285E-05  9.021717024899926E-08 1782493	  14       0.75       1.00  3.845891272568240E-05  9.968052171464964E-08 1782493
  15       1.00       1.25  2.633730216446856E-05  8.397755794867361E-08 1493895	  15       1.00       1.25  2.481751169868311E-05  7.977381106943137E-08 1493895	  15       1.00       1.25  2.795641820041603E-05  8.830534872099863E-08 1493895
  16       1.25       1.50  1.837121073132856E-05  7.291119170581771E-08 1220114	  16       1.25       1.50  1.727242237640339E-05  6.919698608809579E-08 1220114	  16       1.25       1.50  1.955189410520716E-05  7.674326945702993E-08 1220114
  17       1.50       1.75  1.223858631200252E-05  5.558030185362217E-08 969241	  17       1.50       1.75  1.147172136065360E-05  5.249910343696538E-08 969241	  17       1.50       1.75  1.307162914735874E-05  5.882659270856691E-08 969241
  18       1.75       2.00  7.876851808342832E-06  4.438258078483654E-08 744968	  18       1.75       2.00  7.363561409258129E-06  4.188516042414451E-08 744968	  18       1.75       2.00  8.439583229369332E-06  4.701701414708073E-08 744968
  19       2.00       2.25  4.875742588132221E-06  3.009292983466115E-08 553254	  19       2.00       2.25  4.541603070777872E-06  2.825376078386656E-08 553254	  19       2.00       2.25  5.246428073505525E-06  3.207975515618093E-08 553254
  20       2.25       2.50  3.014181050819447E-06  2.504255353492296E-08 394360	  20       2.25       2.50  2.796686040564812E-06  2.346557856366889E-08 394360	  20       2.25       2.50  3.258342707280366E-06  2.675334068960370E-08 394360
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       2.8770744855533741E-04  1.7519023960141337E-07 42479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
