# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 517624991
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  1.913116868908236E-09  1.632342600696685E-10 3399	   1      -9.00      -8.75  1.534566467941685E-09  1.311056118227461E-10 3399	   1      -9.00      -8.75  2.454369208611101E-09  2.097750813513147E-10 3399
   2      -8.75      -8.50  1.110014434421839E-08  5.424858351031263E-10 12979	   2      -8.75      -8.50  9.074778394290741E-09  4.505453435262758E-10 12979	   2      -8.75      -8.50  1.388002983198241E-08  6.628858726289245E-10 12979
   3      -8.50      -8.25  3.651886326630297E-08  1.325979814172619E-09 27796	   3      -8.50      -8.25  3.016955878111014E-08  1.113607558924648E-09 27796	   3      -8.50      -8.25  4.508048823846837E-08  1.601283177940986E-09 27796
   4      -8.25      -8.00  8.507066022261919E-08  2.111379062266947E-09 49044	   4      -8.25      -8.00  7.125582737932107E-08  1.799140110452668E-09 49044	   4      -8.25      -8.00  1.033731892614554E-07  2.509475560789523E-09 49044
   5      -8.00      -7.75  1.986812787606696E-07  4.407790112517714E-09 77581	   5      -8.00      -7.75  1.685400385676862E-07  3.810770374898663E-09 77581	   5      -8.00      -7.75  2.377572912062021E-07  5.150033237777814E-09 77581
   6      -7.75      -7.50  4.032088169138852E-07  6.847611950732067E-09 116488	   6      -7.75      -7.50  3.466662936701611E-07  5.988093173370065E-09 116488	   6      -7.75      -7.50  4.748910113498757E-07  7.892869924091867E-09 116488
   7      -7.50      -7.25  7.377160466086432E-07  1.008810050735251E-08 164966	   7      -7.50      -7.25  6.413888761161929E-07  8.917220103969160E-09 164966	   7      -7.50      -7.25  8.576643966006235E-07  1.149517498676451E-08 164966
   8      -7.25      -7.00  1.319902856180444E-06  2.717299471309538E-08 226168	   8      -7.25      -7.00  1.160403198308339E-06  2.491083280671551E-08 226168	   8      -7.25      -7.00  1.514587126191936E-06  2.963446846697854E-08 226168
   9      -7.00      -6.75  2.217941480871484E-06  2.059426990378943E-08 301721	   9      -7.00      -6.75  1.969738268873051E-06  1.859461995788029E-08 301721	   9      -7.00      -6.75  2.515364496590733E-06  2.289972513153470E-08 301721
  10      -6.75      -6.50  3.498366623098121E-06  2.783643298946188E-08 389291	  10      -6.75      -6.50  3.133384923948390E-06  2.527395148930813E-08 389291	  10      -6.75      -6.50  3.928827527418309E-06  3.075714711553914E-08 389291
  11      -6.50      -6.25  5.392048929239710E-06  3.885231181529548E-08 492689	  11      -6.50      -6.25  4.874760637783079E-06  3.565670658528665E-08 492689	  11      -6.50      -6.25  5.990996771438163E-06  4.239758642555410E-08 492689
  12      -6.25      -6.00  7.916530402071712E-06  4.661476742239813E-08 611290	  12      -6.25      -6.00  7.210786876379531E-06  4.310678122189803E-08 611290	  12      -6.25      -6.00  8.721034819199105E-06  5.044790170249611E-08 611290
  13      -6.00      -5.75  1.129519358808832E-05  6.545310369619181E-08 741504	  13      -6.00      -5.75  1.036578001518835E-05  6.129035143463150E-08 741504	  13      -6.00      -5.75  1.233704242438853E-05  6.979398941908249E-08 741504
  14      -5.75      -5.50  1.558412655238321E-05  6.947478856560424E-08 888352	  14      -5.75      -5.50  1.440122809506613E-05  6.495051724494621E-08 888352	  14      -5.75      -5.50  1.688844916341518E-05  7.428075240803909E-08 888352
  15      -5.50      -5.25  2.082881636338230E-05  8.391553119997655E-08 1042089	  15      -5.50      -5.25  1.936180015707335E-05  7.884396151395359E-08 1042089	  15      -5.50      -5.25  2.242256242649275E-05  8.920978104946354E-08 1042089
  16      -5.25      -5.00  2.735788788811997E-05  1.059429902160860E-07 1201055	  16      -5.25      -5.00  2.557025572050742E-05  1.002321997627340E-07 1201055	  16      -5.25      -5.00  2.927038950343165E-05  1.117648828104926E-07 1201055
  17      -5.00      -4.75  3.394835064002131E-05  1.317560849883644E-07 1353178	  17      -5.00      -4.75  3.186798861903105E-05  1.246544330199551E-07 1353178	  17      -5.00      -4.75  3.614787099004597E-05  1.390266885398138E-07 1353178
  18      -4.75      -4.50  4.073695511977985E-05  1.249166008591968E-07 1491118	  18      -4.75      -4.50  3.838847040475231E-05  1.187049639723013E-07 1491118	  18      -4.75      -4.50  4.319179661350104E-05  1.311646037165774E-07 1491118
  19      -4.50      -4.25  4.693886882309668E-05  1.362889426677205E-07 1604776	  19      -4.50      -4.25  4.435339573070411E-05  1.296595119097509E-07 1604776	  19      -4.50      -4.25  4.962159692785731E-05  1.429451604005408E-07 1604776
  20      -4.25      -4.00  5.213304277946300E-05  1.415237569914024E-07 1689202	  20      -4.25      -4.00  4.937772124162146E-05  1.350274638829030E-07 1689202	  20      -4.25      -4.00  5.497393979942953E-05  1.479746388537557E-07 1689202
  21      -4.00      -3.75  5.594900191062522E-05  1.554885612311811E-07 1733340	  21      -4.00      -3.75  5.308557461838824E-05  1.483945562084276E-07 1733340	  21      -4.00      -3.75  5.888853835495742E-05  1.625261219821618E-07 1733340
  22      -3.75      -3.50  5.739904731535200E-05  1.480944067044568E-07 1734146	  22      -3.75      -3.50  5.453359719042489E-05  1.416242707486650E-07 1734146	  22      -3.75      -3.50  6.033388628673478E-05  1.545062327734325E-07 1734146
  23      -3.50      -3.25  5.639289936128831E-05  1.482355926304964E-07 1691005	  23      -3.50      -3.25  5.362366586789154E-05  1.417067975703742E-07 1691005	  23      -3.50      -3.25  5.922819620445632E-05  1.547378343065320E-07 1691005
  24      -3.25      -3.00  5.382044194770251E-05  1.431365517297278E-07 1608258	  24      -3.25      -3.00  5.122026241552626E-05  1.370772825450879E-07 1608258	  24      -3.25      -3.00  5.648148914669628E-05  1.491234710044477E-07 1608258
  25      -3.00      -2.75  4.923937179012732E-05  1.336798611819810E-07 1490788	  25      -3.00      -2.75  4.687859295442812E-05  1.281697934109405E-07 1490788	  25      -3.00      -2.75  5.165937052500188E-05  1.391226541118846E-07 1490788
  26      -2.75      -2.50  4.359234347430472E-05  1.241897885914019E-07 1353457	  26      -2.75      -2.50  4.151037571809654E-05  1.190694273880998E-07 1353457	  26      -2.75      -2.50  4.573179412179943E-05  1.292659663650520E-07 1353457
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0	  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0	  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0	  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0	  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0	  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0	  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0	  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0	  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0	  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0	  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0	  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0	  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0	  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0	  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0	  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0	  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0	  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0	  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0	  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0	  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0
  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0	  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0	  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0
  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0	  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0	  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0
  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0	  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0	  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0
  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0	  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0	  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0	  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0	  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0
  42       1.25       1.50  0.000000000000000E+00  0.000000000000000E+00 0	  42       1.25       1.50  0.000000000000000E+00  0.000000000000000E+00 0	  42       1.25       1.50  0.000000000000000E+00  0.000000000000000E+00 0
  43       1.50       1.75  0.000000000000000E+00  0.000000000000000E+00 0	  43       1.50       1.75  0.000000000000000E+00  0.000000000000000E+00 0	  43       1.50       1.75  0.000000000000000E+00  0.000000000000000E+00 0
  44       1.75       2.00  0.000000000000000E+00  0.000000000000000E+00 0	  44       1.75       2.00  0.000000000000000E+00  0.000000000000000E+00 0	  44       1.75       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  45       2.00       2.25  0.000000000000000E+00  0.000000000000000E+00 0	  45       2.00       2.25  0.000000000000000E+00  0.000000000000000E+00 0	  45       2.00       2.25  0.000000000000000E+00  0.000000000000000E+00 0
  46       2.25       2.50  0.000000000000000E+00  0.000000000000000E+00 0	  46       2.25       2.50  0.000000000000000E+00  0.000000000000000E+00 0	  46       2.25       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  47       2.50       2.75  4.327720071264740E-05  1.378540080019778E-07 1297047	  47       2.50       2.75  4.119161002620064E-05  1.321247951123459E-07 1297047	  47       2.50       2.75  4.542394726309416E-05  1.435557499729141E-07 1297047
  48       2.75       3.00  4.914978119527492E-05  1.519862623119384E-07 1410017	  48       2.75       3.00  4.676799571996286E-05  1.454387524715523E-07 1410017	  48       2.75       3.00  5.159675649143494E-05  1.585271279474142E-07 1410017
  49       3.00       3.25  5.427404960492235E-05  1.616298663885677E-07 1504008	  49       3.00       3.25  5.162159487005045E-05  1.545895369324733E-07 1504008	  49       3.00       3.25  5.699488387987275E-05  1.686573782593223E-07 1504008
  50       3.25       3.50  5.616781262576145E-05  1.675118598087959E-07 1561027	  50       3.25       3.50  5.338145922073977E-05  1.597466465443829E-07 1561027	  50       3.25       3.50  5.902626912057176E-05  1.753535176465799E-07 1561027
  51       3.50       3.75  5.680902033554558E-05  1.742580920821319E-07 1585610	  51       3.50       3.75  5.393585343741350E-05  1.660854200335861E-07 1585610	  51       3.50       3.75  5.975904104180673E-05  1.825108004620922E-07 1585610
