# title = Transverse Mass of W-Z
# xlabel = $M_{\text{T},\text{W}\text{Z}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}\text{Z}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1694941002
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  3.713038168720036E-07  6.537591226831548E-09 250976	   1       0.00      20.00  3.445755813472607E-07  6.058870644530147E-09 250976	   1       0.00      20.00  4.022782858233664E-07  7.101025792650044E-09 250976
   2      20.00      40.00  2.750647357020319E-06  1.775684262837332E-08 1734262	   2      20.00      40.00  2.552357411652549E-06  1.644855534414160E-08 1734262	   2      20.00      40.00  2.980526688913727E-06  1.929471909956876E-08 1734262
   3      40.00      60.00  8.845116042115832E-06  3.370376010987602E-08 4901674	   3      40.00      60.00  8.211740197630168E-06  3.130219052552073E-08 4901674	   3      40.00      60.00  9.578927457636443E-06  3.652688683805932E-08 4901674
   4      60.00      80.00  2.264402707272539E-05  5.893820299088333E-08 10829928	   4      60.00      80.00  2.104734923965907E-05  5.480166319595545E-08 10829928	   4      60.00      80.00  2.448970074888015E-05  6.376678015604846E-08 10829928
   5      80.00     100.00  5.819699758491756E-05  9.867059976676675E-08 23712589	   5      80.00     100.00  5.420311462370877E-05  9.147393557977661E-08 23712589	   5      80.00     100.00  6.279728027735623E-05  1.071556641991662E-07 23712589
   6     100.00     120.00  1.692671608943829E-04  2.265181075582059E-07 56107348	   6     100.00     120.00  1.581272922132600E-04  2.073345782344473E-07 56107348	   6     100.00     120.00  1.820233015551875E-04  2.499546466207980E-07 56107348
   7     120.00     140.00  4.686311191432847E-04  3.993332650603958E-07 118134826	   7     120.00     140.00  4.390256771160157E-04  3.721076845442714E-07 118134826	   7     120.00     140.00  5.023235313220486E-04  4.312506471865561E-07 118134826
   8     140.00     160.00  1.104944963974794E-03  6.971077112894456E-07 202448818	   8     140.00     160.00  1.036703998158293E-03  6.493196103545046E-07 202448818	   8     140.00     160.00  1.182331281709849E-03  7.530291141819545E-07 202448818
   9     160.00     180.00  1.987802507306409E-03  1.095030619546015E-06 267808723	   9     160.00     180.00  1.865256393205822E-03  1.023562005390436E-06 267808723	   9     160.00     180.00  2.126721805384367E-03  1.178232639566058E-06 267808723
  10     180.00     200.00  1.751754810463223E-03  1.089645912274528E-06 197517640	  10     180.00     200.00  1.640230175281649E-03  1.016566841927484E-06 197517640	  10     180.00     200.00  1.878769906267713E-03  1.175341203220237E-06 197517640
