# title = Transverse Mass of W
# xlabel = $M_{\text{T},\text{W}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 517624991
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  9.341585410682767E-07  1.929116544479762E-09 4370727	   1       0.00      20.00  8.777568609397216E-07  1.830988575853536E-09 4370727	   1       0.00      20.00  9.944776250032403E-07  2.029659434683310E-09 4370727
   2      20.00      40.00  1.280874577834669E-06  2.375902881872825E-09 5348785	   2      20.00      40.00  1.205671507374278E-06  2.259129360511788E-09 5348785	   2      20.00      40.00  1.360791254912871E-06  2.494477777710991E-09 5348785
   3      40.00      60.00  2.392100585908974E-06  3.343597463096081E-09 8195216	   3      40.00      60.00  2.256534021214909E-06  3.182064103631098E-09 8195216	   3      40.00      60.00  2.534934529981325E-06  3.507247668176332E-09 8195216
   4      60.00      80.00  7.831053547732360E-06  6.624583006048225E-09 19988695	   4      60.00      80.00  7.399031783322257E-06  6.306692498066724E-09 19988695	   4      60.00      80.00  8.283128615181448E-06  6.946419541451375E-09 19988695
   5      80.00     100.00  1.822098704600565E-06  3.387333726508189E-09 4213741	   5      80.00     100.00  1.720995760448341E-06  3.223691466367240E-09 4213741	   5      80.00     100.00  1.928031185777316E-06  3.552688916512908E-09 4213741
   6     100.00     120.00  6.786449962380868E-08  6.364390316692086E-10 159938	   6     100.00     120.00  6.378565361763975E-08  6.017586853590587E-10 159938	   6     100.00     120.00  7.221638648818217E-08  6.725797228550902E-10 159938
   7     120.00     140.00  2.434871787102707E-08  3.682323023221553E-10 61886	   7     120.00     140.00  2.279245304423520E-08  3.470654496066443E-10 61886	   7     120.00     140.00  2.603343051600902E-08  3.906438495678205E-10 61886
   8     140.00     160.00  1.255568681644564E-08  2.799121898745339E-10 32825	   8     140.00     160.00  1.172365711064707E-08  2.631464370778731E-10 32825	   8     140.00     160.00  1.346321644642408E-08  2.978400690206107E-10 32825
   9     160.00     180.00  6.677945718941292E-09  1.974736491362522E-10 20152	   9     160.00     180.00  6.207520015679366E-09  1.852928021967091E-10 20152	   9     160.00     180.00  7.198212348545544E-09  2.105468225608494E-10 20152
  10     180.00     200.00  4.137367774826860E-09  1.409717384519838E-10 13836	  10     180.00     200.00  3.838613027992180E-09  1.311162224583040E-10 13836	  10     180.00     200.00  4.469500157855537E-09  1.518729463444994E-10 13836
  11     200.00     220.00  2.515424747737717E-09  9.647505940306265E-11 9925	  11     200.00     220.00  2.329112085186083E-09  9.013437457909125E-11 9925	  11     200.00     220.00  2.723620898506445E-09  1.034008459922025E-10 9925
  12     220.00     240.00  1.847493643453174E-09  9.543004178400947E-11 7542	  12     220.00     240.00  1.708108196141789E-09  8.869422285395629E-11 7542	  12     220.00     240.00  2.003564286874005E-09  1.027553545550108E-10 7542
  13     240.00     260.00  1.312296560542209E-09  7.576843182826846E-11 5970	  13     240.00     260.00  1.210010095052316E-09  7.023088793372671E-11 5970	  13     240.00     260.00  1.427587449099815E-09  8.188151390236533E-11 5970
  14     260.00     280.00  8.408864417101740E-10  4.890216583113330E-11 4677	  14     260.00     280.00  7.722756562236348E-10  4.496689735021683E-11 4677	  14     260.00     280.00  9.190162657797347E-10  5.337823708127149E-11 4677
  15     280.00     300.00  6.586901830237600E-10  4.078061447822107E-11 4014	  15     280.00     300.00  6.036141906881147E-10  3.745771225650366E-11 4014	  15     280.00     300.00  7.217677459161514E-10  4.459938116217824E-11 4014
  16     300.00     320.00  4.872385748655223E-10  3.389404588857164E-11 3339	  16     300.00     320.00  4.466139229963602E-10  3.143238690784421E-11 3339	  16     300.00     320.00  5.338105307897753E-10  3.665178540666896E-11 3339
  17     320.00     340.00  3.855886323077652E-10  2.548242395185862E-11 2945	  17     320.00     340.00  3.514290480577144E-10  2.337560550247241E-11 2945	  17     320.00     340.00  4.250853654320822E-10  2.787956432335292E-11 2945
  18     340.00     360.00  2.778091341694020E-10  2.196878263919989E-11 2523	  18     340.00     360.00  2.541871953443559E-10  2.021268051428888E-11 2523	  18     340.00     360.00  3.050145180941506E-10  2.397271595796457E-11 2523
  19     360.00     380.00  2.305807671838766E-10  2.216419595660600E-11 2131	  19     360.00     380.00  2.097437026018059E-10  2.024004424425890E-11 2131	  19     360.00     380.00  2.546730130237992E-10  2.436190447378314E-11 2131
  20     380.00     400.00  1.776590238577367E-10  1.820037458376022E-11 1894	  20     380.00     400.00  1.624675758302888E-10  1.691047278349295E-11 1894	  20     380.00     400.00  1.951062124252928E-10  1.963326963500538E-11 1894
  21     400.00     420.00  1.237341153828060E-10  1.325038666797932E-11 1710	  21     400.00     420.00  1.117397094353119E-10  1.171120962040566E-11 1710	  21     400.00     420.00  1.379035304844577E-10  1.513859091360700E-11 1710
  22     420.00     440.00  1.159249035344371E-10  1.699376666253031E-11 1545	  22     420.00     440.00  1.043758967924032E-10  1.509905446153587E-11 1545	  22     420.00     440.00  1.296113216337635E-10  1.927136295849193E-11 1545
  23     440.00     460.00  8.802748764505062E-11  9.567612160160484E-12 1395	  23     440.00     460.00  7.978848342018705E-11  8.685272991085128E-12 1395	  23     440.00     460.00  9.767052143151122E-11  1.062340945257275E-11 1395
  24     460.00     480.00  6.916874147191529E-11  7.901946434674737E-12 1244	  24     460.00     480.00  6.226676455552488E-11  7.108184509137134E-12 1244	  24     460.00     480.00  7.732559569066532E-11  8.838204135051981E-12 1244
