# title = Transverse Momentum of W-Z system
# xlabel = $p_{\text{T},\text{WZ}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{WZ}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1694941002
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  4.532876369410200E-04  6.832105478984503E-07 64958519	   1      10.00      30.00  4.267152247061222E-04  6.371550836570445E-07 64958519	   1      10.00      30.00  4.830761270392776E-04  7.375596154025905E-07 64958519
   2      30.00      50.00  7.971102659455787E-04  8.359323519133657E-07 89538564	   2      30.00      50.00  7.496513648664009E-04  7.783123847927154E-07 89538564	   2      30.00      50.00  8.505291978924261E-04  9.039745465357168E-07 89538564
   3      50.00      70.00  1.008671384772318E-03  9.147198672182369E-07 101443756	   3      50.00      70.00  9.476516144009566E-04  8.516409685156073E-07 101443756	   3      50.00      70.00  1.077580400040367E-03  9.890673837539283E-07 101443756
   4      70.00      90.00  1.103907581656789E-03  9.277366035282269E-07 108402135	   4      70.00      90.00  1.035663659233867E-03  8.625638409532956E-07 108402135	   4      70.00      90.00  1.181285176368993E-03  1.005177677201681E-06 108402135
   5      90.00     110.00  1.106075716548554E-03  9.597264778624844E-07 110203968	   5      90.00     110.00  1.036043335780266E-03  8.900880474085086E-07 110203968	   5      90.00     110.00  1.185811382732791E-03  1.042216803929480E-06 110203968
   6     110.00     130.00  1.041707368947418E-03  8.477934674883207E-07 107979310	   6     110.00     130.00  9.740422044195769E-04  7.845729146037682E-07 107979310	   6     110.00     130.00  1.119072474264720E-03  9.230909733296028E-07 107979310
   7     130.00     150.00  9.520862152181687E-04  8.188343210219087E-07 103234238	   7     130.00     150.00  8.887324802709659E-04  7.595886534899016E-07 103234238	   7     130.00     150.00  1.024792974352131E-03  8.885764298455595E-07 103234238
   8     150.00     170.00  8.480927886886610E-04  7.421039733500854E-07 97118547	   8     150.00     170.00  7.904006265072565E-04  6.860083456164693E-07 97118547	   8     150.00     170.00  9.145163048152231E-04  8.086837363909520E-07 97118547
   9     170.00     190.00  7.432873137513173E-04  6.491623932176222E-07 90367800	   9     170.00     190.00  6.916189689686713E-04  5.993343002290505E-07 90367800	   9     170.00     190.00  8.029552435096209E-04  7.084178623231462E-07 90367800
  10     190.00     210.00  6.459555833030348E-04  6.020428395507695E-07 83577499	  10     190.00     210.00  6.001949341985409E-04  5.563235518764314E-07 83577499	  10     190.00     210.00  6.989300301406336E-04  6.561973178013394E-07 83577499
  11     210.00     230.00  5.579062248833286E-04  5.568318939752918E-07 77006897	  11     210.00     230.00  5.175877148352949E-04  5.129690232977528E-07 77006897	  11     210.00     230.00  6.046993965659388E-04  6.089530668300695E-07 77006897
  12     230.00     250.00  4.793769056672750E-04  4.992622480857560E-07 70841176	  12     230.00     250.00  4.440844067961007E-04  4.601134335927817E-07 70841176	  12     230.00     250.00  5.204331103096616E-04  5.457643905596312E-07 70841176
  13     250.00     270.00  4.104977804631724E-04  4.440152478100316E-07 65176309	  13     250.00     270.00  3.797983687478937E-04  4.095511403702863E-07 65176309	  13     250.00     270.00  4.462776336345967E-04  4.848254604262030E-07 65176309
  14     270.00     290.00  3.517318768672419E-04  4.063568430872536E-07 59970484	  14     270.00     290.00  3.249398644771138E-04  3.733861489230926E-07 59970484	  14     270.00     290.00  3.830288365452582E-04  4.456783268184071E-07 59970484
  15     290.00     310.00  2.999125657872955E-04  3.758279585193401E-07 55192721	  15     290.00     310.00  2.766883986968423E-04  3.456758171760112E-07 55192721	  15     290.00     310.00  3.270938952980469E-04  4.117084582604809E-07 55192721
  16     310.00     330.00  2.560414137619106E-04  3.285625248660472E-07 50801052	  16     310.00     330.00  2.358932119020535E-04  3.022512466235243E-07 50801052	  16     310.00     330.00  2.796661014268439E-04  3.598187993010796E-07 50801052
  17     330.00     350.00  2.183708684541198E-04  2.973953183267796E-07 46782333	  17     330.00     350.00  2.009197732517238E-04  2.732062631020199E-07 46782333	  17     330.00     350.00  2.388681084824783E-04  3.261348832476236E-07 46782333
  18     350.00     370.00  1.868468148104056E-04  2.702264978620732E-07 43120431	  18     350.00     370.00  1.716862025715683E-04  2.481297988798267E-07 43120431	  18     350.00     370.00  2.046844334837860E-04  2.964769619224884E-07 43120431
  19     370.00     390.00  1.599926995210330E-04  2.434532884939982E-07 39830693	  19     370.00     390.00  1.468112622034432E-04  2.232888050475693E-07 39830693	  19     370.00     390.00  1.755283978681416E-04  2.674649620406261E-07 39830693
  20     390.00     410.00  1.366897095173838E-04  2.204232230159307E-07 36847162	  20     390.00     410.00  1.252643384642937E-04  2.019813003419872E-07 36847162	  20     390.00     410.00  1.501778733819152E-04  2.423886907214778E-07 36847162
  21     410.00     430.00  1.170326859298195E-04  2.077685215115879E-07 34156372	  21     410.00     430.00  1.071248562919985E-04  1.902208961796302E-07 34156372	  21     410.00     430.00  1.287449941709873E-04  2.286688981865903E-07 34156372
  22     430.00     450.00  1.007010814500270E-04  1.832974532413751E-07 31712750	  22     430.00     450.00  9.206471557864502E-05  1.678236461881588E-07 31712750	  22     430.00     450.00  1.109249936167654E-04  2.017223078243804E-07 31712750
  23     450.00     470.00  8.657638562827118E-05  1.729882913534396E-07 29505718	  23     450.00     470.00  7.905183889247205E-05  1.580678578106728E-07 29505718	  23     450.00     470.00  9.549738254740735E-05  1.907900152336704E-07 29505718
  24     470.00     490.00  7.432806468134398E-05  1.551264907923848E-07 27493188	  24     470.00     490.00  6.779993014821624E-05  1.419616461785544E-07 27493188	  24     470.00     490.00  8.207584161112564E-05  1.707748301451806E-07 27493188
  25     490.00     510.00  6.469649600937637E-05  1.446155972322769E-07 25646352	  25     490.00     510.00  5.894411907407452E-05  1.322215587729917E-07 25646352	  25     490.00     510.00  7.153292528151695E-05  1.593707166773056E-07 25646352
  26     510.00     530.00  5.556314682444766E-05  1.293148589596507E-07 23968571	  26     510.00     530.00  5.056311320463316E-05  1.179641694139725E-07 23968571	  26     510.00     530.00  6.151321603356719E-05  1.428789596831557E-07 23968571
  27     530.00     550.00  4.825580384559768E-05  1.212611026331659E-07 22434340	  27     530.00     550.00  4.386596061736391E-05  1.105789600022061E-07 22434340	  27     530.00     550.00  5.348570702073699E-05  1.340078770802855E-07 22434340
  28     550.00     570.00  4.177213387623798E-05  1.109114156830484E-07 21018388	  28     550.00     570.00  3.793631050603882E-05  1.012886180391717E-07 21018388	  28     550.00     570.00  4.634688749495464E-05  1.223705814914935E-07 21018388
  29     570.00     590.00  3.612937581427912E-05  1.034057078841224E-07 19723558	  29     570.00     590.00  3.277921546955610E-05  9.408540290607006E-08 19723558	  29     570.00     590.00  4.012888228081306E-05  1.145631167012949E-07 19723558
  30     590.00     610.00  3.147642373436819E-05  9.170520959796717E-08 18527462	  30     590.00     610.00  2.852887790998839E-05  8.355685357156873E-08 18527462	  30     590.00     610.00  3.499892247771290E-05  1.014280120649600E-07 18527462
  31     610.00     630.00  2.746620823885827E-05  8.349663954021614E-08 17424985	  31     610.00     630.00  2.487104431757411E-05  7.606956572769391E-08 17424985	  31     610.00     630.00  3.057049130497748E-05  9.235405352949767E-08 17424985
  32     630.00     650.00  2.420602934185184E-05  8.122747105027291E-08 16402249	  32     630.00     650.00  2.189958875857606E-05  7.387891557704627E-08 16402249	  32     630.00     650.00  2.696747565906115E-05  9.000328686574178E-08 16402249
  33     650.00     670.00  2.098421352772134E-05  7.073191546104787E-08 15463953	  33     650.00     670.00  1.896645098736662E-05  6.435568141089141E-08 15463953	  33     650.00     670.00  2.340250526521258E-05  7.834567280684659E-08 15463953
  34     670.00     690.00  1.834178921860471E-05  6.576679481805376E-08 14593932	  34     670.00     690.00  1.656140302829805E-05  5.972479748441743E-08 14593932	  34     670.00     690.00  2.047776569028274E-05  7.299417713904709E-08 14593932
  35     690.00     710.00  1.630647266534734E-05  6.377138179193809E-08 13778775	  35     690.00     710.00  1.471326278596961E-05  5.792477256316990E-08 13778775	  35     690.00     710.00  1.821910168318073E-05  7.075548753528366E-08 13778775
