# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  6.800191788566272E-02  8.766373033917830E-05 123008629
   2       0.08       0.16  6.994775736611737E-02  8.330710442867305E-05 130347842
   3       0.16       0.24  7.476244496040513E-02  8.833784427127428E-05 124181529
   4       0.24       0.31  8.095461458326889E-02  9.382539555303553E-05 113839911
   5       0.31       0.39  8.717347815887581E-02  9.886428168785241E-05 103483335
   6       0.39       0.47  9.223462209128412E-02  1.040186252525940E-04 94187528
   7       0.47       0.55  9.623122813603399E-02  1.094211037374917E-04 86084030
   8       0.55       0.63  9.902484577750653E-02  1.378200858722600E-04 79065494
   9       0.63       0.71  1.004529014046222E-01  1.209434372908955E-04 72941373
  10       0.71       0.79  1.011796988841994E-01  1.252620541889869E-04 67610765
  11       0.79       0.86  1.011648369412971E-01  1.287575573317609E-04 62907881
  12       0.86       0.94  1.007671928581913E-01  1.488507431610100E-04 58750050
  13       0.94       1.02  9.976839141413704E-02  1.325686463243877E-04 55055118
  14       1.02       1.10  9.845235611042570E-02  1.376141944253822E-04 51756864
  15       1.10       1.18  9.703221332654026E-02  1.336482787481642E-04 48797879
  16       1.18       1.26  9.502864170567263E-02  1.361613004674283E-04 46155888
  17       1.26       1.33  9.314454880345803E-02  1.293575484182001E-04 43786584
  18       1.33       1.41  9.127670629941680E-02  1.286798356671595E-04 41661814
  19       1.41       1.49  8.942100981405630E-02  1.385564867170518E-04 39744596
  20       1.49       1.57  8.713948167715693E-02  1.348142322473626E-04 38053835
  21       1.57       1.65  8.531257810791641E-02  1.241605770984346E-04 36548235
  22       1.65       1.73  8.304125353335190E-02  1.222320480350858E-04 35209116
  23       1.73       1.81  8.101134743628610E-02  1.205159400922665E-04 34063386
  24       1.81       1.89  7.910154996039082E-02  1.244482339429794E-04 33041807
  25       1.89       1.96  7.740731465959186E-02  1.188836532794986E-04 32189054
  26       1.96       2.04  7.556163427526258E-02  1.186570131698890E-04 31498123
  27       2.04       2.12  7.373456309383823E-02  1.158447738383725E-04 30925772
  28       2.12       2.20  7.222132366186131E-02  1.206036838885771E-04 30503491
  29       2.20       2.28  7.077568444531800E-02  1.068644986096869E-04 30241864
  30       2.28       2.36  6.936219560936781E-02  1.075428971873071E-04 30105688
  31       2.36       2.44  6.798217966315237E-02  1.056312456002095E-04 30121795
  32       2.44       2.51  6.697589196061020E-02  1.055991249647669E-04 30306382
  33       2.51       2.59  6.601652117339282E-02  1.002675534046582E-04 30641162
  34       2.59       2.67  6.512876826687951E-02  1.000689636749906E-04 31162493
  35       2.67       2.75  6.434788610194751E-02  9.684362917499309E-05 31884978
  36       2.75       2.83  6.361485980168430E-02  9.778681381683658E-05 32823845
  37       2.83       2.91  6.318225183691570E-02  9.858829853564308E-05 34020640
  38       2.91       2.98  6.297094708595272E-02  9.974178914862280E-05 35505482
  39       2.98       3.06  6.270524402209891E-02  1.058383745135831E-04 37398871
  40       3.06       3.14  6.251176824408770E-02  9.341718448821872E-05 39818850
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.4196312929856407E-06  3.1903202256934824E-09 18479000
#=====================================================================================
