# title = Cosine of Angle between Muon and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  3.355242207742699E-02  5.411251356621356E-05 28013830
   2      -0.90      -0.80  3.613969071602052E-02  5.602264786295696E-05 26828444
   3      -0.80      -0.70  3.893626497294812E-02  6.165595853410299E-05 27321028
   4      -0.70      -0.60  4.241188842901285E-02  6.332869422136944E-05 28555338
   5      -0.60      -0.50  4.622206887871545E-02  6.757754194583658E-05 30373743
   6      -0.50      -0.40  5.065452804559112E-02  6.948032694125847E-05 32669689
   7      -0.40      -0.30  5.567579588277660E-02  7.654701545111955E-05 35402534
   8      -0.30      -0.20  6.171963148833223E-02  7.895656426500096E-05 38649290
   9      -0.20      -0.10  6.866203966414391E-02  8.564496876500578E-05 42448306
  10      -0.10       0.00  7.677234094416520E-02  9.833337506339929E-05 46983279
  11       0.00       0.10  8.609053605565616E-02  1.012053758196151E-04 52424693
  12       0.10       0.20  9.765600959259486E-02  1.100932548354233E-04 59072695
  13       0.20       0.30  1.116603705676928E-01  1.175090801774068E-04 67368722
  14       0.30       0.40  1.289112378088587E-01  1.257046109842052E-04 77965342
  15       0.40       0.50  1.508920209871982E-01  1.429980160568340E-04 92024398
  16       0.50       0.60  1.797419224987053E-01  1.628095705764284E-04 111683534
  17       0.60       0.70  2.201038516513626E-01  1.708653646629140E-04 141167066
  18       0.70       0.80  2.797457967096642E-01  1.933699181981125E-04 190769662
  19       0.80       0.90  3.758945395230283E-01  2.430247760377061E-04 293704177
  20       0.90       1.00  4.002034728113158E-01  2.313072761103800E-04 716006230
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.4196312929854128E-06  3.1902768598861683E-09 18479000
#=====================================================================================
