# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.100E+01
# ymin=  1.000E-05
# ymax=  1.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.30       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.50       0.70  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.70       0.90  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.90       1.10  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.10       1.30  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.30       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.50       1.70  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.70       1.90  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.90       2.10  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.10       2.30  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.30       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.50       2.70  2.172172597128229E-03  5.756456692052098E-06 14561673
  14       2.70       2.90  5.489873809949967E-03  9.368303369552616E-06 30727467
  15       2.90       3.10  9.928963068094722E-03  1.340212794031700E-05 46082184
  16       3.10       3.30  1.637680971851494E-02  1.801314671948173E-05 62912635
  17       3.30       3.50  2.575270719749963E-02  2.434799166232818E-05 82012839
  18       3.50       3.70  3.925786923228608E-02  3.265681380737087E-05 104176369
  19       3.70       3.90  5.818604915764300E-02  4.640533534870903E-05 130702157
  20       3.90       4.10  8.037924426765347E-02  5.485205105245048E-05 160106737
  21       4.10       4.30  8.872670860535546E-02  6.130623500543766E-05 162069348
  22       4.30       4.50  9.184852316359289E-02  6.596817520598055E-05 155930495
  23       4.50       4.70  9.289996322591457E-02  6.909784900173824E-05 148213480
  24       4.70       4.90  9.153264071834907E-02  7.215067804987560E-05 139002033
  25       4.90       5.10  8.832245591545540E-02  7.857359492230804E-05 128495944
  26       5.10       5.30  8.360882313146953E-02  7.436976586565185E-05 117100789
  27       5.30       5.50  7.746132515907286E-02  7.265752630246323E-05 105221303
  28       5.50       5.70  7.049320644672397E-02  7.188514293981792E-05 93189714
  29       5.70       5.90  6.288635510176924E-02  6.960683468954297E-05 81466287
  30       5.90       6.10  5.525060237029195E-02  7.018159409034189E-05 70326772
  31       6.10       6.30  4.777248956303381E-02  7.333407569447520E-05 60063231
  32       6.30       6.50  4.040313742264344E-02  6.075973703471760E-05 50736957
  33       6.50       6.70  3.358351317934856E-02  5.582084116344562E-05 42423237
  34       6.70       6.90  2.752752693169816E-02  5.368618967167207E-05 35081637
  35       6.90       7.10  2.200325149533426E-02  4.860529749677551E-05 28681052
  36       7.10       7.30  1.726422342148963E-02  4.538488112270043E-05 23132932
  37       7.30       7.50  1.312961618629537E-02  4.336684677886332E-05 18392531
  38       7.50       7.70  9.700721374013784E-03  3.318840066252104E-05 14367730
  39       7.70       7.90  6.949602017182424E-03  2.882326578000581E-05 10982495
  40       7.90       8.10  4.778057437837160E-03  2.452882004332979E-05 8185583
  41       8.10       8.30  3.173505975583992E-03  2.542902819916267E-05 5902808
  42       8.30       8.50  1.935595896674423E-03  1.810903603193060E-05 4063134
  43       8.50       8.70  1.119502349688400E-03  1.344661657783928E-05 2622164
  44       8.70       8.90  5.799187827593861E-04  8.453674220212178E-06 1514011
  45       8.90       9.10  2.375063094184651E-04  5.078386138040396E-06 703511
  46       9.10       9.30  7.734247454794616E-05  3.081430017259417E-06 240641
  47       9.30       9.50  1.339983726489890E-05  1.619359586518249E-06 40009
  48       9.50       9.70  1.111106402689551E-08  7.746398748865301E-09 111
  49       9.70       9.90  0.000000000000000E+00  0.000000000000000E+00 0
  50       9.90      10.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.4196312929855941E-06  3.1902850923970325E-09 18479000
#=====================================================================================
