# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.100E+01
# ymin=  1.000E-05
# ymax=  1.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 517624991
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.30       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.50       0.70  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.70       0.90  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.90       1.10  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.10       1.30  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.30       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.50       1.70  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.70       1.90  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.90       2.10  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.10       2.30  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.30       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.50       2.70  3.120087958602497E-06  2.430534767493782E-08 195234
  14       2.70       2.90  8.275669020452211E-06  4.156015638820155E-08 431590
  15       2.90       3.10  1.559865197037904E-05  6.270500650853905E-08 679416
  16       3.10       3.30  2.675020463558425E-05  9.665901070921119E-08 971658
  17       3.30       3.50  4.334454077002090E-05  1.255665520670217E-07 1327585
  18       3.50       3.70  6.728176247127893E-05  1.694712637748273E-07 1773267
  19       3.70       3.90  1.007629625590852E-04  2.199599479801661E-07 2353033
  20       3.90       4.10  1.362054268619119E-04  2.658818963837196E-07 3060099
  21       4.10       4.30  1.424007055690952E-04  2.814290091723189E-07 3207130
  22       4.30       4.50  1.379591357165334E-04  2.856477502768497E-07 3154535
  23       4.50       4.70  1.299451960177546E-04  2.844875997863601E-07 3047361
  24       4.70       4.90  1.182664299806783E-04  2.606873621757825E-07 2892138
  25       4.90       5.10  1.041499024232119E-04  2.575943271635597E-07 2696806
  26       5.10       5.30  8.965867667129741E-05  2.278071202812383E-07 2481000
  27       5.30       5.50  7.457031673842135E-05  1.996495087413017E-07 2240178
  28       5.50       5.70  6.072179398321209E-05  1.861177214586976E-07 1997561
  29       5.70       5.90  4.847783089650972E-05  1.734991512649757E-07 1758590
  30       5.90       6.10  3.716599724175308E-05  1.361358689295902E-07 1524351
  31       6.10       6.30  2.779880595157236E-05  1.070882487285825E-07 1306926
  32       6.30       6.50  2.071822447072893E-05  9.400661342428076E-08 1106946
  33       6.50       6.70  1.497530618411094E-05  8.282190800905923E-08 927100
  34       6.70       6.90  1.058199006765085E-05  6.225712234512468E-08 768073
  35       6.90       7.10  7.198968178943000E-06  4.702108471210004E-08 627436
  36       7.10       7.30  4.847060134236923E-06  3.726821950974849E-08 506052
  37       7.30       7.50  3.145270758296121E-06  2.770559918817821E-08 400708
  38       7.50       7.70  1.976089607397938E-06  3.479323470045415E-08 310898
  39       7.70       7.90  1.191618889305167E-06  1.581744324272320E-08 237034
  40       7.90       8.10  7.078925350431583E-07  1.050617643161510E-08 175458
  41       8.10       8.30  3.875228620537612E-07  7.378631405039450E-09 125697
  42       8.30       8.50  1.969702587521098E-07  4.564775647216947E-09 86036
  43       8.50       8.70  9.648326098702292E-08  2.690149259059826E-09 55463
  44       8.70       8.90  4.131901897280551E-08  1.769758400677431E-09 31721
  45       8.90       9.10  1.346283853830679E-08  6.923577822107563E-10 15448
  46       9.10       9.30  4.529188809796788E-09  8.011602125152037E-10 5515
  47       9.30       9.50  4.370067223221216E-10  5.532401743201835E-11 954
  48       9.50       9.70  7.880704166465401E-14  5.341200955361289E-14 3
  49       9.70       9.90  0.000000000000000E+00  0.000000000000000E+00 0
  50       9.90      10.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.8770744855534212E-04  1.7519080848733764E-07 42479000
#=====================================================================================
