# title = Distance muon Pair
# xlabel = $\Delta R_{\mu^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\mu^+\mu^-}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 517624991
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  1.194915029412479E-06  5.767329536307513E-09 2165298
   2       0.30       0.50  1.526386682993184E-05  4.799867928363826E-08 3382249
   3       0.50       0.70  4.691771663872494E-05  1.191927698627549E-07 3636217
   4       0.70       0.90  8.121069889453382E-05  1.942283649937718E-07 3579516
   5       0.90       1.10  1.071835534453935E-04  2.364851066365460E-07 3378420
   6       1.10       1.30  1.226537134059673E-04  2.676270437062124E-07 3123824
   7       1.30       1.50  1.285420607774645E-04  2.744940939984469E-07 2852911
   8       1.50       1.70  1.282398221542627E-04  2.783488527827613E-07 2599838
   9       1.70       1.90  1.233043803009528E-04  2.892878311598123E-07 2374766
  10       1.90       2.10  1.170201503398690E-04  2.540409473742089E-07 2202218
  11       2.10       2.30  1.097036219880091E-04  2.485212278291907E-07 2079879
  12       2.30       2.50  1.039425064179900E-04  2.368210439666098E-07 2026359
  13       2.50       2.70  9.918412458655528E-05  2.168134508948002E-07 2046745
  14       2.70       2.90  9.549671350006081E-05  2.245469514423574E-07 2154560
  15       2.90       3.10  9.229268065249014E-05  1.999646044383054E-07 2379452
  16       3.10       3.30  5.075920030962910E-05  1.573415528036959E-07 1582772
  17       3.30       3.50  1.149109523919022E-05  5.930541606002395E-08 509062
  18       3.50       3.70  3.178442331473644E-06  2.674435599608176E-08 197720
  19       3.70       3.90  7.956798561912226E-07  1.131529853724454E-08 71439
  20       3.90       4.10  1.475181020403285E-07  5.206452629060381E-09 20035
  21       4.10       4.30  1.411343150529025E-08  1.129838598115179E-09 2687
  22       4.30       4.50  1.394022308401826E-10  9.256529228122001E-11 36
  23       4.50       4.70  0.000000000000000E+00  0.000000000000000E+00 0
  24       4.70       4.90  0.000000000000000E+00  0.000000000000000E+00 0
  25       4.90       5.10  0.000000000000000E+00  0.000000000000000E+00 0
  26       5.10       5.30  0.000000000000000E+00  0.000000000000000E+00 0
  27       5.30       5.50  0.000000000000000E+00  0.000000000000000E+00 0
  28       5.50       5.70  0.000000000000000E+00  0.000000000000000E+00 0
  29       5.70       5.90  0.000000000000000E+00  0.000000000000000E+00 0
  30       5.90       6.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 5.2914280666781488E-10  9.2162728852259552E-12 112997
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.8770744855533703E-04  1.7518846255425635E-07 42479000
#=====================================================================================
