# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 517624991
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  4.051348002600856E-10  5.132837559516766E-11 522
   7      -3.00      -2.75  3.834496800206356E-08  9.685976130143461E-10 10837
   8      -2.75      -2.50  3.207220805312825E-07  3.265571167295200E-09 51847
   9      -2.50      -2.25  1.028001905163065E-06  5.794526347493012E-09 156130
  10      -2.25      -2.00  2.105170808769449E-06  8.433820338314861E-09 362210
  11      -2.00      -1.75  4.125145383248578E-06  1.388998008868798E-08 692278
  12      -1.75      -1.50  9.625266334900504E-06  3.249180355302319E-08 1142126
  13      -1.50      -1.25  2.229966735143474E-05  6.481015518407714E-08 1678259
  14      -1.25      -1.00  4.543169289212075E-05  1.095555475898989E-07 2262415
  15      -1.00      -0.75  7.814188083370023E-05  1.647994530411026E-07 2866033
  16      -0.75      -0.50  1.159103432325910E-04  2.244600734899170E-07 3456464
  17      -0.50      -0.25  1.481658528201688E-04  2.599328460032273E-07 3988910
  18      -0.25       0.00  1.658465302025018E-04  2.873286233992494E-07 4389969
  19       0.00       0.25  1.620629804562461E-04  2.935810384110799E-07 4418015
  20       0.25       0.50  1.383049010088412E-04  2.560026685091290E-07 4052872
  21       0.50       0.75  1.043828685114876E-04  2.119677204453970E-07 3528837
  22       0.75       1.00  7.034229779520596E-05  1.637982182436507E-07 2933803
  23       1.00       1.25  4.187582771818383E-05  1.164036124980575E-07 2315098
  24       1.25       1.50  2.210314449352079E-05  7.954242688561541E-08 1713298
  25       1.50       1.75  1.050705191520364E-05  4.199584733577602E-08 1163114
  26       1.75       2.00  4.554971280663874E-06  2.033567253390986E-08 704037
  27       2.00       2.25  2.077286846652706E-06  1.079271839407726E-08 366639
  28       2.25       2.50  1.050383801201309E-06  7.781828348284729E-09 159396
  29       2.50       2.75  4.374595424653519E-07  4.993460153154612E-09 53875
  30       2.75       3.00  8.960457181492602E-08  2.345293973295526E-09 11449
  31       3.00       3.25  1.992331961818652E-09  2.359777539089977E-10 567
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.8770744855534538E-04  1.7517502377675897E-07 42479000
#=====================================================================================
