# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  9.643680264157551E-05  2.544649267218975E-07 15572887
   3      50.00      70.00  3.844930007800865E-04  4.879460184513265E-07 54319376
   4      70.00      90.00  7.037018581048268E-04  7.287440283426110E-07 88337579
   5      90.00     110.00  9.415013982126396E-04  8.069632847110117E-07 110332255
   6     110.00     130.00  1.072676668048788E-03  8.562292257020025E-07 121987082
   7     130.00     150.00  1.110784288808757E-03  9.169832936139508E-07 125234903
   8     150.00     170.00  1.072568537127197E-03  8.678483231594856E-07 120318128
   9     170.00     190.00  9.850655910004832E-04  8.010689328330511E-07 111628437
  10     190.00     210.00  8.790437569080773E-04  7.518250310534855E-07 102048435
  11     210.00     230.00  7.714684256503175E-04  7.389755163101014E-07 92694330
  12     230.00     250.00  6.676399414432312E-04  6.556300693567047E-07 84038460
  13     250.00     270.00  5.731043019854072E-04  6.196637017636311E-07 76181468
  14     270.00     290.00  4.908244907585866E-04  5.475150922098672E-07 69193692
  15     290.00     310.00  4.187009155060268E-04  5.063912176068724E-07 62968342
  16     310.00     330.00  3.575512271203340E-04  4.959842108932091E-07 57439984
  17     330.00     350.00  3.037439362690804E-04  4.082134610050852E-07 52524790
  18     350.00     370.00  2.594096316965952E-04  3.766546948025316E-07 48151051
  19     370.00     390.00  2.222513741636980E-04  3.579669862514730E-07 44257741
  20     390.00     410.00  1.890742749959202E-04  3.141247704391461E-07 40759670
  21     410.00     430.00  1.619422251346694E-04  2.983609167967117E-07 37624879
  22     430.00     450.00  1.385239045897858E-04  2.569390447470089E-07 34816793
  23     450.00     470.00  1.192456155011254E-04  2.487795040094431E-07 32275553
  24     470.00     490.00  1.029354804634838E-04  2.460509250207162E-07 29976883
  25     490.00     510.00  8.811846650981674E-05  2.109474970724721E-07 27879067
  26     510.00     530.00  7.620492389968490E-05  1.852512288535356E-07 25978990
  27     530.00     550.00  6.578103721934452E-05  1.676716217223836E-07 24247122
  28     550.00     570.00  5.698425616677781E-05  1.590324613732630E-07 22671594
  29     570.00     590.00  4.919232716012196E-05  1.448941140943175E-07 21212238
  30     590.00     610.00  4.289795149716184E-05  1.325491655417961E-07 19881824
  31     610.00     630.00  3.713072933535206E-05  1.192014207024160E-07 18656886
  32     630.00     650.00  3.243055071473303E-05  1.131825771602259E-07 17524834
  33     650.00     670.00  2.829391136160146E-05  1.023190759126658E-07 16490308
  34     670.00     690.00  2.468369024553462E-05  9.824020913329944E-08 15516626
  35     690.00     710.00  2.157039253646342E-05  8.597258810481678E-08 14626284
  36     710.00     730.00  1.891279532641746E-05  8.249192578749678E-08 13795515
  37     730.00     750.00  1.646330882282876E-05  7.274768412850099E-08 13030477
  38     750.00     770.00  1.462174992491105E-05  6.833474721114020E-08 12316110
  39     770.00     790.00  1.277592919337491E-05  6.200122317379393E-08 11645043
  40     790.00     810.00  1.117817829391413E-05  5.681450053779819E-08 11021164
  41     810.00     830.00  9.895002155847970E-06  5.275445328023402E-08 10443319
  42     830.00     850.00  8.662307404470984E-06  4.827415617397086E-08 9898200
  43     850.00     870.00  7.693732440049579E-06  4.568587601130194E-08 9387204
  44     870.00     890.00  6.803867504832456E-06  4.253727341178035E-08 8911921
  45     890.00     910.00  6.051184445718113E-06  4.052948489384486E-08 8463069
  46     910.00     930.00  5.323543684230697E-06  3.650071032244283E-08 8045266
  47     930.00     950.00  4.689284236727535E-06  3.108958634096527E-08 7653368
  48     950.00     970.00  4.227118371945469E-06  3.206256095837511E-08 7277241
  49     970.00     990.00  3.687307278113866E-06  2.971270207024156E-08 6928335
  50     990.00    1010.00  3.307158352200354E-06  2.515545446855719E-08 6605682
  51    1010.00    1030.00  2.963174132416157E-06  2.480542404296967E-08 6291997
  52    1030.00    1050.00  2.579066534106488E-06  2.059934909896603E-08 6002993
  53    1050.00    1070.00  2.324402731769104E-06  2.000722298971513E-08 5720490
  54    1070.00    1090.00  2.078901244423959E-06  1.956364765484854E-08 5460175
  55    1090.00    1110.00  1.846031469587243E-06  1.778644402674674E-08 5213435
  56    1110.00    1130.00  1.639512706447742E-06  1.600394408589771E-08 4980399
  57    1130.00    1150.00  1.473523324860155E-06  1.520017649394250E-08 4758715
  58    1150.00    1170.00  1.311446249496643E-06  1.376405933028469E-08 4549417
  59    1170.00    1190.00  1.174053192551540E-06  1.212755584877239E-08 4351739
  60    1190.00    1210.00  1.031231910297279E-06  1.112004032259885E-08 4161642
  61    1210.00    1230.00  9.355501391119699E-07  1.057692573353156E-08 3984523
  62    1230.00    1250.00  8.399787944033559E-07  9.223810896447113E-09 3812500
  63    1250.00    1270.00  7.524952780062894E-07  8.869136503789756E-09 3651275
  64    1270.00    1290.00  7.010009040342785E-07  9.745348923282425E-09 3502814
  65    1290.00    1310.00  6.207866557069401E-07  8.182853171742957E-09 3351985
  66    1310.00    1330.00  5.570267805208673E-07  8.254650940342215E-09 3214951
  67    1330.00    1350.00  4.935159014804747E-07  6.886417356763436E-09 3079134
  68    1350.00    1370.00  4.466921009670427E-07  6.355338509424313E-09 2954659
  69    1370.00    1390.00  4.009232718032413E-07  6.033929108293588E-09 2839924
  70    1390.00    1410.00  3.559290272027811E-07  5.437370003097818E-09 2721244
  71    1410.00    1430.00  3.282174363875834E-07  5.581768395830141E-09 2616007
  72    1430.00    1450.00  2.881715893140010E-07  4.673411078028963E-09 2508441
  73    1450.00    1470.00  2.626123679454201E-07  4.424737998512144E-09 2409592
  74    1470.00    1490.00  2.457408311435657E-07  4.293806946856608E-09 2314498
  75    1490.00    1510.00  2.248854718720143E-07  4.803901321608385E-09 2226596
  76    1510.00    1530.00  1.994435615599405E-07  3.883878058496077E-09 2138356
  77    1530.00    1550.00  1.763481125057200E-07  3.287662956952605E-09 2054810
  78    1550.00    1570.00  1.598819539947466E-07  3.294688241246910E-09 1973359
  79    1570.00    1590.00  1.435890938915733E-07  2.844824888128728E-09 1901453
  80    1590.00    1610.00  1.302197278026381E-07  2.627078602531130E-09 1827149
  81    1610.00    1630.00  1.202988606502618E-07  2.805959720830015E-09 1759700
  82    1630.00    1650.00  1.083609811207340E-07  2.567999723447790E-09 1693901
  83    1650.00    1670.00  9.350516987744363E-08  2.200862663181371E-09 1627904
  84    1670.00    1690.00  8.517532875391034E-08  1.889163764107488E-09 1569525
  85    1690.00    1710.00  7.920744133777312E-08  1.964628890090066E-09 1509825
  86    1710.00    1730.00  7.206597037703035E-08  1.773808986934437E-09 1453809
  87    1730.00    1750.00  6.541660204803106E-08  1.981577492741997E-09 1401954
  88    1750.00    1770.00  6.004836246235588E-08  1.695761488012780E-09 1347540
