# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  1.458867577748047E+00  4.674689862013052E-04 956958857
   2      -0.90      -0.80  3.345754395480383E-01  1.677806382752030E-04 312303026
   3      -0.80      -0.70  1.721396000001304E-01  1.099007799881463E-04 189543339
   4      -0.70      -0.60  1.067454447238429E-01  8.404535623781336E-05 132446995
   5      -0.60      -0.50  7.256909982838758E-02  7.436773979060447E-05 98950362
   6      -0.50      -0.40  5.179301909095640E-02  5.688431858014497E-05 75807525
   7      -0.40      -0.30  3.822466735203068E-02  4.743152358602319E-05 59506982
   8      -0.30      -0.20  2.954385776720734E-02  3.797205789751771E-05 49167974
   9      -0.20      -0.10  2.330441843252063E-02  3.923965447410324E-05 41768417
  10      -0.10       0.00  1.861323290155879E-02  3.008990559264387E-05 36207504
  11       0.00       0.10  1.493427754448429E-02  2.573506508669839E-05 31805722
  12       0.10       0.20  1.202418251662328E-02  2.239591233440697E-05 28232859
  13       0.20       0.30  9.661939285847415E-03  1.981957287840831E-05 25221621
  14       0.30       0.40  7.627240268877394E-03  1.690247152192843E-05 22645142
  15       0.40       0.50  5.866078938061323E-03  1.427763567976258E-05 20323261
  16       0.50       0.60  4.338653509222490E-03  1.163584847022399E-05 18115015
  17       0.60       0.70  2.920239494479391E-03  8.446678038116537E-06 15850996
  18       0.70       0.80  1.651147847860099E-03  5.639256840182656E-06 13196702
  19       0.80       0.90  5.962361564797749E-04  2.437509027106455E-06 9258343
  20       0.90       1.00  4.077310926985555E-05  3.901816948993306E-07 2121358
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.2889813758610728E-06  3.0452479400640039E-09 18479000
#=====================================================================================
