# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  3.230641543608382E-05  1.687686698870951E-06 169569
   2      -8.75      -8.50  1.397539367012128E-04  3.092252980812186E-06 642722
   3      -8.50      -8.25  3.532021738778209E-04  5.117676300215209E-06 1342584
   4      -8.25      -8.00  7.319571946833306E-04  1.063807992114161E-05 2328807
   5      -8.00      -7.75  1.325709041104109E-03  1.162590030869883E-05 3659562
   6      -7.75      -7.50  2.155198023637258E-03  1.276404863464417E-05 5386416
   7      -7.50      -7.25  3.329546784149931E-03  1.570906221973812E-05 7583938
   8      -7.25      -7.00  4.896216421454386E-03  1.948808876476739E-05 10309266
   9      -7.00      -6.75  6.816771635045273E-03  2.402740862018963E-05 13633705
  10      -6.75      -6.50  9.197912873443251E-03  2.613318335917035E-05 17600021
  11      -6.50      -6.25  1.188605417994300E-02  2.764123507060275E-05 22251971
  12      -6.25      -6.00  1.490757709945130E-02  3.038617730121151E-05 27615252
  13      -6.00      -5.75  1.830415405668850E-02  3.318160893085008E-05 33715782
  14      -5.75      -5.50  2.186396665803656E-02  3.688410262710556E-05 40495216
  15      -5.50      -5.25  2.551274616762741E-02  4.116708809217638E-05 47780858
  16      -5.25      -5.00  2.893802173455156E-02  3.844066492263820E-05 55269809
  17      -5.00      -4.75  3.208683666347760E-02  3.965355085943740E-05 62594940
  18      -4.75      -4.50  3.467571696250950E-02  3.926755987904308E-05 69340248
  19      -4.50      -4.25  3.627943570555103E-02  3.751547848123705E-05 75108158
  20      -4.25      -4.00  3.705337452937173E-02  4.027085226671204E-05 79553768
  21      -4.00      -3.75  3.672469700338389E-02  3.622411380620992E-05 82436028
  22      -3.75      -3.50  3.528269426094562E-02  3.753927767963483E-05 83599757
  23      -3.50      -3.25  3.286759227666055E-02  3.255037641801423E-05 83169907
  24      -3.25      -3.00  2.966264353642840E-02  2.938189517695907E-05 81334344
  25      -3.00      -2.75  2.593300758209244E-02  2.620638544895988E-05 78499625
  26      -2.75      -2.50  2.202578217564936E-02  2.434011882869418E-05 75235679
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0
  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0
  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0
  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0
  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0
  42       1.25       1.50  0.000000000000000E+00  0.000000000000000E+00 0
  43       1.50       1.75  0.000000000000000E+00  0.000000000000000E+00 0
  44       1.75       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  45       2.00       2.25  0.000000000000000E+00  0.000000000000000E+00 0
  46       2.25       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  47       2.50       2.75  2.203008025515918E-02  2.668753710243331E-05 79206178
  48       2.75       3.00  2.601218354763157E-02  2.793739850683019E-05 82058343
  49       3.00       3.25  2.969825176803970E-02  3.023793128695648E-05 84207304
  50       3.25       3.50  3.292564158591040E-02  3.338566481400144E-05 85268872
  51       3.50       3.75  3.540160259197028E-02  3.801629151466809E-05 84947613
  52       3.75       4.00  3.674037203898765E-02  3.934776137308143E-05 83126678
  53       4.00       4.25  3.705516286677424E-02  3.970925708236375E-05 79771606
  54       4.25       4.50  3.634711264318493E-02  4.133128365425317E-05 75016190
  55       4.50       4.75  3.455129357516510E-02  4.352828868898718E-05 69054179
  56       4.75       5.00  3.202998753597413E-02  4.047601714466221E-05 62256660
  57       5.00       5.25  2.896912169569537E-02  3.925579180584297E-05 54956767
  58       5.25       5.50  2.555416558124650E-02  4.104695625359939E-05 47549525
  59       5.50       5.75  2.203139064399240E-02  3.813070545551703E-05 40390967
  60       5.75       6.00  1.835135231915148E-02  3.497347871336439E-05 33782414
  61       6.00       6.25  1.493631806539951E-02  3.211713025997260E-05 27858878
  62       6.25       6.50  1.188118721029561E-02  2.948856814950992E-05 22639223
  63       6.50       6.75  9.146137455793674E-03  2.554634257094325E-05 18109321
  64       6.75       7.00  6.846478519786123E-03  2.672310558814630E-05 14216951
  65       7.00       7.25  4.879405363192068E-03  1.992323493815291E-05 10920804
  66       7.25       7.50  3.326469885101866E-03  1.669871426113227E-05 8172862
