# title = Transverse Mass of W
# xlabel = $M_{\text{T},\text{W}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  8.629154563380516E-04  6.393735440799720E-07 233504477
   2      20.00      40.00  1.128062704153404E-03  7.368393883496956E-07 280576619
   3      40.00      60.00  1.985429029016332E-03  1.012124944240554E-06 414961157
   4      60.00      80.00  6.251596249712710E-03  2.004503222673491E-06 984547266
   5      80.00     100.00  1.471215722007984E-03  9.869269393009572E-07 206431133
   6     100.00     120.00  6.210272660623678E-05  2.121890405539328E-07 8024143
   7     120.00     140.00  2.508236046688359E-05  1.704794813069660E-07 3139284
   8     140.00     160.00  1.342367439783101E-05  1.049293038261670E-07 1703213
   9     160.00     180.00  8.231336615504584E-06  8.544011832758682E-08 1077238
  10     180.00     200.00  5.459237158053146E-06  7.374371725588976E-08 750101
  11     200.00     220.00  3.903157089057702E-06  6.250225103169021E-08 553873
  12     220.00     240.00  2.655774132235558E-06  4.412250749632884E-08 428577
  13     240.00     260.00  1.972758445633136E-06  3.748847823190894E-08 344112
  14     260.00     280.00  1.495264161429897E-06  4.132679119457134E-08 284121
  15     280.00     300.00  1.197533237692660E-06  3.854845156446718E-08 239273
  16     300.00     320.00  9.489754356765779E-07  2.467711758279917E-08 204003
  17     320.00     340.00  7.147966481191656E-07  2.142536228546435E-08 176975
  18     340.00     360.00  6.166003817165675E-07  2.184231716882397E-08 156454
  19     360.00     380.00  4.525192249179297E-07  1.187780883516705E-08 138183
  20     380.00     400.00  3.915053886993231E-07  1.424291481485007E-08 123951
  21     400.00     420.00  3.325203393165633E-07  1.236480169278966E-08 112397
  22     420.00     440.00  2.768365170676354E-07  1.047280907979125E-08 102407
