# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 517624991
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  3.273450147221630E-07  1.487387199496307E-09 1135885
   2      20.00      40.00  8.868887179114976E-07  2.414258459087633E-09 2092820
   3      40.00      60.00  1.244392884123066E-06  2.781918416557099E-09 2387335
   4      60.00      80.00  1.416107525099078E-06  2.943604301259281E-09 2463775
   5      80.00     100.00  1.422838361774744E-06  3.143036728323614E-09 2433385
   6     100.00     120.00  1.326047921347603E-06  2.807541987652836E-09 2332914
   7     120.00     140.00  1.180109685245503E-06  2.465387053908460E-09 2198750
   8     140.00     160.00  1.018277696989428E-06  2.179342055264066E-09 2047019
   9     160.00     180.00  8.652228703616881E-07  2.025469857675949E-09 1891732
  10     180.00     200.00  7.205776702280648E-07  1.767563815574524E-09 1737319
  11     200.00     220.00  5.939168852254382E-07  1.517602894261511E-09 1590511
  12     220.00     240.00  4.848696701072137E-07  1.341836425073723E-09 1450485
  13     240.00     260.00  3.946739035804801E-07  1.116574720541258E-09 1327221
  14     260.00     280.00  3.227200113803382E-07  9.701021253433929E-10 1213822
  15     280.00     300.00  2.621275692360864E-07  8.654167222100455E-10 1108750
  16     300.00     320.00  2.113068509381091E-07  7.468526327294044E-10 1012024
  17     320.00     340.00  1.705701970999871E-07  6.367696999107339E-10 927195
  18     340.00     360.00  1.368112090136766E-07  5.589493285550946E-10 848760
  19     360.00     380.00  1.098945551591153E-07  4.760195180391018E-10 777665
  20     380.00     400.00  8.829612472186636E-08  4.092233434154421E-10 715264
  21     400.00     420.00  7.070162792414064E-08  3.493546424459073E-10 657518
  22     420.00     440.00  5.829738357708682E-08  3.256267997609801E-10 607664
  23     440.00     460.00  4.654980188773853E-08  2.591417446597214E-10 560857
  24     460.00     480.00  3.779757602133156E-08  2.245215184144335E-10 518223
  25     480.00     500.00  3.115069155048431E-08  2.006771882659612E-10 481932
  26     500.00     520.00  2.508386860367281E-08  1.768308025502965E-10 448540
  27     520.00     540.00  2.078441043561964E-08  1.476551713966534E-10 415838
  28     540.00     560.00  1.705447914542136E-08  1.335908419654293E-10 387329
  29     560.00     580.00  1.398306691550126E-08  1.107545806860110E-10 360714
  30     580.00     600.00  1.162143606310487E-08  9.768327093281138E-11 336721
  31     600.00     620.00  9.680654408851084E-09  9.269934008345566E-11 315324
  32     620.00     640.00  7.915806818356750E-09  7.278650781819904E-11 294519
  33     640.00     660.00  6.674871613435588E-09  6.405708860072983E-11 276961
  34     660.00     680.00  5.524549097659141E-09  5.612082640573362E-11 258718
  35     680.00     700.00  4.564370435214574E-09  4.525043968941807E-11 243905
  36     700.00     720.00  3.854925535238777E-09  4.194448614368325E-11 228826
  37     720.00     740.00  3.258387631287615E-09  3.766004388446556E-11 215631
  38     740.00     760.00  2.797686045055742E-09  3.217439679272365E-11 203360
  39     760.00     780.00  2.322475897542332E-09  2.806145019196549E-11 190673
  40     780.00     800.00  2.015525322109508E-09  2.674047179678891E-11 180771
  41     800.00     820.00  1.694760316615623E-09  2.242659633154384E-11 170873
  42     820.00     840.00  1.428981733481315E-09  1.876621127132355E-11 160199
  43     840.00     860.00  1.239517010788070E-09  1.699928754845201E-11 150942
  44     860.00     880.00  1.060973715778559E-09  1.598365677329803E-11 143471
  45     880.00     900.00  9.018709884219533E-10  1.446298038279887E-11 136213
  46     900.00     920.00  7.716793614907442E-10  1.123468788818892E-11 128220
  47     920.00     940.00  6.557726550107947E-10  1.001981308749212E-11 121508
  48     940.00     960.00  5.830478469874605E-10  1.013188338755002E-11 115283
  49     960.00     980.00  4.945365398071807E-10  7.960527236810523E-12 110012
  50     980.00    1000.00  4.315193617096103E-10  7.254855488098605E-12 104322
  51    1000.00    1020.00  3.842441182690036E-10  6.526203527379923E-12 99599
  52    1020.00    1040.00  3.270844731680282E-10  5.866612184315795E-12 94162
  53    1040.00    1060.00  2.853570106406956E-10  5.387885192764898E-12 89137
  54    1060.00    1080.00  2.550292135263444E-10  4.903311875385906E-12 85376
  55    1080.00    1100.00  2.186587688149555E-10  4.341437007713221E-12 81503
  56    1100.00    1120.00  1.890424290834838E-10  3.598456458633413E-12 77133
  57    1120.00    1140.00  1.749698350352026E-10  3.620943473452858E-12 73660
  58    1140.00    1160.00  1.511160516204425E-10  3.313839876383064E-12 70056
  59    1160.00    1180.00  1.281406192549347E-10  2.561038778233056E-12 66297
  60    1180.00    1200.00  1.162517331597978E-10  2.683194190812401E-12 63588
  61    1200.00    1220.00  1.014687217384252E-10  2.239824920816702E-12 60180
