# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 517624991
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  4.196722124186997E-06  5.130692367296195E-09 8568179
   2      30.00      50.00  3.773299511736501E-06  4.463461161544193E-09 9432923
   3      50.00      70.00  2.178399990455852E-06  3.153399447768586E-09 5707775
   4      70.00      90.00  1.131522439860594E-06  2.154817184818443E-09 3567454
   5      90.00     110.00  6.038075796722252E-07  1.476614542031711E-09 2424916
   6     110.00     130.00  3.579908741445755E-07  1.047280505420718E-09 1797284
   7     130.00     150.00  2.217328456519382E-07  7.545338801196702E-10 1388992
   8     150.00     170.00  1.427820143900092E-07  5.637772479485361E-10 1105540
   9     170.00     190.00  9.445059392326506E-08  4.292404376987176E-10 896794
  10     190.00     210.00  6.434880491806854E-08  3.280893346677474E-10 738762
  11     210.00     230.00  4.405075458761852E-08  2.476829873626917E-10 616875
  12     230.00     250.00  3.050177742175890E-08  1.985305081763113E-10 521129
  13     250.00     270.00  2.126317849162404E-08  1.455490537737088E-10 443984
  14     270.00     290.00  1.549452028317984E-08  1.212053351693165E-10 383906
  15     290.00     310.00  1.120698596107561E-08  1.014391868657539E-10 333841
  16     310.00     330.00  8.187616581907790E-09  7.792453700233252E-11 290274
  17     330.00     350.00  6.023207565959885E-09  6.184816557332348E-11 255186
  18     350.00     370.00  4.536881304615288E-09  5.208473288318545E-11 225522
  19     370.00     390.00  3.376357200073471E-09  4.031525037659706E-11 200340
  20     390.00     410.00  2.485024400602712E-09  3.109459627770972E-11 178380
  21     410.00     430.00  1.906241762918547E-09  2.553279875771669E-11 159542
  22     430.00     450.00  1.463034104040304E-09  2.080358662469925E-11 142795
  23     450.00     470.00  1.118372147635699E-09  1.688692637352415E-11 128757
  24     470.00     490.00  8.506776187379261E-10  1.382738072581767E-11 116337
  25     490.00     510.00  6.590546152622793E-10  1.130929328971636E-11 105248
  26     510.00     530.00  5.243299225643676E-10  9.034734153449131E-12 95699
  27     530.00     550.00  4.190739950148938E-10  7.937379650676417E-12 87008
  28     550.00     570.00  3.217374669089339E-10  5.963041517440823E-12 79689
  29     570.00     590.00  2.658422818934747E-10  7.437777682202867E-12 72860
  30     590.00     610.00  2.025651601289352E-10  4.986584375432017E-12 66615
  31     610.00     630.00  1.723977275768668E-10  4.033709434904545E-12 60823
  32     630.00     650.00  1.317675046288118E-10  3.985520560786488E-12 56274
  33     650.00     670.00  1.081229073357389E-10  2.655567788155838E-12 52025
  34     670.00     690.00  8.664658899297324E-11  2.157058817008826E-12 47945
  35     690.00     710.00  6.883665417689217E-11  1.645484288788019E-12 44334
  36     710.00     730.00  5.939640693404753E-11  1.561978553510511E-12 40693
  37     730.00     750.00  4.892142200344599E-11  1.325687441054213E-12 38141
  38     750.00     770.00  4.166003113385954E-11  1.239960105037356E-12 35010
  39     770.00     790.00  3.247993082319854E-11  9.295491113192141E-13 32726
  40     790.00     810.00  2.620141509898063E-11  7.205445056835060E-13 30338
  41     810.00     830.00  2.234689218934656E-11  7.120078920434540E-13 28554
  42     830.00     850.00  1.952044596462314E-11  6.752226538554557E-13 26585
  43     850.00     870.00  1.609287972616455E-11  7.171152839015399E-13 24640
  44     870.00     890.00  1.302705565060507E-11  4.545953707131178E-13 23058
  45     890.00     910.00  1.083700647675670E-11  3.808763487869290E-13 21255
  46     910.00     930.00  8.823968870321820E-12  3.411931378405534E-13 19839
  47     930.00     950.00  7.734424661478430E-12  3.220581768023443E-13 18604
  48     950.00     970.00  7.114114235103608E-12  2.784888230093974E-13 17678
