# title = Transverse Momentum of W-Z system
# xlabel = $p_{\text{T},\text{WZ}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{WZ}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 517624991
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  6.286757043781022E-07  2.042535400108314E-09 1752942
   2      30.00      50.00  1.092490905121645E-06  2.639646362001440E-09 2283565
   3      50.00      70.00  1.350307537625497E-06  2.870982313118232E-09 2441646
   4      70.00      90.00  1.437476330904517E-06  3.192082969566797E-09 2460767
   5      90.00     110.00  1.380701684404782E-06  2.810603785995923E-09 2387727
   6     110.00     130.00  1.258353845869004E-06  2.678474783220906E-09 2268899
   7     130.00     150.00  1.100923112580674E-06  2.348488692122271E-09 2125291
   8     150.00     170.00  9.387549480616369E-07  2.088339704301500E-09 1967944
   9     170.00     190.00  7.919744350588948E-07  1.904677349199774E-09 1813811
  10     190.00     210.00  6.537810743020238E-07  1.627317903174797E-09 1663000
  11     210.00     230.00  5.388950507135779E-07  1.411007003900623E-09 1519687
  12     230.00     250.00  4.364868672069075E-07  1.239882361040504E-09 1387540
  13     250.00     270.00  3.576357392424372E-07  1.046988026970320E-09 1269586
  14     270.00     290.00  2.901921440563776E-07  9.051283661106595E-10 1160065
  15     290.00     310.00  2.364406813254706E-07  8.187043746764729E-10 1059045
  16     310.00     330.00  1.901294594535006E-07  6.895975305099152E-10 968873
  17     330.00     350.00  1.516412078025150E-07  5.910096808310626E-10 886344
  18     350.00     370.00  1.233215884582629E-07  5.214607575415593E-10 812386
  19     370.00     390.00  9.798372429201711E-08  4.296752251527203E-10 746033
  20     390.00     410.00  7.907061378469666E-08  3.836667817047505E-10 685578
  21     410.00     430.00  6.391457414211217E-08  3.283081429557983E-10 631797
  22     430.00     450.00  5.238073477158092E-08  2.983618201602628E-10 583438
  23     450.00     470.00  4.186791164039758E-08  2.440226816489848E-10 538836
  24     470.00     490.00  3.434901865989367E-08  2.135656219659847E-10 499317
  25     490.00     510.00  2.789834432056926E-08  1.893845871340295E-10 464881
  26     510.00     530.00  2.281969382519986E-08  1.581347470145218E-10 431903
  27     530.00     550.00  1.887718940183104E-08  1.417146327572239E-10 401668
  28     550.00     570.00  1.534526375599912E-08  1.191193632170944E-10 374101
  29     570.00     590.00  1.265740208421115E-08  1.013377572915481E-10 347804
  30     590.00     610.00  1.066869720562701E-08  9.992472270232552E-11 326380
  31     610.00     630.00  8.765392749584846E-09  7.944179672443957E-11 304248
  32     630.00     650.00  7.259114693147729E-09  6.771357126191231E-11 286021
  33     650.00     670.00  6.106386201426926E-09  6.088547193197749E-11 267470
  34     670.00     690.00  5.044661934039680E-09  5.167583509741291E-11 251083
  35     690.00     710.00  4.152227713161331E-09  4.158616801190553E-11 236458
  36     710.00     730.00  3.527624303247953E-09  3.981049706466097E-11 221638
  37     730.00     750.00  3.045374982675065E-09  3.591488893167323E-11 210090
  38     750.00     770.00  2.548862510677046E-09  3.026663513697273E-11 196348
  39     770.00     790.00  2.149643072064408E-09  2.663118346256985E-11 185890
  40     790.00     810.00  1.816936691563342E-09  2.413549887564321E-11 175388
  41     810.00     830.00  1.565748716130491E-09  2.075994730879280E-11 165351
  42     830.00     850.00  1.344507173329413E-09  1.816185440758741E-11 155606
  43     850.00     870.00  1.139060761663063E-09  1.659889880918400E-11 147378
  44     870.00     890.00  9.943591670420397E-10  1.535762295843577E-11 139643
  45     890.00     910.00  8.174236720654073E-10  1.207509927457726E-11 132479
  46     910.00     930.00  7.236449321092971E-10  1.091248417351054E-11 124636
  47     930.00     950.00  6.101409042171895E-10  9.927068600017771E-12 118108
  48     950.00     970.00  5.335594791757928E-10  9.005572234129953E-12 112714
  49     970.00     990.00  4.634447352032626E-10  7.593800105884039E-12 107093
  50     990.00    1010.00  4.150756636183270E-10  7.119492696246015E-12 102005
  51    1010.00    1030.00  3.495535605879942E-10  6.153021274168613E-12 96707
  52    1030.00    1050.00  3.074579212872880E-10  5.586413970010804E-12 91832
  53    1050.00    1070.00  2.671461456076332E-10  5.211370125259843E-12 86885
  54    1070.00    1090.00  2.382231222525317E-10  4.691296111827434E-12 83933
  55    1090.00    1110.00  2.002794068345862E-10  3.804977575484192E-12 78734
  56    1110.00    1130.00  1.837101724446652E-10  3.656501118375450E-12 75793
  57    1130.00    1150.00  1.621278880590091E-10  3.493383853042055E-12 71647
  58    1150.00    1170.00  1.366428811562394E-10  2.746122387427524E-12 68179
  59    1170.00    1190.00  1.225465939082339E-10  2.720029265299617E-12 64843
  60    1190.00    1210.00  1.090929644572538E-10  2.455318017374981E-12 61926
  61    1210.00    1230.00  9.393037802632401E-11  2.069763052196649E-12 58952
  62    1230.00    1250.00  8.204973595332562E-11  1.848674577418340E-12 56182
  63    1250.00    1270.00  7.725416237918997E-11  1.835596000518140E-12 53968
  64    1270.00    1290.00  6.774711148315102E-11  1.573186192861145E-12 51706
  65    1290.00    1310.00  5.883290869982396E-11  1.490577873066762E-12 49082
  66    1310.00    1330.00  5.448483662029126E-11  1.502461073765024E-12 47007
  67    1330.00    1350.00  4.738153283425664E-11  1.279586492981223E-12 44832
  68    1350.00    1370.00  4.291347965384064E-11  1.149464055246197E-12 42898
  69    1370.00    1390.00  3.658384810486583E-11  1.011858152320017E-12 40991
  70    1390.00    1410.00  3.405233665696942E-11  1.005416520100437E-12 39400
  71    1410.00    1430.00  2.982595040428221E-11  9.089762853783713E-13 37637
  72    1430.00    1450.00  2.865735587476888E-11  1.099286477625534E-12 36074
  73    1450.00    1470.00  2.313439389467438E-11  7.844726379040854E-13 33890
  74    1470.00    1490.00  2.114492653240629E-11  6.835898433375886E-13 32913
  75    1490.00    1510.00  2.003774347116272E-11  6.663489527343912E-13 31641
  76    1510.00    1530.00  1.728679870908460E-11  5.695858682737286E-13 30490
  77    1530.00    1550.00  1.542058134895501E-11  5.196368762875359E-13 29010
  78    1550.00    1570.00  1.417467311846859E-11  5.080242443303264E-13 27706
  79    1570.00    1590.00  1.222782308358171E-11  4.755449130783530E-13 26472
  80    1590.00    1610.00  1.157805996132468E-11  4.179732625337020E-13 25349
  81    1610.00    1630.00  1.071189604914966E-11  5.627262665121236E-13 24630
  82    1630.00    1650.00  9.228188939690402E-12  3.997194415115449E-13 23619
  83    1650.00    1670.00  8.038910455563841E-12  2.841597143115565E-13 22605
  84    1670.00    1690.00  7.754275991660370E-12  3.414525174981369E-13 21812
  85    1690.00    1710.00  7.054687460899715E-12  3.431287270667838E-13 20815
  86    1710.00    1730.00  6.245106406873511E-12  3.153700488869820E-13 20051
  87    1730.00    1750.00  5.776327164042847E-12  2.435121474743852E-13 19294
  88    1750.00    1770.00  5.234633727949142E-12  2.751992023560828E-13 18273
  89    1770.00    1790.00  4.698987601316037E-12  2.370435773916866E-13 17446
  90    1790.00    1810.00  4.061072231095167E-12  1.914529372440535E-13 16884
  91    1810.00    1830.00  3.735802616578423E-12  1.622924489131047E-13 16367
  92    1830.00    1850.00  3.864226238434733E-12  2.095479744121372E-13 15812
  93    1850.00    1870.00  3.100236579791856E-12  1.597370470691759E-13 15026
  94    1870.00    1890.00  2.847530428669791E-12  1.710483889996260E-13 14211
  95    1890.00    1910.00  2.631718506807336E-12  1.393456524933535E-13 13888
  96    1910.00    1930.00  2.486801528652954E-12  1.543256728753501E-13 13497
  97    1930.00    1950.00  2.251886382820773E-12  1.666145028877279E-13 12796
  98    1950.00    1970.00  1.895979683295607E-12  1.207256448511535E-13 12380
  99    1970.00    1990.00  1.796600827345368E-12  1.072043815409156E-13 11643
 100    1990.00    2010.00  1.464798588876900E-12  8.384884808291758E-14 11353
 101    2010.00    2030.00  1.616307622459598E-12  1.289464660274680E-13 11219
 102    2030.00    2050.00  1.437913102002212E-12  1.232918289122372E-13 10519
 103    2050.00    2070.00  1.298224133876789E-12  8.062242798335777E-14 10244
 104    2070.00    2090.00  1.102471770204634E-12  7.673177310975354E-14 9657
 105    2090.00    2110.00  9.349973930917101E-13  5.738147448950523E-14 9318
 106    2110.00    2130.00  9.450690092590035E-13  7.176753327371382E-14 9033
 107    2130.00    2150.00  9.344006841835418E-13  7.650150415499046E-14 8677
 108    2150.00    2170.00  7.915588065390983E-13  6.086540274149951E-14 8561
 109    2170.00    2190.00  6.994731416038497E-13  8.144901776625920E-14 7941
 110    2190.00    2210.00  6.987482409329972E-13  5.071956062228431E-14 7809
 111    2210.00    2230.00  6.000011429481340E-13  4.430484639319079E-14 7484
 112    2230.00    2250.00  6.236447806055778E-13  7.338326835709756E-14 7109
 113    2250.00    2270.00  5.197272026387079E-13  4.797674093350036E-14 6796
 114    2270.00    2290.00  4.754308037612631E-13  3.966280169667515E-14 6687
