# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  2.004424835490330E-02  3.856449121267952E-05 38847887
   2      -2.25      -2.00  2.758714981902834E-02  4.610657029715157E-05 53293923
   3      -2.00      -1.75  3.635217358031998E-02  5.568899079654022E-05 69463672
   4      -1.75      -1.50  4.568521835157790E-02  5.974766416965566E-05 85427081
   5      -1.50      -1.25  5.484124266498115E-02  6.679888431643949E-05 100401345
   6      -1.25      -1.00  6.287488490980263E-02  6.186839205931456E-05 113914971
   7      -1.00      -0.75  6.957993220046851E-02  6.470778187361276E-05 125684374
   8      -0.75      -0.50  7.454574617724988E-02  6.315078404504726E-05 135486533
   9      -0.50      -0.25  7.789776680935569E-02  6.012634810495800E-05 143150832
  10      -0.25       0.00  7.952969387960003E-02  5.970778923623323E-05 148330498
  11       0.00       0.25  7.957674719500660E-02  6.314098991738773E-05 150848904
  12       0.25       0.50  7.784380553154864E-02  6.068539310359426E-05 150422874
  13       0.50       0.75  7.454562911822521E-02  5.936619763031882E-05 146834934
  14       0.75       1.00  6.958590242522952E-02  6.049553034552387E-05 139909140
  15       1.00       1.25  6.291062427228650E-02  5.794972191022241E-05 129664786
  16       1.25       1.50  5.473503934357411E-02  5.618258963039799E-05 116148686
  17       1.50       1.75  4.570208586502043E-02  5.038454088821268E-05 99889844
  18       1.75       2.00  3.625696843595870E-02  4.489294495218331E-05 81721714
  19       2.00       2.25  2.757224330610161E-02  3.973140854687641E-05 63227967
  20       2.25       2.50  1.998454445502578E-02  3.322032248172588E-05 46762035
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.5638383107649747E-06  3.3469918663677992E-09 18479000
#=====================================================================================
