# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  2.536820818345773E-03  1.003946890187567E-05 16460438
   2      -4.25      -4.00  5.241356542284206E-03  1.612468283735423E-05 22652587
   3      -4.00      -3.75  9.583843639114822E-03  2.696716657248436E-05 29647336
   4      -3.75      -3.50  1.588613412631419E-02  3.336194837048717E-05 37377936
   5      -3.50      -3.25  2.382970144630796E-02  4.293784748895781E-05 45561844
   6      -3.25      -3.00  3.263732156197917E-02  5.304294130500342E-05 53843980
   7      -3.00      -2.75  4.130858048295886E-02  6.009240153285081E-05 61767074
   8      -2.75      -2.50  4.824052115922201E-02  5.980712166144208E-05 68761923
   9      -2.50      -2.25  5.254339482518421E-02  6.182352339928377E-05 74375794
  10      -2.25      -2.00  5.391305230323396E-02  6.198757769095188E-05 78261889
  11      -2.00      -1.75  5.233021118418499E-02  5.482146868539674E-05 80321580
  12      -1.75      -1.50  4.809229884139672E-02  5.017154977241592E-05 80544148
  13      -1.50      -1.25  4.223538528506557E-02  4.328649535144043E-05 79027184
  14      -1.25      -1.00  3.538495850541368E-02  3.671404044402690E-05 76098038
  15      -1.00      -0.75  2.852998743464753E-02  2.977347610198806E-05 72435340
  16      -0.75      -0.50  2.262403908565190E-02  2.423906034480044E-05 68735014
  17      -0.50      -0.25  1.820169633454377E-02  1.994313915456612E-05 65700920
  18      -0.25       0.00  1.586941518329276E-02  1.816719413952580E-05 63881002
  19       0.00       0.25  1.593359723266123E-02  2.083416667671877E-05 63470656
  20       0.25       0.50  1.818050996351912E-02  2.247736022764608E-05 64635340
  21       0.50       0.75  2.255909779812968E-02  2.783549298445326E-05 67254197
  22       0.75       1.00  2.849888964817563E-02  3.412823721864085E-05 70961601
  23       1.00       1.25  3.527450841132760E-02  3.713642099206582E-05 75090470
  24       1.25       1.50  4.213635750109120E-02  4.244051573654343E-05 78834019
  25       1.50       1.75  4.819700520175319E-02  4.974300212943717E-05 81413069
  26       1.75       2.00  5.227089027680514E-02  5.302395457490351E-05 82230228
  27       2.00       2.25  5.395707115927832E-02  5.871561515594065E-05 80986995
  28       2.25       2.50  5.245498120937205E-02  5.551060973956353E-05 77399299
  29       2.50       2.75  4.827315427127165E-02  5.885730844430182E-05 71546430
  30       2.75       3.00  4.118511438339186E-02  5.053427473651936E-05 63713996
  31       3.00       3.25  3.268382105272503E-02  4.573338479999236E-05 54384047
  32       3.25       3.50  2.379062653101648E-02  4.221225156530188E-05 44350476
  33       3.50       3.75  1.590642233248045E-02  3.250010632967392E-05 34361122
  34       3.75       4.00  9.585997036716630E-03  2.561287593402501E-05 25152491
  35       4.00       4.25  5.242370844952890E-03  1.704653446855778E-05 17237442
  36       4.25       4.50  2.532513081469207E-03  1.071929768769811E-05 10956095
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.5638383107649840E-06  3.3470054120111846E-09 18479000
#=====================================================================================
