# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  2.592378377188076E-02  5.036415054239779E-05 60993001
   2      -2.25      -2.00  3.285339621187227E-02  5.333285428106097E-05 71879652
   3      -2.00      -1.75  4.006065810355503E-02  5.588230869277587E-05 83146911
   4      -1.75      -1.50  4.736440513715956E-02  5.994780661310154E-05 94297518
   5      -1.50      -1.25  5.444163437790722E-02  6.133357480299862E-05 104859181
   6      -1.25      -1.00  6.088928867201703E-02  5.965292072980684E-05 114413664
   7      -1.00      -0.75  6.655916444000090E-02  5.960205159943874E-05 122623679
   8      -0.75      -0.50  7.094535040300504E-02  5.773623086914874E-05 129221902
   9      -0.50      -0.25  7.402900087768777E-02  5.496084094849124E-05 134023283
  10      -0.25       0.00  7.559016447405922E-02  5.721448294401087E-05 136884790
  11       0.00       0.25  7.561277844178774E-02  5.425911358759481E-05 137722013
  12       0.25       0.50  7.408281517221317E-02  5.621759113823992E-05 136441739
  13       0.50       0.75  7.094730114501956E-02  5.482690161060910E-05 133023911
  14       0.75       1.00  6.649839507545913E-02  5.855588753953947E-05 127477590
  15       1.00       1.25  6.108266119820857E-02  5.765638294693110E-05 119867830
  16       1.25       1.50  5.454976537416348E-02  5.712764616441123E-05 110299641
  17       1.50       1.75  4.746324023578812E-02  5.691877799312744E-05 99191510
  18       1.75       2.00  4.003374033319611E-02  5.199332431225214E-05 86957869
  19       2.00       2.25  3.281993862189503E-02  5.305677216632524E-05 74231584
  20       2.25       2.50  2.590416462839018E-02  4.529463731279603E-05 61874732
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.5638383107650001E-06  3.3469940944957730E-09 18479000
#=====================================================================================
