# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 517624991
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  2.454369208611101E-09  2.097750813513147E-10 3399
   2      -8.75      -8.50  1.388002983198241E-08  6.628858726289245E-10 12979
   3      -8.50      -8.25  4.508048823846837E-08  1.601283177940986E-09 27796
   4      -8.25      -8.00  1.033731892614554E-07  2.509475560789523E-09 49044
   5      -8.00      -7.75  2.377572912062021E-07  5.150033237777814E-09 77581
   6      -7.75      -7.50  4.748910113498757E-07  7.892869924091867E-09 116488
   7      -7.50      -7.25  8.576643966006235E-07  1.149517498676451E-08 164966
   8      -7.25      -7.00  1.514587126191936E-06  2.963446846697854E-08 226168
   9      -7.00      -6.75  2.515364496590733E-06  2.289972513153470E-08 301721
  10      -6.75      -6.50  3.928827527418309E-06  3.075714711553914E-08 389291
  11      -6.50      -6.25  5.990996771438163E-06  4.239758642555410E-08 492689
  12      -6.25      -6.00  8.721034819199105E-06  5.044790170249611E-08 611290
  13      -6.00      -5.75  1.233704242438853E-05  6.979398941908249E-08 741504
  14      -5.75      -5.50  1.688844916341518E-05  7.428075240803909E-08 888352
  15      -5.50      -5.25  2.242256242649275E-05  8.920978104946354E-08 1042089
  16      -5.25      -5.00  2.927038950343165E-05  1.117648828104926E-07 1201055
  17      -5.00      -4.75  3.614787099004597E-05  1.390266885398138E-07 1353178
  18      -4.75      -4.50  4.319179661350104E-05  1.311646037165774E-07 1491118
  19      -4.50      -4.25  4.962159692785731E-05  1.429451604005408E-07 1604776
  20      -4.25      -4.00  5.497393979942953E-05  1.479746388537557E-07 1689202
  21      -4.00      -3.75  5.888853835495742E-05  1.625261219821618E-07 1733340
  22      -3.75      -3.50  6.033388628673478E-05  1.545062327734325E-07 1734146
  23      -3.50      -3.25  5.922819620445632E-05  1.547378343065320E-07 1691005
  24      -3.25      -3.00  5.648148914669628E-05  1.491234710044477E-07 1608258
  25      -3.00      -2.75  5.165937052500188E-05  1.391226541118846E-07 1490788
  26      -2.75      -2.50  4.573179412179943E-05  1.292659663650520E-07 1353457
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0
  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0
  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0
  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0
  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0
  42       1.25       1.50  0.000000000000000E+00  0.000000000000000E+00 0
  43       1.50       1.75  0.000000000000000E+00  0.000000000000000E+00 0
  44       1.75       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  45       2.00       2.25  0.000000000000000E+00  0.000000000000000E+00 0
  46       2.25       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  47       2.50       2.75  4.542394726309416E-05  1.435557499729141E-07 1297047
  48       2.75       3.00  5.159675649143494E-05  1.585271279474142E-07 1410017
  49       3.00       3.25  5.699488387987275E-05  1.686573782593223E-07 1504008
  50       3.25       3.50  5.902626912057176E-05  1.753535176465799E-07 1561027
  51       3.50       3.75  5.975904104180673E-05  1.825108004620922E-07 1585610
  52       3.75       4.00  5.770524700117621E-05  1.724836755531397E-07 1578938
  53       4.00       4.25  5.331806444530399E-05  1.687847314541289E-07 1529621
  54       4.25       4.50  4.727941783293717E-05  1.668582156004007E-07 1450397
  55       4.50       4.75  4.021027451168719E-05  1.344500276286995E-07 1349414
  56       4.75       5.00  3.337050897016859E-05  1.267794318860082E-07 1223552
  57       5.00       5.25  2.637243269740066E-05  1.038242799894896E-07 1089589
  58       5.25       5.50  2.019929454433268E-05  8.906265001635739E-08 950457
  59       5.50       5.75  1.503604630181567E-05  7.514144276205680E-08 812276
  60       5.75       6.00  1.070584927928781E-05  5.967284310727894E-08 683705
  61       6.00       6.25  7.511110037855030E-06  4.711623378424713E-08 565454
  62       6.25       6.50  4.991335542557134E-06  3.549659799872604E-08 459986
  63       6.50       6.75  3.212370164984080E-06  2.703127472706974E-08 367934
  64       6.75       7.00  2.008953134157368E-06  1.995751339502527E-08 287604
