# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  1.814317738002909E-04  4.697327873104656E-06 442926
   2      -4.75      -4.50  6.813577864652282E-04  7.069527655187573E-06 1652545
   3      -4.50      -4.25  1.508837412810011E-03  1.111026258399810E-05 3457864
   4      -4.25      -4.00  2.787017475840336E-03  1.614025133852128E-05 5951310
   5      -4.00      -3.75  4.544417248242799E-03  2.280105817229511E-05 9222300
   6      -3.75      -3.50  6.844520613656846E-03  2.542766550404758E-05 13267530
   7      -3.50      -3.25  9.808514888771151E-03  2.918108234395204E-05 18136385
   8      -3.25      -3.00  1.340623254509077E-02  3.377794869154401E-05 23789446
   9      -3.00      -2.75  1.768674490262078E-02  3.985443866944352E-05 30194073
  10      -2.75      -2.50  2.251401527719470E-02  4.752394137087472E-05 37349433
  11      -2.50      -2.25  2.767882216479991E-02  4.961316956974126E-05 45265910
  12      -2.25      -2.00  3.301743729355975E-02  4.811853342902473E-05 53969369
  13      -2.00      -1.75  3.841478007744577E-02  5.240255495733423E-05 63571305
  14      -1.75      -1.50  4.350646079973379E-02  5.163391161202092E-05 74202796
  15      -1.50      -1.25  4.804316290951507E-02  4.930588579051395E-05 85931648
  16      -1.25      -1.00  5.164413825790633E-02  5.144399768282326E-05 98770448
  17      -1.00      -0.75  5.455237512676517E-02  4.657702030018133E-05 112588186
  18      -0.75      -0.50  5.640928256424931E-02  4.550875961961418E-05 127156386
  19      -0.50      -0.25  5.744587199923025E-02  4.214650660307963E-05 142259408
  20      -0.25       0.00  5.805414571613224E-02  4.068521679631176E-05 157262302
  21       0.00       0.25  5.797930334102689E-02  3.993656270591162E-05 155885635
  22       0.25       0.50  5.745130585982719E-02  4.067674607345739E-05 138332497
  23       0.50       0.75  5.634663165928799E-02  4.307930402826276E-05 121182784
  24       0.75       1.00  5.447524078575586E-02  4.770689833834466E-05 105154360
  25       1.00       1.25  5.171480989737686E-02  5.000723326108879E-05 90526186
  26       1.25       1.50  4.807501471890013E-02  5.304386010406257E-05 77495212
  27       1.50       1.75  4.357554651451274E-02  5.251211449036727E-05 66135936
  28       1.75       2.00  3.841227904309881E-02  5.544410707032303E-05 56323556
  29       2.00       2.25  3.313484070383295E-02  5.263578598540523E-05 47805960
  30       2.25       2.50  2.770076336531169E-02  5.065615274700498E-05 40354021
  31       2.50       2.75  2.249369358355315E-02  4.583610730335397E-05 33709227
  32       2.75       3.00  1.766306127877726E-02  4.167129455485208E-05 27706660
  33       3.00       3.25  1.351751283731650E-02  4.290232220004133E-05 22299919
  34       3.25       3.50  9.836474809076115E-03  3.150368050952929E-05 17422784
  35       3.50       3.75  6.875850393266677E-03  2.593006257822124E-05 13094296
  36       3.75       4.00  4.506152069497164E-03  2.123046411796273E-05 9350487
  37       4.00       4.25  2.785559195764574E-03  1.646881858724121E-05 6215918
  38       4.25       4.50  1.506263502238614E-03  1.154580578967107E-05 3701499
  39       4.50       4.75  6.956198603804720E-04  8.056119819482073E-06 1804290
  40       4.75       5.00  1.761564426383241E-04  3.403772021241571E-06 489203
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.5638383107649552E-06  3.3469989801498398E-09 18479000
#=====================================================================================
