# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-07
# ymax=  5.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 517624991
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  4.045781424526558E-06  4.610158393588399E-09 9685196
   3      40.00      60.00  3.731850379757639E-06  4.412071725303068E-09 9061717
   4      60.00      80.00  2.609920322791406E-06  3.919517840093358E-09 5577665
   5      80.00     100.00  1.654440612063224E-06  3.148609506418954E-09 3692464
   6     100.00     120.00  1.002323805257681E-06  2.618802564876261E-09 2541523
   7     120.00     140.00  6.354000837190531E-07  2.005701863887534E-09 1868637
   8     140.00     160.00  4.308700297816873E-07  1.559171528341322E-09 1450648
   9     160.00     180.00  2.981128692937260E-07  1.268972955538753E-09 1154380
  10     180.00     200.00  2.128246444522795E-07  1.040925915738862E-09 940777
  11     200.00     220.00  1.530347747528042E-07  8.510356678756273E-10 777369
  12     220.00     240.00  1.132690346219210E-07  7.134563952651359E-10 652310
  13     240.00     260.00  8.303457126592398E-08  6.096117139153709E-10 550147
  14     260.00     280.00  6.172662415189231E-08  4.731184352790435E-10 471696
  15     280.00     300.00  4.557987683757945E-08  3.966648445604755E-10 405350
  16     300.00     320.00  3.548334769482620E-08  3.497292871010278E-10 353231
  17     320.00     340.00  2.688157363637696E-08  2.957564061491187E-10 307892
  18     340.00     360.00  2.056825949036846E-08  2.559485648186208E-10 271571
  19     360.00     380.00  1.556166223612818E-08  1.948107319172432E-10 238446
  20     380.00     400.00  1.208720330452770E-08  1.561933382434900E-10 212184
  21     400.00     420.00  9.360339491776236E-09  1.398675026987675E-10 188777
  22     420.00     440.00  7.340325087268735E-09  1.218820417784062E-10 169026
  23     440.00     460.00  5.700404263486265E-09  9.393271964440711E-11 152091
  24     460.00     480.00  4.478426596793972E-09  7.662787659818100E-11 137189
  25     480.00     500.00  3.773035297796912E-09  7.354263682619740E-11 123011
  26     500.00     520.00  2.931412373248239E-09  6.494165469325609E-11 111644
  27     520.00     540.00  2.319665499828027E-09  4.801174741398555E-11 100836
  28     540.00     560.00  1.789205754192917E-09  3.739624122640831E-11 92105
  29     560.00     580.00  1.563424997292146E-09  4.413520813931165E-11 83996
  30     580.00     600.00  1.194510251490823E-09  2.771982046059546E-11 76470
  31     600.00     620.00  1.018889536557195E-09  2.651961849348947E-11 70413
  32     620.00     640.00  7.733416097663431E-10  1.966514709568852E-11 64375
  33     640.00     660.00  7.033750745694379E-10  2.116100468388501E-11 59714
  34     660.00     680.00  5.371790839092145E-10  1.632409294680683E-11 54081
  35     680.00     700.00  4.669439301797556E-10  1.437824530277581E-11 50148
  36     700.00     720.00  3.753969770048790E-10  1.106178125838128E-11 46643
  37     720.00     740.00  3.128801876343502E-10  1.062886551001059E-11 42640
  38     740.00     760.00  2.539064255973593E-10  8.946694337703054E-12 39304
  39     760.00     780.00  2.250131005330384E-10  7.503356565800288E-12 36677
  40     780.00     800.00  1.836216419242194E-10  6.244743245946816E-12 34203
  41     800.00     820.00  1.547346378557686E-10  6.146868054468678E-12 31703
  42     820.00     840.00  1.300496208427495E-10  4.613620796524694E-12 29948
  43     840.00     860.00  1.041360969129471E-10  4.243380185412870E-12 27220
  44     860.00     880.00  9.070995983900916E-11  3.694895846682532E-12 25580
  45     880.00     900.00  7.079188286536045E-11  2.534020112366457E-12 23902
  46     900.00     920.00  6.925295154350221E-11  2.879766215783801E-12 22197
  47     920.00     940.00  5.789913205551429E-11  2.336987318434422E-12 20851
  48     940.00     960.00  5.179351284573853E-11  4.538631251969991E-12 19547
  49     960.00     980.00  4.579786376724488E-11  2.782810144371643E-12 18386
  50     980.00    1000.00  3.585372024623691E-11  1.519064503019900E-12 17347
  51    1000.00    1020.00  3.058938920554023E-11  1.667237650944893E-12 16027
  52    1020.00    1040.00  2.917424284122361E-11  1.946953361955025E-12 14743
  53    1040.00    1060.00  2.311353343169250E-11  1.017449620484809E-12 13914
  54    1060.00    1080.00  2.123967954197403E-11  1.365847501643759E-12 13353
  55    1080.00    1100.00  1.732317733723206E-11  1.001344321090882E-12 12354
  56    1100.00    1120.00  1.518181067632613E-11  8.149972366346519E-13 11830
  57    1120.00    1140.00  1.473832359616627E-11  8.679112764137941E-13 11007
  58    1140.00    1160.00  1.094933348201898E-11  7.129059936051408E-13 10407
  59    1160.00    1180.00  1.060145467949789E-11  7.253229469444410E-13 9828
  60    1180.00    1200.00  9.000132310181298E-12  5.387165535632125E-13 9289
  61    1200.00    1220.00  7.607053283518599E-12  4.535034964269749E-13 8723
  62    1220.00    1240.00  6.739293986565616E-12  4.775490579942780E-13 8276
  63    1240.00    1260.00  5.857049920643969E-12  3.988126376260871E-13 7962
  64    1260.00    1280.00  5.758826206341834E-12  4.663803653369824E-13 7249
  65    1280.00    1300.00  4.488488989101141E-12  2.935138223954602E-13 6962
  66    1300.00    1320.00  4.189775896678882E-12  5.180597131024035E-13 6612
  67    1320.00    1340.00  3.702115836630702E-12  3.232715536201065E-13 6231
  68    1340.00    1360.00  3.395782131716479E-12  2.428141524541147E-13 6004
  69    1360.00    1380.00  2.789990444387299E-12  1.738934848466539E-13 5554
  70    1380.00    1400.00  2.442359539761653E-12  1.776535919633797E-13 5282
  71    1400.00    1420.00  2.067586103391135E-12  1.554375995229798E-13 4959
  72    1420.00    1440.00  1.837286637329566E-12  1.379864033220386E-13 4722
  73    1440.00    1460.00  1.786732594181959E-12  1.852719075831241E-13 4469
  74    1460.00    1480.00  1.745658582695063E-12  2.022283018539404E-13 4269
  75    1480.00    1500.00  1.518630365291499E-12  1.237671357415013E-13 4094
  76    1500.00    1520.00  1.700072103817068E-12  2.443848828769119E-13 3805
  77    1520.00    1540.00  1.142887150720537E-12  1.014849660333593E-13 3657
  78    1540.00    1560.00  9.901989070951596E-13  1.164661666189516E-13 3534
  79    1560.00    1580.00  9.458772302423925E-13  1.030377007117681E-13 3423
  80    1580.00    1600.00  8.777503695269783E-13  1.046228808012792E-13 3128
  81    1600.00    1620.00  8.723046120539019E-13  8.613531609920514E-14 3075
  82    1620.00    1640.00  8.066174415986092E-13  1.275909575864206E-13 2847
  83    1640.00    1660.00  5.702264624377930E-13  6.250230354721959E-14 2648
  84    1660.00    1680.00  6.995832555393370E-13  1.032981743628872E-13 2585
  85    1680.00    1700.00  4.313406545093468E-13  4.641810794320509E-14 2486
  86    1700.00    1720.00  4.517465303806514E-13  5.041474884774759E-14 2304
  87    1720.00    1740.00  4.794082920318844E-13  9.612036813679823E-14 2143
  88    1740.00    1760.00  3.458992947754089E-13  3.614769368507512E-14 2163
  89    1760.00    1780.00  3.134830037909369E-13  4.477501049161622E-14 2008
  90    1780.00    1800.00  2.617244756897024E-13  2.606978685578463E-14 1920
  91    1800.00    1820.00  2.170096996227074E-13  2.479706189534835E-14 1765
  92    1820.00    1840.00  2.131554221587780E-13  4.302538064156293E-14 1666
  93    1840.00    1860.00  1.840677272187344E-13  2.092093620612413E-14 1716
  94    1860.00    1880.00  2.049993931972839E-13  3.079254802939194E-14 1543
  95    1880.00    1900.00  1.887275398622528E-13  2.727310076033984E-14 1423
  96    1900.00    1920.00  1.546815482415058E-13  1.884790711238084E-14 1435
  97    1920.00    1940.00  1.126323722450177E-13  1.306478920204921E-14 1326
  98    1940.00    1960.00  1.367515785133292E-13  2.122792808791058E-14 1288
  99    1960.00    1980.00  1.229979026258186E-13  1.945721362817183E-14 1212
 100    1980.00    2000.00  8.977083292006098E-14  1.187024395325779E-14 1187
 101    2000.00    2020.00  9.516524444910447E-14  1.288737973770088E-14 1114
 102    2020.00    2040.00  6.328538031227371E-14  7.199492884074028E-15 1053
 103    2040.00    2060.00  7.690424365068199E-14  1.030793855942234E-14 1002
 104    2060.00    2080.00  6.912239099054246E-14  1.094212301074494E-14 960
 105    2080.00    2100.00  5.055310785765662E-14  6.720782377845429E-15 933
 106    2100.00    2120.00  4.817921431984071E-14  4.949136028326957E-15 959
 107    2120.00    2140.00  6.228314381826993E-14  1.377317729973193E-14 858
 108    2140.00    2160.00  4.848340401384760E-14  7.175315174993690E-15 806
 109    2160.00    2180.00  4.793290693998720E-14  8.758214154343161E-15 737
 110    2180.00    2200.00  3.374549884831816E-14  5.393462962161174E-15 746
 111    2200.00    2220.00  3.325732665553569E-14  7.471668002828050E-15 714
 112    2220.00    2240.00  3.640642961161842E-14  4.871743498472187E-15 643
 113    2240.00    2260.00  4.157421901556673E-14  9.861511777477342E-15 623
 114    2260.00    2280.00  3.166355226690408E-14  6.578707617454669E-15 590
 115    2280.00    2300.00  4.404902916411661E-14  1.251798440544480E-14 590
 116    2300.00    2320.00  1.784020472667442E-14  2.250234777863095E-15 558
 117    2320.00    2340.00  2.215603649587983E-14  3.222655829499352E-15 528
 118    2340.00    2360.00  2.692634329054421E-14  5.577527797903445E-15 555
 119    2360.00    2380.00  1.973934543415722E-14  5.393667797177745E-15 477
 120    2380.00    2400.00  1.552887272253755E-14  2.215177365261761E-15 509
 121    2400.00    2420.00  1.391443803045847E-14  2.193043881199624E-15 489
 122    2420.00    2440.00  1.616690234474812E-14  2.741216912619082E-15 452
 123    2440.00    2460.00  2.205004305941634E-14  6.141446234659660E-15 395
 124    2460.00    2480.00  1.892504316631119E-14  4.249100648210696E-15 420
 125    2480.00    2500.00  1.034455541617650E-14  1.875213351317704E-15 356
