# title = Transverse Momentum anti--Muon-Muon
# xlabel = $p_{\text{T},\mu^+\mu^-}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  4.920158914825972E-04  5.165697995956740E-07 96502498
   2      20.00      40.00  1.258708514607807E-03  9.041393133225822E-07 159108494
   3      40.00      60.00  1.591961869463127E-03  1.022970842918089E-06 170304979
   4      60.00      80.00  1.572660423339944E-03  1.090815959389700E-06 162197353
   5      80.00     100.00  1.349774938201430E-03  1.036650067902530E-06 143300447
   6     100.00     120.00  1.149308250216398E-03  9.567867477740551E-07 127297154
   7     120.00     140.00  9.823172626002355E-04  8.920608046698257E-07 113938656
   8     140.00     160.00  8.376825423439120E-04  8.498416166703737E-07 101570282
   9     160.00     180.00  7.069994205171182E-04  7.436742722458330E-07 90323625
  10     180.00     200.00  5.965285065632088E-04  7.034885813721083E-07 80286362
  11     200.00     220.00  5.001105575651654E-04  6.054222679708791E-07 71410152
  12     220.00     240.00  4.196127082068370E-04  5.361136524057585E-07 63694120
  13     240.00     260.00  3.510403493665961E-04  4.788265133769759E-07 56980022
  14     260.00     280.00  2.947349982634558E-04  4.473921722646503E-07 51142624
  15     280.00     300.00  2.465676632964394E-04  3.938530999885832E-07 46058240
  16     300.00     320.00  2.069615934263956E-04  3.459705898233684E-07 41630475
  17     320.00     340.00  1.736533542702665E-04  3.147354343023870E-07 37738587
  18     340.00     360.00  1.462122583893319E-04  2.828376296810227E-07 34336964
  19     360.00     380.00  1.230796212636631E-04  2.550127157584465E-07 31335509
  20     380.00     400.00  1.036775596108885E-04  2.315099332813471E-07 28677568
  21     400.00     420.00  8.769852802089209E-05  2.074469710777343E-07 26306172
  22     420.00     440.00  7.423682643129879E-05  1.839482932529402E-07 24200503
  23     440.00     460.00  6.303600343748409E-05  1.719060953179132E-07 22302753
  24     460.00     480.00  5.382929428071096E-05  1.508937211196251E-07 20596425
  25     480.00     500.00  4.576929176151686E-05  1.375680859375047E-07 19074357
  26     500.00     520.00  3.918542339241196E-05  1.230223658526432E-07 17691370
  27     520.00     540.00  3.329854850642173E-05  1.091588800375657E-07 16436116
  28     540.00     560.00  2.864650284174228E-05  1.022434439329640E-07 15291722
  29     560.00     580.00  2.464174073969906E-05  9.792104883646253E-08 14251650
  30     580.00     600.00  2.124372306919558E-05  8.353710028561572E-08 13302640
  31     600.00     620.00  1.836472841345257E-05  7.779627406362674E-08 12440724
  32     620.00     640.00  1.591552715544350E-05  6.969318770810982E-08 11635777
  33     640.00     660.00  1.376229483875707E-05  6.433972763888268E-08 10905644
