# title = W boson Transverse Momentum
# xlabel = $p_{\text{T},\text{W}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{W}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  5.481067296400169E-04  6.844910026559462E-07 100553798
   2      20.00      40.00  1.373606104304124E-03  9.712468605954642E-07 173912661
   3      40.00      60.00  1.672403917175574E-03  1.131928755719931E-06 187934405
   4      60.00      80.00  1.582922973843289E-03  1.088511925472055E-06 176604919
   5      80.00     100.00  1.396663271466880E-03  9.731498572907682E-07 160246811
   6     100.00     120.00  1.195913202964892E-03  9.852925018648654E-07 142235331
   7     120.00     140.00  1.002746085176125E-03  8.871294298495753E-07 124427981
   8     140.00     160.00  8.305601131419204E-04  7.603258543675240E-07 108060879
   9     160.00     180.00  6.856511386247501E-04  7.251275153096994E-07 93708241
  10     180.00     200.00  5.660240009131062E-04  6.371305691289494E-07 81373999
  11     200.00     220.00  4.663657762349986E-04  5.582266259138415E-07 70900342
  12     220.00     240.00  3.852537780236238E-04  4.999353844236838E-07 62050437
  13     240.00     260.00  3.190419444225186E-04  4.426301088164543E-07 54566122
  14     260.00     280.00  2.647728723859856E-04  4.089990422446815E-07 48235329
  15     280.00     300.00  2.199361688691779E-04  3.727221159925400E-07 42843730
  16     300.00     320.00  1.836111376567975E-04  3.254476844916225E-07 38229438
  17     320.00     340.00  1.533051101956608E-04  2.987676389947282E-07 34264771
  18     340.00     360.00  1.283142694487858E-04  2.637798349349909E-07 30853926
  19     360.00     380.00  1.082721009892433E-04  2.413014279759207E-07 27877173
  20     380.00     400.00  9.118316692210960E-05  2.190412940614972E-07 25285413
  21     400.00     420.00  7.733846751167923E-05  2.008665852999273E-07 23008619
  22     420.00     440.00  6.541254238228178E-05  1.867324940317944E-07 21013196
  23     440.00     460.00  5.552829349093888E-05  1.689818124226171E-07 19242377
  24     460.00     480.00  4.720805235016318E-05  1.589379471694565E-07 17662669
  25     480.00     500.00  4.016309495003616E-05  1.338191526576453E-07 16254548
  26     500.00     520.00  3.450205559281645E-05  1.234780483084808E-07 14987279
