# title = Transverse Momentum of W-Z system
# xlabel = $p_{\text{T},\text{WZ}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{WZ}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1694941002
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  4.830761270392776E-04  7.375596154025905E-07 64958519
   2      30.00      50.00  8.505291978924261E-04  9.039745465357168E-07 89538564
   3      50.00      70.00  1.077580400040367E-03  9.890673837539283E-07 101443756
   4      70.00      90.00  1.181285176368993E-03  1.005177677201681E-06 108402135
   5      90.00     110.00  1.185811382732791E-03  1.042216803929480E-06 110203968
   6     110.00     130.00  1.119072474264720E-03  9.230909733296028E-07 107979310
   7     130.00     150.00  1.024792974352131E-03  8.885764298455595E-07 103234238
   8     150.00     170.00  9.145163048152231E-04  8.086837363909520E-07 97118547
   9     170.00     190.00  8.029552435096209E-04  7.084178623231462E-07 90367800
  10     190.00     210.00  6.989300301406336E-04  6.561973178013394E-07 83577499
  11     210.00     230.00  6.046993965659388E-04  6.089530668300695E-07 77006897
  12     230.00     250.00  5.204331103096616E-04  5.457643905596312E-07 70841176
  13     250.00     270.00  4.462776336345967E-04  4.848254604262030E-07 65176309
  14     270.00     290.00  3.830288365452582E-04  4.456783268184071E-07 59970484
  15     290.00     310.00  3.270938952980469E-04  4.117084582604809E-07 55192721
  16     310.00     330.00  2.796661014268439E-04  3.598187993010796E-07 50801052
  17     330.00     350.00  2.388681084824783E-04  3.261348832476236E-07 46782333
  18     350.00     370.00  2.046844334837860E-04  2.964769619224884E-07 43120431
  19     370.00     390.00  1.755283978681416E-04  2.674649620406261E-07 39830693
  20     390.00     410.00  1.501778733819152E-04  2.423886907214778E-07 36847162
  21     410.00     430.00  1.287449941709873E-04  2.286688981865903E-07 34156372
  22     430.00     450.00  1.109249936167654E-04  2.017223078243804E-07 31712750
  23     450.00     470.00  9.549738254740735E-05  1.907900152336704E-07 29505718
  24     470.00     490.00  8.207584161112564E-05  1.707748301451806E-07 27493188
  25     490.00     510.00  7.153292528151695E-05  1.593707166773056E-07 25646352
  26     510.00     530.00  6.151321603356719E-05  1.428789596831557E-07 23968571
  27     530.00     550.00  5.348570702073699E-05  1.340078770802855E-07 22434340
  28     550.00     570.00  4.634688749495464E-05  1.223705814914935E-07 21018388
  29     570.00     590.00  4.012888228081306E-05  1.145631167012949E-07 19723558
  30     590.00     610.00  3.499892247771290E-05  1.014280120649600E-07 18527462
  31     610.00     630.00  3.057049130497748E-05  9.235405352949767E-08 17424985
  32     630.00     650.00  2.696747565906115E-05  9.000328686574178E-08 16402249
  33     650.00     670.00  2.340250526521258E-05  7.834567280684659E-08 15463953
  34     670.00     690.00  2.047776569028274E-05  7.299417713904709E-08 14593932
  35     690.00     710.00  1.821910168318073E-05  7.075548753528366E-08 13778775
  36     710.00     730.00  1.589510198822780E-05  6.401239572667090E-08 13015442
  37     730.00     750.00  1.406175406558543E-05  6.088247549423976E-08 12321288
  38     750.00     770.00  1.248228534607247E-05  5.928362845220840E-08 11659245
