# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1658404060
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  2.470384515212016E+00  1.009239650536180E-03 788438122	   1      -1.00      -0.90  1.840258698376085E+00  7.425583747250852E-04 788438122	   1      -1.00      -0.90  3.419957830520680E+00  1.418522965711076E-03 788438122
   2      -0.90      -0.80  1.084107821462793E+00  5.596661421427751E-04 351611196	   2      -0.90      -0.80  8.178975625444301E-01  4.185090394411388E-04 351611196	   2      -0.90      -0.80  1.477602263316230E+00  7.709057516085117E-04 351611196
   3      -0.80      -0.70  6.482472409341716E-01  3.974537226899854E-04 235448582	   3      -0.80      -0.70  4.905532960384446E-01  2.979294349771849E-04 235448582	   3      -0.80      -0.70  8.803159461630178E-01  5.461097577387110E-04 235448582
   4      -0.70      -0.60  4.380421515429830E-01  3.069470223543818E-04 174966316	   4      -0.70      -0.60  3.319037474809714E-01  2.307815009915160E-04 174966316	   4      -0.70      -0.60  5.939557512882184E-01  4.200572371232641E-04 174966316
   5      -0.60      -0.50  3.157930133888522E-01  2.453791986080702E-04 136503946	   5      -0.60      -0.50  2.394330342199171E-01  1.847809061452313E-04 136503946	   5      -0.60      -0.50  4.278671570392453E-01  3.351867906574567E-04 136503946
   6      -0.50      -0.40  2.351680159304982E-01  2.028835903589306E-04 107710259	   6      -0.50      -0.40  1.783602432680167E-01  1.529117267696121E-04 107710259	   6      -0.50      -0.40  3.185238595968496E-01  2.768858643109447E-04 107710259
   7      -0.40      -0.30  1.809028252813871E-01  1.726386184292169E-04 86427844	   7      -0.40      -0.30  1.372297736895063E-01  1.301319837213728E-04 86427844	   7      -0.40      -0.30  2.449815610090624E-01  2.356029208751825E-04 86427844
   8      -0.30      -0.20  1.458400452387532E-01  1.503867507233293E-04 73060124	   8      -0.30      -0.20  1.106541722360679E-01  1.135044724036603E-04 73060124	   8      -0.30      -0.20  1.974549186125877E-01  2.049001987753366E-04 73060124
   9      -0.20      -0.10  1.203920571071700E-01  1.308817662450535E-04 63541217	   9      -0.20      -0.10  9.136407928783045E-02  9.888346889509236E-05 63541217	   9      -0.20      -0.10  1.629647919060718E-01  1.781219641328097E-04 63541217
  10      -0.10       0.00  1.012508235858815E-01  1.167207928037209E-04 56353958	  10      -0.10       0.00  7.684086069508989E-02  8.818949467293578E-05 56353958	  10      -0.10       0.00  1.370493066049366E-01  1.588330379605050E-04 56353958
  11       0.00       0.10  8.638834075786134E-02  1.054731328494075E-04 50701596	  11       0.00       0.10  6.556280745651272E-02  7.974979624951070E-05 50701596	  11       0.00       0.10  1.169266231877937E-01  1.434002180814068E-04 50701596
  12       0.10       0.20  7.385412826569766E-02  9.456126294031888E-05 46155287	  12       0.10       0.20  5.604811950690647E-02  7.152148996956329E-05 46155287	  12       0.10       0.20  9.996452113981806E-02  1.285172830310822E-04 46155287
  13       0.20       0.30  6.309895550954488E-02  8.348764969408764E-05 42391420	  13       0.20       0.30  4.787897796011131E-02  6.318880547021882E-05 42391420	  13       0.20       0.30  8.541948543897009E-02  1.133651548953190E-04 42391420
  14       0.30       0.40  5.406075266880629E-02  7.503446201844558E-05 39222828	  14       0.30       0.40  4.100701527997450E-02  5.679717458961691E-05 39222828	  14       0.30       0.40  7.320980708436624E-02  1.018650090648687E-04 39222828
  15       0.40       0.50  4.555438702091207E-02  6.628555616493220E-05 36426111	  15       0.40       0.50  3.454674214919781E-02  5.021509175353246E-05 36426111	  15       0.40       0.50  6.170337637494371E-02  8.989143777648981E-05 36426111
  16       0.50       0.60  3.743961652223173E-02  5.692647494432208E-05 33856117	  16       0.50       0.60  2.837611366442179E-02  4.312682916355964E-05 33856117	  16       0.50       0.60  5.074098560176166E-02  7.717309592790822E-05 33856117
  17       0.60       0.70  2.918196564784227E-02  4.677953497856830E-05 31203427	  17       0.60       0.70  2.209581820962844E-02  3.541418227112115E-05 31203427	  17       0.60       0.70  3.958936708274185E-02  6.345740198082716E-05 31203427
  18       0.70       0.80  2.019053112064950E-02  3.481933863970441E-05 27914395	  18       0.70       0.80  1.526357926586309E-02  2.631660925499623E-05 27914395	  18       0.70       0.80  2.743415056222937E-02  4.730650771392364E-05 27914395
