# title = Invariant Mass Electron--anti-Muon System
# xlabel = $M_{\text{e}^-\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^-\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1658404060
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  1.147876515925042E-03  8.128710479635618E-07 212370390	   1       0.00      40.00  8.670916957836830E-04  6.056067695774308E-07 212370390	   1       0.00      40.00  1.562678138383082E-03  1.125372718508190E-06 212370390
   2      40.00      80.00  3.181252549196415E-03  1.438960144493488E-06 537070562	   2      40.00      80.00  2.400881597746836E-03  1.070377454506301E-06 537070562	   2      40.00      80.00  4.335831645661042E-03  1.996050080163587E-06 537070562
   3      80.00     120.00  3.536630040373287E-03  1.635887595152983E-06 458986688	   3      80.00     120.00  2.665786440574466E-03  1.216104812010519E-06 458986688	   3      80.00     120.00  4.827249263989868E-03  2.270864251981662E-06 458986688
   4     120.00     160.00  2.583799160964745E-03  1.470116771199826E-06 277545509	   4     120.00     160.00  1.944671494100799E-03  1.092726418520919E-06 277545509	   4     120.00     160.00  3.532717222917963E-03  2.040954854203175E-06 277545509
   5     160.00     200.00  1.671066879042170E-03  1.196687662820746E-06 179820225	   5     160.00     200.00  1.255451364574833E-03  8.877854487977972E-07 179820225	   5     160.00     200.00  2.289474007047051E-03  1.665412357894470E-06 179820225
   6     200.00     240.00  1.056419899711754E-03  9.329197399369225E-07 125716106	   6     200.00     240.00  7.922196711469142E-04  6.915631389314121E-07 125716106	   6     200.00     240.00  1.450394582773648E-03  1.299376510824330E-06 125716106
   7     240.00     280.00  6.795696103832239E-04  7.375517481841592E-07 93159829	   7     240.00     280.00  5.086197942150664E-04  5.452262967794005E-07 93159829	   7     240.00     280.00  9.351032736738029E-04  1.030770590065336E-06 93159829
   8     280.00     320.00  4.447622604001312E-04  5.666302743752572E-07 72015718	   8     280.00     320.00  3.322747190651286E-04  4.177826045122509E-07 72015718	   8     280.00     320.00  6.132794768947375E-04  7.945027806218989E-07 72015718
   9     320.00     360.00  2.999430116822156E-04  4.403993531187432E-07 57426397	   9     320.00     360.00  2.236728540159755E-04  3.238589039802965E-07 57426397	   9     320.00     360.00  4.144669903667971E-04  6.195523348364595E-07 57426397
  10     360.00     400.00  2.072894979642967E-04  3.489725798287826E-07 46900199	  10     360.00     400.00  1.543378341930675E-04  2.566421101143253E-07 46900199	  10     360.00     400.00  2.869506809323332E-04  4.908159743157166E-07 46900199
  11     400.00     440.00  1.463692116200106E-04  2.825439868116224E-07 39011239	  11     400.00     440.00  1.087914951632830E-04  2.073177606737423E-07 39011239	  11     400.00     440.00  2.030215088681732E-04  3.985906472783000E-07 39011239
  12     440.00     480.00  1.057693286263569E-04  2.416239085617434E-07 32908859	  12     440.00     480.00  7.849532090149455E-05  1.762380569157777E-07 32908859	  12     440.00     480.00  1.469660006224526E-04  3.434098380081673E-07 32908859
  13     480.00     520.00  7.720603046013540E-05  1.932608817714905E-07 28096229	  13     480.00     520.00  5.721296923069186E-05  1.413199094961382E-07 28096229	  13     480.00     520.00  1.074590234482256E-04  2.737952327156327E-07 28096229
  14     520.00     560.00  5.740559183186048E-05  1.633840980477770E-07 24225087	  14     520.00     560.00  4.247581504255726E-05  1.191206805475525E-07 24225087	  14     520.00     560.00  8.004012975048901E-05  2.324143695330816E-07 24225087
  15     560.00     600.00  4.364041273329299E-05  1.445616481208856E-07 21066025	  15     560.00     600.00  3.223626981717648E-05  1.049760375173419E-07 21066025	  15     560.00     600.00  6.096613381101338E-05  2.068489476343744E-07 21066025
  16     600.00     640.00  3.297365943495579E-05  1.149805654380240E-07 18460203	  16     600.00     640.00  2.432910138385243E-05  8.392873025480868E-08 18460203	  16     600.00     640.00  4.612406135910566E-05  1.632459211082213E-07 18460203
  17     640.00     680.00  2.548201807085726E-05  9.786266206415476E-08 16257811	  17     640.00     680.00  1.877582039123157E-05  7.110213983986047E-08 16257811	  17     640.00     680.00  3.570152374940334E-05  1.398019595982916E-07 16257811
  18     680.00     720.00  2.001343372900913E-05  8.300377037765862E-08 14407009	  18     680.00     720.00  1.472656677507175E-05  6.044445548152483E-08 14407009	  18     680.00     720.00  2.808289665736895E-05  1.183618143750070E-07 14407009
  19     720.00     760.00  1.571229185548634E-05  7.589451173288060E-08 12832949	  19     720.00     760.00  1.154477402624688E-05  5.494851239645932E-08 12832949	  19     720.00     760.00  2.208483988555512E-05  1.089566461412283E-07 12832949
  20     760.00     800.00  1.256693792017777E-05  6.779053952231749E-08 11477369	  20     760.00     800.00  9.220016847810517E-06  4.901994563160975E-08 11477369	  20     760.00     800.00  1.769431115738441E-05  9.754152707522599E-08 11477369
  21     800.00     840.00  1.006573713213792E-05  5.685036350420426E-08 10304024	  21     800.00     840.00  7.377589787916154E-06  4.154011245627039E-08 10304024	  21     800.00     840.00  1.418797092430854E-05  8.066485243113839E-08 10304024
  22     840.00     880.00  8.027492972738497E-06  4.863552979149514E-08 9285123	  22     840.00     880.00  5.875359723883485E-06  3.523223229190911E-08 9285123	  22     840.00     880.00  1.133392345764047E-05  6.996670348339290E-08 9285123
  23     880.00     920.00  6.528599912042308E-06  4.634954813770125E-08 8386884	  23     880.00     920.00  4.768360828338522E-06  3.322995344866903E-08 8386884	  23     880.00     920.00  9.239861978051027E-06  6.730587619515357E-08 8386884
  24     920.00     960.00  5.369016604706599E-06  4.480999876776188E-08 7606368	  24     920.00     960.00  3.918525922508743E-06  3.231797297955632E-08 7606368	  24     920.00     960.00  7.605208955759452E-06  6.457489130510754E-08 7606368
  25     960.00    1000.00  4.321266143803263E-06  3.411388438564073E-08 6909086	  25     960.00    1000.00  3.149724360426914E-06  2.436933892467640E-08 6909086	  25     960.00    1000.00  6.130166359291416E-06  5.003363024340404E-08 6909086
  26    1000.00    1040.00  3.572530274304541E-06  2.688851544359603E-08 6297375	  26    1000.00    1040.00  2.602105340867958E-06  1.958194225631465E-08 6297375	  26    1000.00    1040.00  5.072446374051084E-06  3.835887918236853E-08 6297375
  27    1040.00    1080.00  2.987915903508332E-06  2.989365152508198E-08 5752052	  27    1040.00    1080.00  2.173978984982051E-06  2.160669814684358E-08 5752052	  27    1040.00    1080.00  4.247113898358735E-06  4.295333020548084E-08 5752052
  28    1080.00    1120.00  2.462629579733685E-06  2.328912318432088E-08 5263308	  28    1080.00    1120.00  1.787791793160014E-06  1.682006099121985E-08 5263308	  28    1080.00    1120.00  3.509579465051090E-06  3.357911167295236E-08 5263308
  29    1120.00    1160.00  2.080258631677497E-06  2.189520575837380E-08 4826276	  29    1120.00    1160.00  1.508550391916026E-06  1.578629236026071E-08 4826276	  29    1120.00    1160.00  2.968260989093016E-06  3.158526219699629E-08 4826276
  30    1160.00    1200.00  1.764853526114002E-06  2.027253408141673E-08 4437256	  30    1160.00    1200.00  1.277084539064390E-06  1.452016450512896E-08 4437256	  30    1160.00    1200.00  2.524881860929464E-06  2.951973999055353E-08 4437256
  31    1200.00    1240.00  1.473703401250444E-06  1.757668406989349E-08 4084245	  31    1200.00    1240.00  1.065852411438853E-06  1.264123441091884E-08 4084245	  31    1200.00    1240.00  2.109458961619237E-06  2.551536300515749E-08 4084245
