# title = Invariant Mass Electron--anti-Muon System
# xlabel = $M_{\text{e}^-\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^-\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  5.129900699683730E-06  8.015920290785231E-09 5009287	   1       0.00      40.00  4.017364220345150E-06  6.284841321171002E-09 5009287	   1       0.00      40.00  6.691858816302420E-06  1.044820417060277E-08 5009287
   2      40.00      80.00  1.405316330050361E-05  1.378152348958245E-08 12648159	   2      40.00      80.00  1.100050014064163E-05  1.079438919513407E-08 12648159	   2      40.00      80.00  1.834245003848817E-05  1.798773109325751E-08 12648159
   3      80.00     120.00  1.590652793258877E-05  1.579941869493826E-08 10738116	   3      80.00     120.00  1.243709817752595E-05  1.236696018539338E-08 10738116	   3      80.00     120.00  2.078865619367768E-05  2.063618002909152E-08 10738116
   4     120.00     160.00  1.184558470135161E-05  1.437215396435452E-08 6428772	   4     120.00     160.00  9.245048537828322E-06  1.123528119067590E-08 6428772	   4     120.00     160.00  1.551327201584785E-05  1.880003760786595E-08 6428772
   5     160.00     200.00  7.798190756297225E-06  1.195104324660383E-08 4126317	   5     160.00     200.00  6.073774422445203E-06  9.327099476280262E-09 4126317	   5     160.00     200.00  1.023612227171382E-05  1.566278664225340E-08 4126317
   6     200.00     240.00  4.974156096438506E-06  9.456756837768873E-09 2858130	   6     200.00     240.00  3.865607153934769E-06  7.367623873592315E-09 2858130	   6     200.00     240.00  6.545631263890227E-06  1.241851136339729E-08 2858130
   7     240.00     280.00  3.225604958701240E-06  7.440388063142837E-09 2100060	   7     240.00     280.00  2.501352195947097E-06  5.785962553365763E-09 2100060	   7     240.00     280.00  4.254945145188429E-06  9.791357861688934E-09 2100060
   8     280.00     320.00  2.150125500852607E-06  5.952080547036014E-09 1614086	   8     280.00     320.00  1.663890327726546E-06  4.622944763324409E-09 1614086	   8     280.00     320.00  2.842891341795964E-06  7.843128852741391E-09 1614086
   9     320.00     360.00  1.467953882349220E-06  4.772663338995843E-09 1280966	   9     320.00     360.00  1.133655071121398E-06  3.702326268084768E-09 1280966	   9     320.00     360.00  1.945402347636086E-06  6.297756440990088E-09 1280966
  10     360.00     400.00  1.036687420025058E-06  4.106624284553496E-09 1042066	  10     360.00     400.00  7.990051569369075E-07  3.179331366450999E-09 1042066	  10     360.00     400.00  1.376967530095106E-06  5.430055234477435E-09 1042066
  11     400.00     440.00  7.372192323465690E-07  3.383042004502576E-09 861095	  11     400.00     440.00  5.671235125358504E-07  2.622317253420337E-09 861095	  11     400.00     440.00  9.813114852602334E-07  4.467332800748359E-09 861095
  12     440.00     480.00  5.363999208026615E-07  2.855413654628072E-09 725870	  12     440.00     480.00  4.117950686214076E-07  2.208932181699224E-09 725870	  12     440.00     480.00  7.156567099410470E-07  3.778589668296655E-09 725870
  13     480.00     520.00  4.020746953649684E-07  2.515705120750513E-09 617134	  13     480.00     520.00  3.080982642683320E-07  1.940549811944527E-09 617134	  13     480.00     520.00  5.375735425260975E-07  3.340064953016260E-09 617134
  14     520.00     560.00  3.034931084442867E-07  2.245064353077940E-09 531523	  14     520.00     560.00  2.322906334951764E-07  1.734016061204323E-09 531523	  14     520.00     560.00  4.062841130268719E-07  2.975607766746676E-09 531523
  15     560.00     600.00  2.335500523515795E-07  1.960614159815335E-09 460196	  15     560.00     600.00  1.783780830368269E-07  1.509999624125314E-09 460196	  15     560.00     600.00  3.134122129621398E-07  2.607438380693269E-09 460196
  16     600.00     640.00  1.790301920585575E-07  1.701119603518659E-09 403177	  16     600.00     640.00  1.364859566205053E-07  1.308293152014066E-09 403177	  16     600.00     640.00  2.407461343922946E-07  2.265900093086334E-09 403177
  17     640.00     680.00  1.389282934399194E-07  1.522947866076656E-09 353572	  17     640.00     680.00  1.057509308626851E-07  1.170444340456458E-09 353572	  17     640.00     680.00  1.871480065129714E-07  2.029781556508077E-09 353572
  18     680.00     720.00  1.121825618628023E-07  1.379349778919599E-09 314207	  18     680.00     720.00  8.528794939740847E-08  1.059094177054813E-09 314207	  18     680.00     720.00  1.513256290422521E-07  1.840208036495529E-09 314207
  19     720.00     760.00  8.815949234889225E-08  1.241368289605353E-09 279136	  19     720.00     760.00  6.693069775176754E-08  9.535432592348660E-10 279136	  19     720.00     760.00  1.191052997983464E-07  1.655266788599659E-09 279136
  20     760.00     800.00  6.930015784419459E-08  1.055716038412436E-09 249986	  20     760.00     800.00  5.251605817500481E-08  8.062431111183746E-10 249986	  20     760.00     800.00  9.382353005069999E-08  1.417288406682493E-09 249986
  21     800.00     840.00  5.611078249818516E-08  1.061281943266942E-09 224649	  21     800.00     840.00  4.246164548653360E-08  8.119033092651105E-10 224649	  21     800.00     840.00  7.608429731784659E-08  1.421045206780956E-09 224649
  22     840.00     880.00  4.448500788791837E-08  7.338477297560659E-10 201405	  22     840.00     880.00  3.361531879345344E-08  5.590357792718216E-10 201405	  22     840.00     880.00  6.041981276232333E-08  9.878106945383553E-10 201405
  23     880.00     920.00  3.689989804474123E-08  7.300018573599030E-10 181950	  23     880.00     920.00  2.783405629974955E-08  5.563213283984792E-10 181950	  23     880.00     920.00  5.022406302297458E-08  9.825449180247016E-10 181950
  24     920.00     960.00  2.946794596164302E-08  7.044589780049324E-10 165062	  24     920.00     960.00  2.221227887773277E-08  5.364424250062258E-10 165062	  24     920.00     960.00  4.013965980451979E-08  9.490038848657330E-10 165062
  25     960.00    1000.00  2.474343442806658E-08  5.951631116545218E-10 149076	  25     960.00    1000.00  1.861992881437623E-08  4.521725623104013E-10 149076	  25     960.00    1000.00  3.376629600959355E-08  8.035189810872261E-10 149076
  26    1000.00    1040.00  1.999171589634888E-08  4.391368381687956E-10 136499	  26    1000.00    1040.00  1.501158742399131E-08  3.319246579952278E-10 136499	  26    1000.00    1040.00  2.734843358537644E-08  5.964403275258281E-10 136499
  27    1040.00    1080.00  1.711428978359359E-08  4.743744495325249E-10 124529	  27    1040.00    1080.00  1.282829217793579E-08  3.567503701710379E-10 124529	  27    1040.00    1080.00  2.346128567694408E-08  6.486438849177236E-10 124529
  28    1080.00    1120.00  1.442197284378833E-08  4.344914454213529E-10 113498	  28    1080.00    1120.00  1.080628384487660E-08  3.282224149440035E-10 113498	  28    1080.00    1120.00  1.977699679536299E-08  5.903653710515439E-10 113498
  29    1120.00    1160.00  1.163723434219536E-08  4.001834628987058E-10 104900	  29    1120.00    1160.00  8.702674300622282E-09  3.011048372085000E-10 104900	  29    1120.00    1160.00  1.599431858467197E-08  5.463505297534148E-10 104900
  30    1160.00    1200.00  9.862306279965064E-09  3.547852592563143E-10 95404	  30    1160.00    1200.00  7.371047289684175E-09  2.664982585411817E-10 95404	  30    1160.00    1200.00  1.356261068384216E-08  4.854418434276319E-10 95404
  31    1200.00    1240.00  8.452419822293386E-09  2.766117008280782E-10 88207	  31    1200.00    1240.00  6.311007501473369E-09  2.070162059742215E-10 88207	  31    1200.00    1240.00  1.163779368121529E-08  3.802177372964116E-10 88207
  32    1240.00    1280.00  7.255887144795785E-09  2.986505016487749E-10 80856	  32    1240.00    1280.00  5.407186459229784E-09  2.224629135501514E-10 80856	  32    1240.00    1280.00  1.001196383195075E-08  4.126652755991598E-10 80856
  33    1280.00    1320.00  5.884942097079304E-09  2.584610548742519E-10 74606	  33    1280.00    1320.00  4.384980571827714E-09  1.941727804110905E-10 74606	  33    1280.00    1320.00  8.120364796012432E-09  3.533412590247070E-10 74606
  34    1320.00    1360.00  4.720835611380635E-09  1.615446776265657E-10 69610	  34    1320.00    1360.00  3.510143916466367E-09  1.206085958502027E-10 69610	  34    1320.00    1360.00  6.530331831332175E-09  2.225546219312962E-10 69610
  35    1360.00    1400.00  4.740928555314613E-09  2.644062067745940E-10 64128	  35    1360.00    1400.00  3.524014527358662E-09  1.970898201367810E-10 64128	  35    1360.00    1400.00  6.561056067417010E-09  3.648882551255863E-10 64128
  36    1400.00    1440.00  3.664545894024211E-09  1.791446722811875E-10 59584	  36    1400.00    1440.00  2.718692353545421E-09  1.329940379677055E-10 59584	  36    1400.00    1440.00  5.082421507816920E-09  2.485962346987967E-10 59584
  37    1440.00    1480.00  3.013426381422337E-09  1.080229614858763E-10 55143	  37    1440.00    1480.00  2.235555944769977E-09  8.078194107445841E-11 55143	  37    1440.00    1480.00  4.179242602787663E-09  1.485607413299377E-10 55143
  38    1480.00    1520.00  2.711689017179327E-09  1.086389065719875E-10 51552	  38    1480.00    1520.00  2.006936312900162E-09  8.060356831011367E-11 51552	  38    1480.00    1520.00  3.770383703393501E-09  1.506673776568498E-10 51552
  39    1520.00    1560.00  2.513065994688935E-09  2.520537749446117E-10 47585	  39    1520.00    1560.00  1.860511865490828E-09  1.873147958045260E-10 47585	  39    1520.00    1560.00  3.493223968977023E-09  3.491254739553470E-10 47585
  40    1560.00    1600.00  2.103330790141803E-09  9.469407778365260E-11 44571	  40    1560.00    1600.00  1.554342674933259E-09  7.035802602289493E-11 44571	  40    1560.00    1600.00  2.929801122978586E-09  1.311760206371249E-10 44571
  41    1600.00    1640.00  1.725073300489703E-09  1.020418338943365E-10 41257	  41    1600.00    1640.00  1.273216578594084E-09  7.608796186306099E-11 41257	  41    1600.00    1640.00  2.406579146961296E-09  1.407933040104633E-10 41257
