# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1658404060
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  5.334874538080311E-02  1.088368504321216E-04 40321882	   1      -2.50      -2.25  3.965562456337917E-02  8.030754391417648E-05 40321882	   1      -2.50      -2.25  7.399004448497090E-02  1.523594643094668E-04 40321882
   2      -2.25      -2.00  7.029695116334178E-02  1.224370030092424E-04 58457910	   2      -2.25      -2.00  5.239262489749733E-02  9.032890663772341E-05 58457910	   2      -2.25      -2.00  9.719675297381304E-02  1.714500714360168E-04 58457910
   3      -2.00      -1.75  8.883236760892453E-02  1.273151833351477E-04 79609327	   3      -2.00      -1.75  6.637490189635922E-02  9.420177754801396E-05 79609327	   3      -2.00      -1.75  1.224665297949296E-01  1.777079021814612E-04 79609327
   4      -1.75      -1.50  1.076734706010772E-01  1.301704031961097E-04 100661326	   4      -1.75      -1.50  8.064881955532111E-02  9.657257678275643E-05 100661326	   4      -1.75      -1.50  1.480250900682749E-01  1.810981022500282E-04 100661326
   5      -1.50      -1.25  1.255136806021542E-01  1.340421417353839E-04 119957787	   5      -1.50      -1.25  9.422667894841535E-02  9.954239390001093E-05 119957787	   5      -1.50      -1.25  1.721008819500009E-01  1.862879774296212E-04 119957787
   6      -1.25      -1.00  1.404800074158293E-01  1.348502624431140E-04 136768826	   6      -1.25      -1.00  1.056884060601477E-01  1.003207368729471E-04 136768826	   6      -1.25      -1.00  1.921516585830866E-01  1.870159533577089E-04 136768826
   7      -1.00      -0.75  1.521175700179863E-01  1.331137411557434E-04 150617785	   7      -1.00      -0.75  1.146535970760759E-01  9.912975331275565E-05 150617785	   7      -1.00      -0.75  2.076360672963804E-01  1.843991203099856E-04 150617785
   8      -0.75      -0.50  1.601783069419762E-01  1.318073679515379E-04 161417999	   8      -0.75      -0.50  1.209007452349163E-01  9.823004477231128E-05 161417999	   8      -0.75      -0.50  2.182893205531281E-01  1.824382436065608E-04 161417999
   9      -0.50      -0.25  1.649472922766829E-01  1.275886945852831E-04 168988280	   9      -0.50      -0.25  1.246281445445362E-01  9.511012430791440E-05 168988280	   9      -0.50      -0.25  2.245280361335614E-01  1.765655082795685E-04 168988280
  10      -0.25       0.00  1.670673266220230E-01  1.263438338925749E-04 173216825	  10      -0.25       0.00  1.262988924476763E-01  9.420152804673156E-05 173216825	  10      -0.25       0.00  2.272731453600544E-01  1.747924762672980E-04 173216825
  11       0.00       0.25  1.673563912456197E-01  1.267051652556829E-04 173983934	  11       0.00       0.25  1.265101989818194E-01  9.422317987318656E-05 173983934	  11       0.00       0.25  2.276816920085221E-01  1.759163462386222E-04 173983934
  12       0.25       0.50  1.653297910295125E-01  1.236084966023707E-04 171136610	  12       0.25       0.50  1.249054749072078E-01  9.202194927448326E-05 171136610	  12       0.25       0.50  2.250732029476104E-01  1.713297768119991E-04 171136610
  13       0.50       0.75  1.604261835997662E-01  1.216084938327271E-04 164634009	  13       0.50       0.75  1.210744270800092E-01  9.039230174775329E-05 164634009	  13       0.50       0.75  2.186563465744212E-01  1.689137604969183E-04 164634009
  14       0.75       1.00  1.525484284585829E-01  1.195946283103894E-04 154528805	  14       0.75       1.00  1.149604901354426E-01  8.887063586315238E-05 154528805	  14       0.75       1.00  2.082643412092448E-01  1.661397297109076E-04 154528805
  15       1.00       1.25  1.409447083326200E-01  1.166539877911019E-04 140925760	  15       1.00       1.25  1.060284647942792E-01  8.658774985465221E-05 140925760	  15       1.00       1.25  1.928072193777152E-01  1.622682865504285E-04 140925760
  16       1.25       1.50  1.261331812680171E-01  1.142868495918080E-04 124043833	  16       1.25       1.50  9.467819163631720E-02  8.467814140451096E-05 124043833	  16       1.25       1.50  1.729791928787016E-01  1.593146116995349E-04 124043833
  17       1.50       1.75  1.082062713902305E-01  1.083720490539519E-04 104427352	  17       1.50       1.75  8.103856387517594E-02  8.025889946566234E-05 104427352	  17       1.50       1.75  1.487782763720935E-01  1.511282605982362E-04 104427352
  18       1.75       2.00  8.898492951455915E-02  1.030489993431355E-04 82999280	  18       1.75       2.00  6.648593267795022E-02  7.623798969568934E-05 82999280	  18       1.75       2.00  1.226833898835238E-01  1.438550410492305E-04 82999280
  19       2.00       2.25  7.059474581591904E-02  9.667648852154708E-05 61495346	  19       2.00       2.25  5.260544393257804E-02  7.131424359055017E-05 61495346	  19       2.00       2.25  9.762973529361391E-02  1.354335135532697E-04 61495346
  20       2.25       2.50  5.354555260871217E-02  8.848922548034110E-05 43072124	  20       2.25       2.50  3.979352894221296E-02  6.514585018918679E-05 43072124	  20       2.25       2.50  7.428204152061166E-02  1.242385419930600E-04 43072124
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       4.2283446144373057E-02  1.8979930233031679E-05 53479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
